#      BLOCK:   ACTUAL_PI:      PI_AVE:       ERROR:
            1      3.00188      3.00188            0
            2      3.23232       3.1171     0.115224
            3      3.18091      3.13837    0.0698425
            4      3.18725      3.15059    0.0508754
            5       3.1746      3.15539    0.0396995
            6      3.28542      3.17706    0.0389916
            7      3.13112       3.1705    0.0336013
            8      3.23232      3.17823    0.0301082
            9      3.26531       3.1879    0.0282608
           10      3.18091       3.1872    0.0252868
           11      3.13725      3.18266    0.0233192
           12      3.14961      3.17991    0.0214649
           13       3.1068      3.17429    0.0205302
           14      3.00188      3.16197    0.0226481
           15      3.11284      3.15869    0.0213371
           16       2.8169      3.13733    0.0292353
           17      3.06513      3.13309    0.0277882
           18      3.05927      3.12899     0.026518
           19          3.2      3.13272    0.0253604
           20      3.21932      3.13705    0.0244455
           21      3.18725      3.13944    0.0233748
           22      3.23232      3.14366    0.0226834
           23      3.26531      3.14895    0.0223106
           24        3.125      3.14796    0.0213841
           25      3.18091      3.14927    0.0205532
           26      3.18725      3.15073    0.0198009
           27      3.07692        3.148    0.0192485
           28      3.23232      3.15101    0.0187912
           29      3.11891      3.14991    0.0181654
           30      3.18091      3.15094    0.0175799
           31      3.11891      3.14991    0.0170347
           32      3.27869      3.15393    0.0169777
           33      3.13112      3.15324    0.0164697
           34      3.16206       3.1535      0.01598
           35      3.29897      3.15765    0.0160638
           36      3.18725      3.15848    0.0156328
           37       2.8777      3.15089     0.016993
           38      3.06513      3.14863     0.016693
           39      3.16206      3.14898     0.016263
           40      3.05344      3.14659    0.0160301
           41      2.97398      3.14238    0.0161912
           42      2.88288       3.1362     0.016966
           43      2.98507      3.13268    0.0169354
           44      2.99625      3.12958     0.016834
           45      3.02457      3.12725    0.0166203
           46      3.31263      3.13128    0.0167471
           47       3.0888      3.13038    0.0164118
           48      3.27198      3.13333    0.0163349
           49      3.14342      3.13353    0.0159994
           50      3.20641      3.13499    0.0157437
           51      3.13725      3.13503     0.015432
           52      3.25866      3.13741    0.0153179
           53      3.02457      3.13528    0.0151762
           54      3.16832      3.13589    0.0149051
           55      3.09478      3.13515    0.0146507
           56      2.98507      3.13247    0.0146341
           57      3.25203      3.13456    0.0145273
           58      3.23232      3.13625    0.0143738
           59      2.99065      3.13378     0.014342
           60      3.05927      3.13254    0.0141555
           61      3.15582      3.13292    0.0139268
           62      2.91439       3.1294    0.0141464
           63      3.11891      3.12923    0.0139211
           64      3.16832      3.12984    0.0137154
           65       3.0888      3.12921    0.0135175
           66      3.15582      3.12961    0.0133172
           67      3.09478      3.12909    0.0131273
           68      3.25203       3.1309    0.0130585
           69      3.20641        3.132    0.0129144
           70      2.92505      3.12904    0.0130674
           71       3.3195      3.13172    0.0131583
           72       3.0303      3.13031    0.0130505
           73      3.15582      3.13066    0.0128753
           74      3.16206      3.13109    0.0127072
           75      3.11891      3.13092    0.0125376
           76      3.00188      3.12923    0.0124876
           77      3.11284      3.12901    0.0123262
           78      3.24544      3.13051    0.0122583
           79      3.22581      3.13171    0.0121621
           80      3.08285       3.1311    0.0120247
           81      3.10078      3.13073    0.0118812
           82      3.13725      3.13081    0.0117357
           83      3.13112      3.13081    0.0115934
           84      3.14342      3.13096    0.0114555
           85      3.07102      3.13026    0.0113419
           86      3.30579       3.1323    0.0113936
           87      3.19361        3.133    0.0112839
           88      3.27869      3.13466    0.0112771
           89      3.04762      3.13368    0.0111925
           90      3.23232      3.13478    0.0111215
           91      3.18091      3.13528    0.0110103
           92       3.1746      3.13571    0.0108984
           93       3.1068       3.1354     0.010785
           94      3.14342      3.13548      0.01067
           95      3.14961      3.13563    0.0105582
           96      2.97398      3.13395    0.0105824
           97      3.15582      3.13417    0.0104752
           98      3.23232      3.13518     0.010416
           99      3.14342      3.13526    0.0103106
          100       3.1746      3.13565    0.0102146
