#      BLOCK:    ACTUAL_I:       I_AVE:       ERROR:
            1     0.994718     0.994718            0
            2      1.00644      1.00058   0.00586133
            3     0.994778     0.998646   0.00389768
            4     0.992604     0.997135   0.00314284
            5     0.998177     0.997344   0.00244333
            6     0.999427     0.997691   0.00202498
            7     0.995647     0.997399   0.00173615
            8       1.0046     0.998299   0.00175264
            9     0.998935      0.99837    0.0015473
           10      0.98765     0.997298   0.00175057
           11     0.998591     0.997416   0.00158781
           12      0.99764     0.997434   0.00144959
           13      0.99346     0.997129   0.00136803
           14     0.982238     0.996065   0.00165391
           15       1.0038      0.99658   0.00162368
           16      1.00053     0.996827    0.0015387
           17      1.00469      0.99729    0.0015176
           18      1.00494     0.997715   0.00149264
           19     0.993904     0.997514   0.00142607
           20     0.993541     0.997316    0.0013674
           21     0.992555     0.997089   0.00132026
           22     0.999374     0.997193    0.0012631
           23     0.992328     0.996981   0.00122533
           24      1.00933     0.997496   0.00128102
           25      1.00011       0.9976   0.00123316
           26      1.00388     0.997842   0.00120918
           27      1.00507      0.99811   0.00119395
           28      0.99515     0.998004   0.00115537
           29      1.00172     0.998132   0.00112216
           30      1.00606     0.998397   0.00111587
           31      1.01284     0.998863   0.00117556
           32      1.00589     0.999082    0.0011592
           33      1.00244     0.999184   0.00112813
           34     0.995836     0.999085   0.00109887
           35      1.00199     0.999168   0.00107023
           36     0.990476     0.998927   0.00106773
           37     0.997031     0.998876   0.00103974
           38     0.996364      0.99881   0.00101416
           39      1.00328     0.998924  0.000994433
           40     0.999371     0.998935  0.000969318
           41      1.00339     0.999044   0.00095159
           42      1.00707     0.999235  0.000948123
           43      1.01048     0.999496   0.00096201
           44     0.995829     0.999413   0.00094358
           45      1.00273     0.999487  0.000925307
           46     0.997326      0.99944  0.000906186
           47      1.00528     0.999564  0.000895372
           48     0.992641      0.99942  0.000888306
           49      1.00047     0.999441  0.000870251
           50      1.00214     0.999495  0.000854373
           51     0.997393     0.999454  0.000838466
           52      1.00309     0.999524  0.000825145
           53     0.996575     0.999468  0.000811336
           54      1.00555     0.999581  0.000804099
           55      1.00416     0.999664  0.000793714
           56       1.0038     0.999738  0.000782909
           57       1.0045     0.999821  0.000773568
           58      1.00161     0.999852   0.00076074
           59     0.998057     0.999822  0.000748354
           60     0.997388     0.999781  0.000736893
           61      1.01035     0.999955  0.000745152
           62      1.00952      1.00011  0.000749104
           63      1.00799      1.00023  0.000747646
           64      1.00532      1.00031  0.000740155
           65       1.0021      1.00034  0.000729199
           66     0.990313      1.00019  0.000733963
           67     0.995788      1.00012  0.000725903
           68     0.999703      1.00012  0.000715175
           69     0.995417      1.00005  0.000708019
           70      1.00091      1.00006  0.000697939
           71     0.998767      1.00004   0.00068828
           72      1.00495      1.00011  0.000682073
           73      1.00801      1.00022  0.000681322
           74     0.992895      1.00012  0.000679302
           75      1.00529      1.00019  0.000673719
           76      1.00467      1.00025  0.000667402
           77      1.00202      1.00027  0.000659079
           78       1.0028       1.0003  0.000651384
           79     0.995392      1.00024  0.000646084
           80     0.997516      1.00021  0.000638866
           81      1.00085      1.00022  0.000630979
           82      1.00324      1.00025   0.00062433
           83     0.999291      1.00024  0.000616871
           84       0.9981      1.00022  0.000610015
           85     0.993881      1.00014  0.000607385
           86     0.999324      1.00013  0.000600356
           87      1.00158      1.00015  0.000593649
           88      1.00008      1.00015  0.000586865
           89      1.00442       1.0002   0.00058222
           90      1.01133      1.00032  0.000588853
           91      1.00157      1.00033  0.000582507
           92     0.995804      1.00028   0.00057824
           93      1.00052      1.00029  0.000571994
           94      1.00282      1.00031   0.00056652
           95     0.989319       1.0002  0.000572346
           96      1.01034       1.0003   0.00057612
           97      0.98931      1.00019  0.000581304
           98      1.00427      1.00023  0.000576844
           99      1.00186      1.00025  0.000571226
          100     0.998764      1.00023  0.000565679
