#      BLOCK:    ACTUAL_I:       I_AVE:       ERROR:
            1      1.00094      1.00094            0
            2      1.00073      1.00083  0.000103085
            3      1.00321      1.00162  0.000793287
            4     0.999962      1.00121  0.000698053
            5      0.99903      1.00077  0.000694467
            6     0.998635      1.00042  0.000669715
            7      1.00075      1.00046  0.000567977
            8     0.998673      1.00024  0.000540424
            9      1.00027      1.00024  0.000476623
           10     0.999437      1.00016  0.000433862
           11      1.00048      1.00019  0.000393528
           12     0.998436      1.00005  0.000387907
           13      1.00028      1.00006   0.00035726
           14      1.00139      1.00016  0.000344131
           15      1.00159      1.00025  0.000334357
           16     0.999105      1.00018    0.0003209
           17     0.998743       1.0001  0.000313089
           18      1.00112      1.00015  0.000300559
           19     0.999858      1.00014  0.000284727
           20     0.999687      1.00012  0.000271059
           21     0.999762       1.0001  0.000258378
           22     0.997567     0.999984  0.000271916
           23      1.00026     0.999996  0.000260102
           24     0.997547     0.999894  0.000269127
           25      1.00019     0.999906  0.000258411
           26      1.00011     0.999914  0.000248394
           27     0.999261     0.999889  0.000240236
           28      1.00074      0.99992  0.000233466
           29      1.00041     0.999936  0.000225895
           30       1.0018     0.999999  0.000226905
           31      1.00083      1.00003  0.000221113
           32      0.99988      1.00002   0.00021414
           33     0.999594      1.00001  0.000207952
           34      0.99962     0.999997  0.000202066
           35      1.00182      1.00005  0.000202977
           36     0.998623      1.00001  0.000201196
           37      1.00021      1.00001  0.000195761
           38     0.999258     0.999995  0.000191576
           39      1.00006     0.999996  0.000186606
           40     0.999104     0.999974  0.000183245
           41     0.999778     0.999969  0.000178784
           42     0.999405     0.999956  0.000174992
           43     0.999865     0.999954  0.000170887
           44      1.00022      0.99996  0.000167066
           45     0.999453     0.999948  0.000163699
           46      1.00251            1  0.000169527
           47      1.00017      1.00001  0.000165919
           48       1.0013      1.00003  0.000164649
           49     0.999064      1.00001  0.000162465
           50     0.999395            1  0.000159665
           51     0.997638     0.999956  0.000163224
           52      1.00136     0.999983  0.000162316
           53      0.99697     0.999926  0.000169069
           54      1.00192     0.999963  0.000169953
           55     0.998822     0.999942  0.000168119
           56      1.00014     0.999946  0.000165126
           57      1.00105     0.999965  0.000163362
           58     0.998043     0.999932  0.000163907
           59      1.00153     0.999959  0.000163374
           60      1.00071     0.999972   0.00016111
           61       1.0022      1.00001  0.000162609
           62      1.00065      1.00002  0.000160301
           63      1.00039      1.00002  0.000157848
           64     0.997536     0.999986  0.000160153
           65      1.00131      1.00001  0.000158979
           66      1.00011      1.00001  0.000156561
           67     0.999517            1   0.00015438
           68      1.00051      1.00001  0.000152277
           69      1.00067      1.00002  0.000150358
           70     0.999996      1.00002  0.000148195
           71     0.999436      1.00001  0.000146322
           72     0.999486            1  0.000144457
           73       1.0005      1.00001   0.00014263
           74      1.00081      1.00002  0.000141101
           75     0.999767      1.00002  0.000139247
           76     0.999982      1.00002  0.000137403
           77      1.00015      1.00002  0.000135618
           78     0.999017            1  0.000134481
           79     0.998879      0.99999   0.00013353
           80      1.00022     0.999993   0.00013188
           81      1.00166      1.00001  0.000131865
           82     0.997371     0.999981  0.000134175
           83     0.997172     0.999947  0.000136802
           84     0.998948     0.999936  0.000135686
           85     0.998312     0.999916  0.000135433
           86      1.00019      0.99992  0.000133886
           87     0.998341     0.999901  0.000133576
           88      1.00229     0.999929  0.000134821
           89      1.00329     0.999966  0.000138542
           90      1.00099     0.999978  0.000137462
           91       1.0009     0.999988  0.000136322
           92     0.998019     0.999966   0.00013652
           93     0.998912     0.999955   0.00013552
           94      1.00193     0.999976  0.000135701
           95      1.00221            1  0.000136317
           96      1.00083      1.00001  0.000135168
           97     0.997535     0.999983  0.000136176
           98     0.998591     0.999969  0.000135525
           99      1.00186     0.999988  0.000135497
          100     0.999935     0.999987  0.000134136
