#       STEP:  		R_AVE:       ERROR:
            1            1            0
            2       1.4135   0.00390599
            3      1.72532   0.00618088
            4      1.99999   0.00689694
            5      2.23117   0.00832545
            6      2.45031   0.00924408
            7      2.64639    0.0105171
            8      2.82839    0.0113697
            9      3.00284     0.012312
           10      3.16966     0.012412
           11      3.32727    0.0122699
           12      3.46646    0.0139347
           13      3.61439    0.0147173
           14      3.74821    0.0153408
           15      3.88318    0.0159968
           16      4.00845    0.0156218
           17      4.13251    0.0155875
           18      4.25173    0.0163081
           19      4.37761    0.0174159
           20      4.49892    0.0178011
           21      4.61169    0.0185941
           22      4.71556    0.0192349
           23      4.81038    0.0201523
           24      4.90483    0.0203918
           25      5.00812     0.021207
           26      5.10997    0.0210662
           27      5.19956    0.0213012
           28      5.29904    0.0208824
           29       5.3945    0.0212165
           30      5.48419    0.0225541
           31      5.57148    0.0234295
           32      5.66206    0.0245048
           33      5.75635    0.0255151
           34      5.84659    0.0255471
           35      5.93005    0.0260917
           36      6.01663    0.0256838
           37      6.11051    0.0258265
           38       6.1867    0.0263126
           39       6.2653    0.0276696
           40       6.3459    0.0274396
           41      6.42342    0.0268336
           42      6.49786    0.0266058
           43      6.57022    0.0266834
           44      6.65111    0.0265308
           45      6.70475    0.0263748
           46      6.78195    0.0263151
           47      6.85886     0.026094
           48      6.93663    0.0260613
           49      7.00608    0.0256577
           50      7.07767    0.0263822
           51      7.14168    0.0267499
           52       7.2102    0.0272618
           53      7.27751    0.0276082
           54      7.35199    0.0287743
           55      7.43651    0.0292979
           56      7.50589    0.0305067
           57      7.56528    0.0309587
           58      7.62849    0.0309326
           59      7.68737    0.0309264
           60       7.7444    0.0307154
           61      7.80478    0.0312032
           62      7.85844    0.0320148
           63       7.9253    0.0328482
           64      8.00064    0.0344102
           65       8.0703    0.0346584
           66      8.13414    0.0348007
           67      8.18348     0.034031
           68      8.25637    0.0339698
           69      8.31122    0.0345486
           70      8.37508    0.0342406
           71       8.4371    0.0338431
           72      8.49805    0.0339019
           73      8.56466    0.0337283
           74      8.63293    0.0345408
           75      8.68878    0.0354593
           76       8.7307    0.0357367
           77      8.78525    0.0344863
           78      8.83483    0.0355487
           79       8.8858    0.0356407
           80      8.94011    0.0351696
           81      9.00646    0.0359931
           82      9.05412     0.036515
           83      9.11403    0.0367578
           84      9.15718    0.0367114
           85      9.21122    0.0375283
           86      9.26353    0.0379352
           87      9.32515    0.0379511
           88      9.36976    0.0379342
           89      9.42463     0.037562
           90       9.4783    0.0388856
           91      9.53131    0.0390867
           92       9.5871     0.040693
           93      9.63767    0.0411647
           94      9.68707    0.0418232
           95       9.7447    0.0417747
           96      9.79938    0.0432637
           97      9.84796    0.0433031
           98      9.90167    0.0437267
           99      9.95587    0.0432429
          100      10.0053    0.0436381
