#       STEP:  		R_AVE:       ERROR:
            1            1            0
            2      1.41605   0.00381633
            3      1.73494   0.00532037
            4      2.00395   0.00716724
            5      2.24152   0.00789229
            6      2.45589    0.0093575
            7      2.64983    0.0095276
            8      2.83595    0.0103477
            9      3.01387    0.0107759
           10      3.18399    0.0128491
           11      3.33739    0.0134733
           12      3.47304    0.0141941
           13       3.6096    0.0150272
           14      3.74612    0.0154668
           15      3.88049    0.0168838
           16      4.00664    0.0172034
           17      4.12393    0.0172425
           18      4.23736    0.0177094
           19      4.35344    0.0190462
           20      4.46802    0.0189769
           21      4.58205    0.0196318
           22      4.68032    0.0208361
           23      4.78314    0.0201736
           24      4.88964    0.0211044
           25      4.98672    0.0211585
           26      5.08653    0.0218697
           27      5.18355    0.0222115
           28      5.28946    0.0222459
           29      5.37654    0.0222596
           30       5.4754    0.0226624
           31      5.56961    0.0218414
           32      5.66329    0.0222938
           33      5.74736    0.0237411
           34      5.83124    0.0235565
           35      5.91821    0.0241781
           36      5.99341    0.0248486
           37      6.07095    0.0253407
           38       6.1557    0.0250578
           39      6.23949    0.0257814
           40      6.32169    0.0268479
           41      6.40359    0.0263844
           42      6.48051    0.0266118
           43      6.56049    0.0271225
           44      6.63179    0.0280744
           45      6.70946    0.0284219
           46       6.7887    0.0285382
           47      6.86051    0.0290212
           48      6.93756    0.0295089
           49      7.00471    0.0296227
           50      7.08171    0.0299696
           51      7.15099    0.0299033
           52      7.22011    0.0297193
           53      7.29249    0.0290953
           54      7.35806    0.0304474
           55      7.43149    0.0316779
           56      7.50293    0.0314045
           57      7.57335    0.0320943
           58      7.64285    0.0310683
           59      7.71216    0.0310649
           60      7.77509        0.031
           61      7.84451    0.0321005
           62      7.90889    0.0315898
           63       7.9646    0.0324095
           64      8.02222     0.032242
           65      8.08563    0.0326838
           66      8.15339    0.0320327
           67      8.21374    0.0320297
           68      8.27105    0.0311835
           69      8.33302    0.0303688
           70      8.39502    0.0299803
           71      8.45435    0.0306513
           72      8.51657    0.0309054
           73      8.57653    0.0310796
           74      8.63028    0.0312087
           75      8.68527    0.0314423
           76      8.73841    0.0321229
           77      8.79985    0.0320966
           78      8.84564    0.0319539
           79      8.88893    0.0328454
           80      8.93978    0.0330883
           81      8.98599    0.0327059
           82      9.04451    0.0338803
           83      9.10721    0.0334306
           84      9.16377    0.0330402
           85      9.21835    0.0335065
           86      9.26484    0.0343792
           87      9.31632    0.0347306
           88      9.36698    0.0351622
           89      9.40882    0.0347934
           90       9.4598     0.034707
           91      9.51335    0.0353731
           92      9.55617    0.0362606
           93      9.60811     0.036394
           94      9.66177    0.0376089
           95       9.7203    0.0376966
           96      9.77702    0.0383288
           97       9.8274    0.0381474
           98      9.88035    0.0376063
           99      9.92894    0.0384853
          100      9.97665    0.0370096
