#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1       2.775       2.775           0
           2       2.775       2.775 5.96046e-08
           3       2.775       2.775 1.65038e-07
           4       2.775       2.775 2.96155e-07
           5       2.775       2.775 4.46637e-07
           6       2.775       2.775  6.1415e-07
           7     2.77501       2.775 7.98251e-07
           8     2.77501       2.775 9.97042e-07
           9     2.77501       2.775  1.2096e-06
          10     2.77501       2.775 1.43497e-06
          11     2.77502     2.77501 1.67251e-06
          12     2.77502     2.77501 1.92173e-06
          13     2.77502     2.77501 2.18198e-06
          14     2.77503     2.77501 2.45282e-06
          15     2.77503     2.77501  2.7339e-06
          16     2.77504     2.77501 3.02478e-06
          17     2.77504     2.77501 3.32519e-06
          18     2.77505     2.77502 3.63484e-06
          19     2.77505     2.77502 3.95346e-06
          20     2.77506     2.77502 4.28081e-06
          21     2.77507     2.77502 4.61664e-06
          22     2.77507     2.77503 4.96077e-06
          23     2.77508     2.77503 5.31299e-06
          24     2.77509     2.77503 5.67312e-06
          25      2.7751     2.77503   6.041e-06
          26     2.77511     2.77504 6.41648e-06
          27     2.77511     2.77504 6.79942e-06
          28     2.77512     2.77504 7.18966e-06
          29     2.77513     2.77504 7.58709e-06
          30     2.77514     2.77505  7.9916e-06
          31     2.77515     2.77505 8.40305e-06
          32     2.77516     2.77505 8.82136e-06
          33     2.77517     2.77506  9.2464e-06
          34     2.77518     2.77506 9.67811e-06
          35     2.77519     2.77507 1.01164e-05
          36     2.77521     2.77507 1.05611e-05
          37     2.77522     2.77507 1.10122e-05
          38     2.77523     2.77508 1.14697e-05
          39     2.77524     2.77508 1.19334e-05
          40     2.77526     2.77509 1.24032e-05
          41     2.77527     2.77509 1.28792e-05
          42     2.77528      2.7751 1.33612e-05
          43      2.7753      2.7751 1.38492e-05
          44     2.77531     2.77511 1.43431e-05
          45     2.77533     2.77511 1.48432e-05
          46     2.77534     2.77512 1.53493e-05
          47     2.77536     2.77512 1.58615e-05
          48     2.77537     2.77513 1.63797e-05
          49     2.77539     2.77513 1.69038e-05
          50     2.77541     2.77514 1.74338e-05
          51     2.77542     2.77514 1.79697e-05
          52     2.77544     2.77515 1.85115e-05
          53     2.77546     2.77515 1.90591e-05
          54     2.77547     2.77516 1.96125e-05
          55     2.77549     2.77517 2.01715e-05
          56     2.77551     2.77517 2.07362e-05
          57     2.77553     2.77518 2.13066e-05
          58     2.77555     2.77518 2.18827e-05
          59     2.77557     2.77519 2.24645e-05
          60     2.77559      2.7752 2.30519e-05
          61     2.77561      2.7752 2.36449e-05
          62     2.77563     2.77521 2.42437e-05
          63     2.77565     2.77522 2.48479e-05
          64     2.77567     2.77523 2.54577e-05
          65      2.7757     2.77523  2.6073e-05
          66     2.77572     2.77524 2.66937e-05
          67     2.77574     2.77525   2.732e-05
          68     2.77576     2.77525 2.79519e-05
          69     2.77579     2.77526 2.85892e-05
          70     2.77581     2.77527 2.92321e-05
          71     2.77583     2.77528 2.98805e-05
          72     2.77586     2.77529 3.05345e-05
          73     2.77588     2.77529 3.11939e-05
          74     2.77591      2.7753 3.18589e-05
          75     2.77593     2.77531 3.25293e-05
          76     2.77596     2.77532 3.32052e-05
          77     2.77599     2.77533 3.38865e-05
          78     2.77601     2.77534 3.45732e-05
          79     2.77604     2.77535 3.52653e-05
          80     2.77607     2.77536 3.59629e-05
          81      2.7761     2.77536 3.66659e-05
          82     2.77613     2.77537 3.73743e-05
          83     2.77615     2.77538  3.8088e-05
          84     2.77618     2.77539 3.88072e-05
          85     2.77621      2.7754 3.95319e-05
          86     2.77624     2.77541 4.02622e-05
          87     2.77627     2.77542  4.0998e-05
          88      2.7763     2.77543 4.17394e-05
          89     2.77634     2.77544 4.24863e-05
          90     2.77637     2.77545 4.32388e-05
          91      2.7764     2.77546 4.39969e-05
          92     2.77643     2.77547 4.47605e-05
          93     2.77646     2.77548 4.55297e-05
          94      2.7765     2.77549 4.63044e-05
          95     2.77653     2.77551 4.70846e-05
          96     2.77657     2.77552 4.78703e-05
          97      2.7766     2.77553 4.86616e-05
          98     2.77663     2.77554 4.94584e-05
          99     2.77667     2.77555 5.02607e-05
         100     2.77671     2.77556 5.10685e-05
         101     2.77674     2.77557 5.18818e-05
         102     2.77678     2.77559 5.27007e-05
         103     2.77682      2.7756 5.35251e-05
         104     2.77685     2.77561 5.43551e-05
         105     2.77689     2.77562 5.51905e-05
         106     2.77693     2.77563 5.60315e-05
         107     2.77697     2.77565  5.6878e-05
         108     2.77701     2.77566 5.77299e-05
         109     2.77705     2.77567 5.85873e-05
         110     2.77709     2.77568 5.94502e-05
         111     2.77713      2.7757 6.03186e-05
