#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0318374  -0.0318374           0
           2  -0.0318379  -0.0318376 1.79573e-07
           3  -0.0318387   -0.031838 3.22442e-07
           4  -0.0318399  -0.0318385 4.80426e-07
           5  -0.0318414  -0.0318391  6.5424e-07
           6  -0.0318433  -0.0318398 8.43096e-07
           7  -0.0318455  -0.0318406 1.04608e-06
           8   -0.031848  -0.0318415 1.26237e-06
           9  -0.0318509  -0.0318426 1.49124e-06
          10  -0.0318541  -0.0318437 1.73205e-06
          11  -0.0318576   -0.031845 1.98425e-06
          12  -0.0318615  -0.0318464 2.24735e-06
          13  -0.0318657  -0.0318479 2.52093e-06
          14  -0.0318703  -0.0318495 2.80459e-06
          15  -0.0318752  -0.0318512   3.098e-06
          16  -0.0318804   -0.031853 3.40085e-06
          17   -0.031886  -0.0318549 3.71284e-06
          18  -0.0318919   -0.031857 4.03373e-06
          19  -0.0318981  -0.0318592 4.36326e-06
          20  -0.0319047  -0.0318614 4.70123e-06
          21  -0.0319116  -0.0318638 5.04743e-06
          22  -0.0319188  -0.0318663 5.40168e-06
          23  -0.0319264  -0.0318689 5.76379e-06
          24  -0.0319343  -0.0318716 6.13361e-06
          25  -0.0319426  -0.0318745 6.51099e-06
          26  -0.0319511  -0.0318774 6.89578e-06
          27  -0.0319601  -0.0318805 7.28785e-06
          28  -0.0319693  -0.0318837 7.68707e-06
          29  -0.0319789   -0.031887 8.09333e-06
          30  -0.0319889  -0.0318903 8.50652e-06
          31  -0.0319991  -0.0318939 8.92652e-06
          32  -0.0320097  -0.0318975 9.35324e-06
          33  -0.0320207  -0.0319012 9.78659e-06
          34   -0.032032  -0.0319051 1.02265e-05
          35  -0.0320436   -0.031909 1.06728e-05
          36  -0.0320556  -0.0319131 1.11255e-05
          37  -0.0320679  -0.0319173 1.15845e-05
          38  -0.0320805  -0.0319216 1.20498e-05
          39  -0.0320935   -0.031926 1.25211e-05
          40  -0.0321068  -0.0319305 1.29986e-05
          41  -0.0321205  -0.0319351 1.34821e-05
          42  -0.0321345  -0.0319399 1.39716e-05
          43  -0.0321512  -0.0319448 1.44851e-05
          44  -0.0321683  -0.0319499   1.502e-05
          45  -0.0321857  -0.0319551 1.55737e-05
          46  -0.0322011  -0.0319605 1.61274e-05
          47  -0.0322169  -0.0319659 1.66817e-05
          48  -0.0322354  -0.0319715 1.72531e-05
          49  -0.0322519  -0.0319772 1.78243e-05
          50  -0.0322711  -0.0319831 1.84111e-05
          51  -0.0322906  -0.0319892 1.90118e-05
          52  -0.0323082  -0.0319953 1.96111e-05
          53  -0.0323261  -0.0320015 2.02099e-05
          54  -0.0323443  -0.0320079 2.08087e-05
          55  -0.0323653  -0.0320144  2.1421e-05
          56  -0.0323866   -0.032021 2.20457e-05
          57  -0.0324107  -0.0320279 2.26941e-05
          58  -0.0324304  -0.0320348 2.33399e-05
          59  -0.0324528  -0.0320419 2.39956e-05
          60   -0.032478  -0.0320492  2.4672e-05
          61  -0.0324988  -0.0320565 2.53447e-05
          62  -0.0325199   -0.032064 2.60147e-05
          63  -0.0325414  -0.0320716 2.66829e-05
          64  -0.0325657  -0.0320793 2.73601e-05
          65  -0.0325927  -0.0320872  2.8056e-05
          66  -0.0326224  -0.0320953  2.8779e-05
          67  -0.0326454  -0.0321035 2.94975e-05
          68  -0.0326712  -0.0321119 3.02219e-05
          69  -0.0327021  -0.0321204 3.09707e-05
          70   -0.032731  -0.0321291 3.17327e-05
          71  -0.0327555   -0.032138 3.24888e-05
          72  -0.0327851  -0.0321469 3.32578e-05
          73  -0.0328104   -0.032156 3.40213e-05
          74  -0.0328408  -0.0321653 3.47974e-05
          75  -0.0328692  -0.0321747 3.55767e-05
          76   -0.032898  -0.0321842 3.63594e-05
          77  -0.0329272  -0.0321938 3.71456e-05
          78  -0.0329639  -0.0322037 3.79586e-05
          79  -0.0329915  -0.0322137 3.87657e-05
          80  -0.0330194  -0.0322238 3.95679e-05
          81  -0.0330573   -0.032234 4.03954e-05
          82  -0.0330884  -0.0322445 4.12245e-05
          83  -0.0331247  -0.0322551 4.20698e-05
          84  -0.0331708   -0.032266 4.29583e-05
          85  -0.0332056   -0.032277 4.38521e-05
          86  -0.0332407  -0.0322882 4.47511e-05
