#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.85        1.85           0
           2        1.85        1.85 3.94248e-08
           3        1.85        1.85 1.10175e-07
           4        1.85        1.85 1.97686e-07
           5        1.85        1.85 2.97576e-07
           6        1.85        1.85 4.09714e-07
           7        1.85        1.85 5.32346e-07
           8     1.85001        1.85 6.64816e-07
           9     1.85001        1.85 8.06439e-07
          10     1.85001        1.85  9.5665e-07
          11     1.85001        1.85 1.11506e-06
          12     1.85001        1.85 1.28115e-06
          13     1.85002     1.85001 1.45464e-06
          14     1.85002     1.85001 1.63518e-06
          15     1.85002     1.85001 1.82254e-06
          16     1.85003     1.85001 2.01649e-06
          17     1.85003     1.85001 2.21678e-06
          18     1.85003     1.85001 2.42322e-06
          19     1.85004     1.85001 2.63563e-06
          20     1.85004     1.85001 2.85386e-06
          21     1.85004     1.85002 3.07775e-06
          22     1.85005     1.85002 3.30717e-06
          23     1.85005     1.85002 3.54198e-06
          24     1.85006     1.85002 3.78207e-06
          25     1.85006     1.85002 4.02733e-06
          26     1.85007     1.85002 4.27765e-06
          27     1.85008     1.85003 4.53294e-06
          28     1.85008     1.85003 4.79311e-06
          29     1.85009     1.85003 5.05806e-06
          30     1.85009     1.85003 5.32773e-06
          31      1.8501     1.85003 5.60204e-06
          32     1.85011     1.85004 5.88091e-06
          33     1.85012     1.85004 6.16427e-06
          34     1.85012     1.85004 6.45207e-06
          35     1.85013     1.85004 6.74425e-06
          36     1.85014     1.85005 7.04074e-06
          37     1.85015     1.85005 7.34149e-06
          38     1.85015     1.85005 7.64645e-06
          39     1.85016     1.85005 7.95557e-06
          40     1.85017     1.85006 8.26881e-06
          41     1.85018     1.85006 8.58611e-06
          42     1.85019     1.85006 8.90745e-06
          43      1.8502     1.85007 9.23277e-06
          44     1.85021     1.85007 9.56208e-06
          45     1.85022     1.85007 9.89544e-06
          46     1.85023     1.85008 1.02329e-05
          47     1.85024     1.85008 1.05743e-05
          48     1.85025     1.85008 1.09198e-05
          49     1.85026     1.85009 1.12692e-05
          50     1.85027     1.85009 1.16225e-05
          51     1.85028     1.85009 1.19798e-05
          52     1.85029      1.8501  1.2341e-05
          53      1.8503      1.8501  1.2706e-05
          54     1.85032     1.85011  1.3075e-05
          55     1.85033     1.85011 1.34477e-05
          56     1.85034     1.85011 1.38242e-05
          57     1.85035     1.85012 1.42044e-05
          58     1.85037     1.85012 1.45885e-05
          59     1.85038     1.85013 1.49763e-05
          60     1.85039     1.85013 1.53679e-05
          61     1.85041     1.85014 1.57633e-05
          62     1.85042     1.85014 1.61624e-05
          63     1.85043     1.85015 1.65653e-05
          64     1.85045     1.85015 1.69718e-05
          65     1.85046     1.85016  1.7382e-05
          66     1.85048     1.85016 1.77958e-05
          67     1.85049     1.85016 1.82133e-05
          68     1.85051     1.85017 1.86346e-05
          69     1.85052     1.85018 1.90595e-05
          70     1.85054     1.85018  1.9488e-05
          71     1.85056     1.85019 1.99203e-05
          72     1.85057     1.85019 2.03563e-05
          73     1.85059      1.8502  2.0796e-05
          74     1.85061      1.8502 2.12393e-05
          75     1.85062     1.85021 2.16862e-05
          76     1.85064     1.85021 2.21368e-05
          77     1.85066     1.85022  2.2591e-05
          78     1.85068     1.85022 2.30488e-05
          79     1.85069     1.85023 2.35102e-05
          80     1.85071     1.85024 2.39753e-05
          81     1.85073     1.85024 2.44439e-05
          82     1.85075     1.85025 2.49162e-05
          83     1.85077     1.85026  2.5392e-05
          84     1.85079     1.85026 2.58715e-05
          85     1.85081     1.85027 2.63546e-05
          86     1.85083     1.85027 2.68415e-05
          87     1.85085     1.85028  2.7332e-05
          88     1.85087     1.85029 2.78263e-05
          89     1.85089     1.85029 2.83242e-05
          90     1.85091      1.8503 2.88259e-05
          91     1.85093     1.85031 2.93313e-05
          92     1.85095     1.85032 2.98403e-05
          93     1.85098     1.85032 3.03531e-05
          94       1.851     1.85033 3.08696e-05
          95     1.85102     1.85034 3.13897e-05
          96     1.85104     1.85034 3.19136e-05
          97     1.85107     1.85035 3.24411e-05
          98     1.85109     1.85036 3.29723e-05
          99     1.85111     1.85037 3.35071e-05
         100     1.85114     1.85037 3.40457e-05
         101     1.85116     1.85038 3.45879e-05
         102     1.85119     1.85039 3.51338e-05
         103     1.85121      1.8504 3.56834e-05
         104     1.85124     1.85041 3.62367e-05
         105     1.85126     1.85041 3.67937e-05
         106     1.85129     1.85042 3.73544e-05
         107     1.85131     1.85043 3.79187e-05
         108     1.85134     1.85044 3.84866e-05
         109     1.85136     1.85045 3.90582e-05
         110     1.85139     1.85046 3.96335e-05
         111     1.85142     1.85047 4.02124e-05
         112     1.85145     1.85047 4.07949e-05
         113     1.85147     1.85048 4.13812e-05
         114      1.8515     1.85049 4.19711e-05
         115     1.85153      1.8505 4.25648e-05
         116     1.85156     1.85051 4.31621e-05
         117     1.85159     1.85052 4.37632e-05
         118     1.85162     1.85053  4.4368e-05
         119     1.85165     1.85054 4.49765e-05
         120     1.85167     1.85055 4.55887e-05
         121      1.8517     1.85056 4.62047e-05
         122     1.85174     1.85057 4.68244e-05
         123     1.85177     1.85058 4.74478e-05
         124      1.8518     1.85059 4.80749e-05
         125     1.85183      1.8506 4.87058e-05
         126     1.85186     1.85061 4.93405e-05
         127     1.85189     1.85062 4.99789e-05
         128     1.85192     1.85063 5.06211e-05
         129     1.85196     1.85064  5.1267e-05
         130     1.85199     1.85065 5.19168e-05
         131     1.85202     1.85066 5.25703e-05
         132     1.85206     1.85067 5.32277e-05
         133     1.85209     1.85068  5.3889e-05
         134     1.85212     1.85069 5.45541e-05
         135     1.85216      1.8507  5.5223e-05
         136     1.85219     1.85071 5.58959e-05
         137     1.85223     1.85072 5.65726e-05
         138     1.85226     1.85073 5.72531e-05
         139      1.8523     1.85074 5.79376e-05
         140     1.85233     1.85076  5.8626e-05
         141     1.85237     1.85077 5.93184e-05
         142     1.85241     1.85078 6.00147e-05
         143     1.85245     1.85079 6.07149e-05
         144     1.85248      1.8508 6.14191e-05
         145     1.85252     1.85081 6.21274e-05
         146     1.85256     1.85083 6.28396e-05
         147      1.8526     1.85084 6.35558e-05
         148     1.85264     1.85085  6.4276e-05
         149     1.85267     1.85086 6.50002e-05
         150     1.85271     1.85088 6.57285e-05
         151     1.85275     1.85089 6.64609e-05
         152     1.85279      1.8509 6.71973e-05
         153     1.85284     1.85091 6.79378e-05
         154     1.85288     1.85093 6.86825e-05
         155     1.85292     1.85094 6.94313e-05
         156     1.85296     1.85095 7.01842e-05
         157       1.853     1.85096 7.09413e-05
         158     1.85304     1.85098 7.17026e-05
         159     1.85309     1.85099 7.24682e-05
         160     1.85313       1.851 7.32379e-05
         161     1.85317     1.85102  7.4012e-05
         162     1.85322     1.85103 7.47903e-05
         163     1.85326     1.85105 7.55729e-05
         164     1.85331     1.85106 7.63598e-05
         165     1.85335     1.85107 7.71511e-05
         166      1.8534     1.85109 7.79468e-05
         167     1.85344      1.8511 7.87468e-05
         168     1.85349     1.85112 7.95512e-05
         169     1.85354     1.85113   8.036e-05
         170     1.85358     1.85114 8.11733e-05
         171     1.85363     1.85116 8.19911e-05
         172     1.85368     1.85117 8.28133e-05
         173     1.85373     1.85119 8.36401e-05
         174     1.85378      1.8512 8.44714e-05
         175     1.85382     1.85122 8.53073e-05
         176     1.85387     1.85123 8.61478e-05
         177     1.85392     1.85125  8.6993e-05
         178     1.85397     1.85126 8.78428e-05
         179     1.85403     1.85128 8.86973e-05
         180     1.85408     1.85129 8.95565e-05
         181     1.85413     1.85131 9.04204e-05
         182     1.85418     1.85133 9.12891e-05
         183     1.85423     1.85134 9.21625e-05
         184     1.85429     1.85136 9.30407e-05
         185     1.85434     1.85137 9.39238e-05
         186     1.85439     1.85139 9.48117e-05
         187     1.85445     1.85141 9.57044e-05
         188      1.8545     1.85142 9.66021e-05
         189     1.85456     1.85144 9.75047e-05
         190     1.85461     1.85146 9.84122e-05
         191     1.85467     1.85147 9.93247e-05
         192     1.85473     1.85149 0.000100242
         193     1.85478     1.85151 0.000101165
         194     1.85484     1.85152 0.000102092
         195      1.8549     1.85154 0.000103025
         196     1.85496     1.85156 0.000103963
         197     1.85502     1.85158 0.000104906
         198     1.85508     1.85159 0.000105854
         199     1.85514     1.85161 0.000106807
         200      1.8552     1.85163 0.000107766
         201     1.85526     1.85165  0.00010873
         202     1.85532     1.85167 0.000109699
         203     1.85538     1.85168 0.000110673
         204     1.85544      1.8517 0.000111653
         205      1.8555     1.85172 0.000112638
         206     1.85557     1.85174 0.000113629
         207     1.85563     1.85176 0.000114625
         208      1.8557     1.85178 0.000115626
         209     1.85576      1.8518 0.000116633
         210     1.85583     1.85182 0.000117646
         211     1.85589     1.85184 0.000118664
         212     1.85596     1.85185 0.000119688
         213     1.85603     1.85187 0.000120717
         214     1.85609     1.85189 0.000121753
         215     1.85616     1.85191 0.000122794
         216     1.85623     1.85193  0.00012384
         217      1.8563     1.85195 0.000124893
         218     1.85637     1.85197 0.000125951
         219     1.85644     1.85199 0.000127015
         220     1.85651     1.85202 0.000128085
         221     1.85658     1.85204 0.000129161
         222     1.85665     1.85206 0.000130244
         223     1.85673     1.85208 0.000131332
         224      1.8568      1.8521 0.000132426
         225     1.85687     1.85212 0.000133526
         226     1.85695     1.85214 0.000134632
         227     1.85702     1.85216 0.000135745
         228      1.8571     1.85218 0.000136863
         229     1.85717     1.85221 0.000137988
         230     1.85725     1.85223  0.00013912
         231     1.85733     1.85225 0.000140257
         232      1.8574     1.85227 0.000141401
         233     1.85748     1.85229 0.000142552
         234     1.85756     1.85232 0.000143708
         235     1.85764     1.85234 0.000144872
         236     1.85772     1.85236 0.000146042
         237      1.8578     1.85239 0.000147218
         238     1.85788     1.85241 0.000148401
         239     1.85797     1.85243 0.000149591
         240     1.85805     1.85246 0.000150788
         241     1.85813     1.85248 0.000151991
         242     1.85822      1.8525 0.000153201
         243      1.8583     1.85253 0.000154418
         244     1.85839     1.85255 0.000155641
         245     1.85847     1.85257 0.000156872
         246     1.85856      1.8526 0.000158109
         247     1.85865     1.85262 0.000159354
         248     1.85873     1.85265 0.000160606
         249     1.85882     1.85267 0.000161864
         250     1.85891      1.8527  0.00016313
         251       1.859     1.85272 0.000164403
         252     1.85909     1.85275 0.000165683
         253     1.85919     1.85277 0.000166971
         254     1.85928      1.8528 0.000168266
         255     1.85937     1.85283 0.000169568
         256     1.85946     1.85285 0.000170877
         257     1.85956     1.85288 0.000172194
         258     1.85965      1.8529 0.000173519
         259     1.85975     1.85293 0.000174851
         260     1.85985     1.85296  0.00017619
         261     1.85994     1.85298 0.000177538
         262     1.86004     1.85301 0.000178893
         263     1.86014     1.85304 0.000180255
         264     1.86024     1.85306 0.000181626
         265     1.86034     1.85309 0.000183004
         266     1.86044     1.85312  0.00018439
         267     1.86054     1.85315 0.000185784
         268     1.86065     1.85318 0.000187186
         269     1.86075      1.8532 0.000188596
         270     1.86085     1.85323 0.000190015
         271     1.86096     1.85326 0.000191441
         272     1.86106     1.85329 0.000192875
         273     1.86117     1.85332 0.000194318
         274     1.86128     1.85335 0.000195769
         275     1.86139     1.85338 0.000197228
         276      1.8615     1.85341 0.000198696
         277     1.86161     1.85344 0.000200172
         278     1.86172     1.85347 0.000201657
         279     1.86183      1.8535  0.00020315
         280     1.86194     1.85353 0.000204652
         281     1.86205     1.85356 0.000206163
         282     1.86217     1.85359 0.000207682
         283     1.86228     1.85362  0.00020921
         284      1.8624     1.85365 0.000210747
         285     1.86252     1.85368 0.000212292
         286     1.86263     1.85371 0.000213847
         287     1.86275     1.85374 0.000215411
         288     1.86287     1.85377 0.000216983
         289     1.86299     1.85381 0.000218565
         290     1.86311     1.85384 0.000220156
         291     1.86324     1.85387 0.000221757
         292     1.86336      1.8539 0.000223366
         293     1.86348     1.85393 0.000224985
         294     1.86361     1.85397 0.000226613
         295     1.86374       1.854 0.000228251
         296     1.86386     1.85403 0.000229899
         297     1.86399     1.85407 0.000231556
         298     1.86412      1.8541 0.000233222
         299     1.86425     1.85414 0.000234898
         300     1.86438     1.85417 0.000236585
         301     1.86451      1.8542 0.000238281
         302     1.86464     1.85424 0.000239986
         303     1.86478     1.85427 0.000241702
         304     1.86491     1.85431 0.000243428
         305     1.86505     1.85434 0.000245164
         306     1.86519     1.85438 0.000246911
         307     1.86532     1.85441 0.000248667
         308     1.86546     1.85445 0.000250434
         309      1.8656     1.85449 0.000252211
         310     1.86574     1.85452 0.000253999
         311     1.86589     1.85456 0.000255797
         312     1.86603      1.8546 0.000257606
         313     1.86617     1.85463 0.000259425
         314     1.86632     1.85467 0.000261256
         315     1.86647     1.85471 0.000263097
         316     1.86662     1.85475 0.000264949
         317     1.86676     1.85478 0.000266812
         318     1.86691     1.85482 0.000268686
         319     1.86707     1.85486 0.000270571
         320     1.86722      1.8549 0.000272468
         321     1.86737     1.85494 0.000274375
         322     1.86753     1.85498 0.000276295
         323     1.86768     1.85502 0.000278225
         324     1.86784     1.85506 0.000280167
         325       1.868      1.8551 0.000282121
         326     1.86816     1.85514 0.000284087
         327     1.86832     1.85518 0.000286064
         328     1.86848     1.85522 0.000288054
         329     1.86864     1.85526 0.000290055
         330     1.86881      1.8553 0.000292068
         331     1.86897     1.85534 0.000294094
         332     1.86914     1.85538 0.000296132
         333     1.86931     1.85542 0.000298182
         334     1.86948     1.85546 0.000300245
         335     1.86965     1.85551 0.000302321
         336     1.86982     1.85555 0.000304409
         337        1.87     1.85559  0.00030651
         338     1.87017     1.85564 0.000308624
         339     1.87035     1.85568 0.000310751
         340     1.87053     1.85572 0.000312891
         341     1.87071     1.85577 0.000315045
         342     1.87089     1.85581 0.000317212
         343     1.87107     1.85586 0.000319392
         344     1.87126      1.8559 0.000321586
         345     1.87144     1.85595 0.000323794
         346     1.87163     1.85599 0.000326015
         347     1.87182     1.85604 0.000328251
         348     1.87201     1.85608   0.0003305
         349      1.8722     1.85613 0.000332764
         350     1.87239     1.85617 0.000335042
         351     1.87259     1.85622 0.000337335
         352     1.87278     1.85627 0.000339642
         353     1.87298     1.85632 0.000341964
         354     1.87318     1.85636 0.000344301
         355     1.87338     1.85641 0.000346653
         356     1.87359     1.85646  0.00034902
         357     1.87379     1.85651 0.000351402
         358       1.874     1.85656   0.0003538
         359     1.87421     1.85661 0.000356214
         360     1.87442     1.85666 0.000358643
         361     1.87463     1.85671 0.000361088
         362     1.87484     1.85676 0.000363549
         363     1.87506     1.85681 0.000366027
         364     1.87527     1.85686 0.000368521
         365     1.87549     1.85691 0.000371031
         366     1.87571     1.85696 0.000373558
         367     1.87594     1.85701 0.000376102
         368     1.87616     1.85706 0.000378663
         369     1.87639     1.85712 0.000381242
         370     1.87662     1.85717 0.000383838
         371     1.87685     1.85722 0.000386451
         372     1.87708     1.85727 0.000389082
         373     1.87732     1.85733 0.000391731
         374     1.87755     1.85738 0.000394399
         375     1.87779     1.85744 0.000397084
         376     1.87803     1.85749 0.000399788
         377     1.87828     1.85755 0.000402511
         378     1.87852      1.8576 0.000405253
         379     1.87877     1.85766 0.000408014
         380     1.87902     1.85771 0.000410794
         381     1.87927     1.85777 0.000413594
         382     1.87953     1.85783 0.000416414
         383     1.87978     1.85789 0.000419253
         384     1.88004     1.85794 0.000422113
         385      1.8803       1.858 0.000424993
         386     1.88057     1.85806 0.000427894
         387     1.88083     1.85812 0.000430815
         388      1.8811     1.85818 0.000433758
         389     1.88137     1.85824 0.000436722
         390     1.88165      1.8583 0.000439707
         391     1.88192     1.85836 0.000442714
         392      1.8822     1.85842 0.000445743
         393     1.88248     1.85848 0.000448795
         394     1.88276     1.85854 0.000451868
         395     1.88305      1.8586 0.000454965
         396     1.88334     1.85867 0.000458084
         397     1.88363     1.85873 0.000461226
         398     1.88393     1.85879 0.000464392
         399     1.88422     1.85886 0.000467581
         400     1.88452     1.85892 0.000470795
         401     1.88482     1.85898 0.000474032
         402     1.88513     1.85905 0.000477294
         403     1.88544     1.85911  0.00048058
         404     1.88575     1.85918 0.000483891
         405     1.88606     1.85925 0.000487227
         406     1.88638     1.85931 0.000490589
         407      1.8867     1.85938 0.000493976
         408     1.88702     1.85945 0.000497389
         409     1.88735     1.85952 0.000500828
         410     1.88767     1.85959 0.000504293
         411     1.88801     1.85966 0.000507785
         412     1.88834     1.85972 0.000511303
         413     1.88868     1.85979 0.000514849
         414     1.88902     1.85987 0.000518421
         415     1.88936     1.85994 0.000522021
         416     1.88971     1.86001 0.000525649
         417     1.89006     1.86008 0.000529305
         418     1.89041     1.86015 0.000532988
         419     1.89076     1.86023   0.0005367
         420     1.89112      1.8603  0.00054044
         421     1.89148     1.86037 0.000544209
         422     1.89185     1.86045 0.000548007
         423     1.89222     1.86052 0.000551834
         424     1.89259      1.8606  0.00055569
         425     1.89296     1.86067 0.000559575
