#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.74316     2.74316           0
           2     2.74316     2.74316 1.17332e-07
           3     2.74316     2.74316 1.57699e-07
           4     2.74316     2.74316 1.88486e-07
           5     2.74316     2.74316 2.12831e-07
           6     2.74316     2.74316 2.35608e-07
           7     2.74316     2.74316 2.55626e-07
           8     2.74316     2.74316 2.73549e-07
           9     2.74316     2.74316 2.90817e-07
          10     2.74316     2.74316 3.06544e-07
          11     2.74316     2.74316 3.21609e-07
          12     2.74316     2.74316 3.36186e-07
          13     2.74316     2.74316     3.5e-07
          14     2.74316     2.74316 3.63435e-07
          15     2.74316     2.74316 3.76029e-07
          16     2.74316     2.74316  3.8836e-07
          17     2.74316     2.74316 4.00428e-07
          18     2.74316     2.74316 4.11936e-07
          19     2.74316     2.74316 4.23239e-07
          20     2.74316     2.74316 4.34184e-07
          21     2.74316     2.74316 4.44806e-07
          22     2.74316     2.74316 4.55223e-07
          23     2.74316     2.74316 4.65486e-07
          24     2.74315     2.74316 4.75399e-07
          25     2.74315     2.74316 4.85183e-07
          26     2.74315     2.74316 4.94837e-07
          27     2.74315     2.74316 5.04264e-07
          28     2.74315     2.74316 5.13604e-07
          29     2.74315     2.74316 5.22706e-07
          30     2.74315     2.74316 5.31674e-07
          31     2.74315     2.74316 5.40539e-07
          32     2.74315     2.74316  5.4925e-07
          33     2.74315     2.74316 5.57864e-07
          34     2.74315     2.74316  5.6629e-07
          35     2.74315     2.74316  5.7463e-07
          36     2.74315     2.74316 5.82862e-07
          37     2.74315     2.74316  5.9093e-07
          38     2.74315     2.74316 5.98941e-07
          39     2.74315     2.74316 6.06876e-07
          40     2.74315     2.74316 6.14734e-07
          41     2.74315     2.74316 6.22482e-07
          42     2.74315     2.74316 6.30125e-07
          43     2.74315     2.74316 6.54153e-07
          44     2.74314     2.74316 6.95046e-07
          45     2.74314     2.74315 7.51468e-07
          46     2.74314     2.74315 7.99487e-07
          47     2.74314     2.74315 8.40973e-07
          48     2.74314     2.74315 8.95373e-07
          49     2.74314     2.74315 9.42288e-07
          50     2.74313     2.74315 1.00034e-06
          51     2.74313     2.74315 1.06791e-06
          52     2.74313     2.74315 1.12597e-06
          53     2.74313     2.74315 1.17638e-06
          54     2.74313     2.74315 1.22053e-06
          55     2.74313     2.74315 1.27331e-06
          56     2.74312     2.74315 1.33371e-06
          57     2.74312     2.74315 1.41577e-06
          58     2.74312     2.74315 1.48677e-06
          59     2.74312     2.74315 1.56237e-06
          60     2.74311     2.74315 1.65609e-06
          61     2.74311     2.74315 1.73736e-06
          62     2.74311     2.74315 1.80841e-06
          63     2.74311     2.74315 1.87099e-06
          64     2.74311     2.74315 1.93754e-06
          65      2.7431     2.74315 2.01907e-06
          66      2.7431     2.74314 2.12664e-06
          67     2.74309     2.74314 2.22081e-06
          68     2.74309     2.74314 2.31489e-06
          69     2.74308     2.74314 2.43163e-06
          70     2.74308     2.74314 2.55696e-06
          71     2.74308     2.74314 2.66709e-06
          72     2.74307     2.74314 2.78538e-06
          73     2.74307     2.74314 2.89005e-06
          74     2.74307     2.74314 3.00254e-06
          75     2.74307     2.74314  3.1121e-06
          76     2.74306     2.74314 3.21896e-06
          77     2.74306     2.74313 3.32332e-06
          78     2.74305     2.74313 3.45257e-06
          79     2.74305     2.74313 3.56794e-06
          80     2.74305     2.74313 3.67134e-06
          81     2.74304     2.74313 3.79728e-06
          82     2.74304     2.74313 3.91857e-06
          83     2.74303     2.74313 4.05199e-06
