#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.05897     3.05897           0
           2     3.05953     3.05925 0.000197873
           3     3.02685     3.04845  0.00881838
           4     3.09418     3.05988   0.0119054
           5     3.06307     3.06052  0.00954141
           6     3.04003     3.05711  0.00854061
           7      3.0487     3.05591  0.00740447
           8     3.06002     3.05642  0.00649675
           9     3.03862     3.05444  0.00606859
          10      3.0521     3.05421  0.00546623
          11     3.04411     3.05329  0.00504584
          12     3.08242     3.05572  0.00517646
          13      3.0942     3.05868  0.00556081
          14     3.08206     3.06035  0.00540852
          15      3.0597      3.0603  0.00504813
          16      3.0461     3.05942  0.00481008
          17     3.04615     3.05864     0.00459
          18     3.08762     3.06025  0.00460872
          19      3.0518      3.0598  0.00438756
          20     3.08349     3.06099  0.00432506
          21     3.08699     3.06222  0.00429275
          22     3.06012     3.06213  0.00409869
          23      3.1255     3.06488  0.00475724
          24       3.086     3.06576  0.00463965
          25      3.0896     3.06672  0.00455098
          26     3.08221     3.06731   0.0044148
          27     3.10086     3.06856  0.00442271
          28     3.09366     3.06945  0.00435469
          29     3.10784     3.07078  0.00440109
          30     3.08988     3.07141  0.00430023
          31     3.08239     3.07177  0.00417608
          32     3.06053     3.07142  0.00406031
          33     3.07757      3.0716  0.00394155
          34     3.09653     3.07233  0.00389319
          35     3.06254     3.07206  0.00379199
          36     3.04746     3.07137  0.00374772
          37     3.11107     3.07244  0.00379691
          38     3.03799     3.07154  0.00380374
          39     3.01788     3.07016  0.00394723
          40     3.03917     3.06939  0.00392386
          41      3.0688     3.06937  0.00382818
          42      3.0611     3.06918   0.0037421
          43     3.09528     3.06978    0.003704
          44      3.0412     3.06913  0.00367633
          45     3.05698     3.06886  0.00360454
          46      3.0575     3.06862  0.00353464
          47     3.08125     3.06889  0.00346965
          48     3.04572      3.0684  0.00343077
          49     3.05305     3.06809  0.00337504
          50     3.07127     3.06815  0.00330813
