# VELOCITY:     AVE_POFV:        ERROR:
     0.19632 0.000507013           0
    0.588961   0.0281216           0
    0.981602    0.246633           0
     1.37424    0.243932           0
     1.76688    0.453459           0
     2.15952    0.526622           0
     2.55216    0.359944           0
      2.9448    0.234016           0
     3.33745    0.201025           0
     3.73009    0.120822           0
     4.12273   0.0741301           0
     4.51537   0.0268128           0
     4.90801   0.0143261           0
     5.30065  0.00174507           0
     5.69329   0.0140195           0
     6.08593 0.000742834           0
     6.47857           0           0
     6.87121           0           0
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00266477 3.59806e-05
    0.588961   0.0371122 0.000149919
    0.981602    0.227914 0.000312127
     1.37424    0.259278 0.000255895
     1.76688    0.421882 0.000526535
     2.15952    0.536974 0.000172628
     2.55216    0.381811 0.000364623
      2.9448    0.263258 0.000487606
     3.33745    0.170197  0.00051405
     3.73009    0.116684 6.90119e-05
     4.12273   0.0571746 0.000282733
     4.51537   0.0295483 4.56147e-05
     4.90801   0.0137306 9.92907e-06
     5.30065   0.0128522 0.000185211
     5.69329   0.0150689 1.74987e-05
     6.08593 0.000707461 5.89845e-07
     6.47857           0           0
     6.87121           0           0
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00275517 2.40501e-05
    0.588961   0.0514953 0.000294424
    0.981602     0.22965  0.00021075
     1.37424    0.280559 0.000443849
     1.76688    0.428823 0.000375605
     2.15952    0.494908 0.000818108
     2.55216    0.377918 0.000254377
      2.9448    0.277431  0.00042443
     3.33745    0.161619 0.000380425
     3.73009    0.100939 0.000306634
     4.12273   0.0561763 0.000189466
     4.51537   0.0338677 8.85544e-05
     4.90801   0.0173131 6.92967e-05
     5.30065    0.016983 0.000146874
     5.69329   0.0159493 2.05779e-05
     6.08593  0.00047164 4.55763e-06
     6.47857           0           0
     6.87121           0           0
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00245253 1.90671e-05
    0.588961   0.0527176 0.000222224
    0.981602    0.223201 0.000205739
     1.37424    0.311224 0.000709226
     1.76688    0.442437 0.000395798
     2.15952    0.471938 0.000772361
     2.55216    0.372714 0.000218386
      2.9448    0.265321 0.000403099
     3.33745    0.148245 0.000394978
     3.73009   0.0992597 0.000232519
     4.12273   0.0590553 0.000153783
     4.51537   0.0449355  0.00023559
     4.90801   0.0174743 5.20766e-05
     5.30065   0.0177455 0.000111251
     5.69329   0.0165428 1.96239e-05
     6.08593  0.00128817 1.70224e-05
     6.47857 0.000197499 4.03346e-06
     6.87121 0.000109067 2.22743e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632   0.0035208 2.72099e-05
    0.588961   0.0590848 0.000222804
    0.981602     0.22048 0.000174309
     1.37424    0.327413 0.000662209
     1.76688    0.437942  0.00033053
     2.15952    0.457979  0.00068445
     2.55216    0.361618 0.000292048
      2.9448    0.264805 0.000322663
     3.33745    0.156061   0.0003564
     3.73009   0.0996977 0.000186244
     4.12273   0.0572595 0.000128725
     4.51537   0.0415704 0.000201394
     4.90801   0.0262727 0.000190199
     5.30065   0.0162457 9.44556e-05
     5.69329   0.0147836 4.02905e-05
     6.08593   0.0010494 1.45193e-05
     6.47857 0.000853669 1.42114e-05
     6.87121 0.000221671 2.96924e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00319733   2.372e-05
    0.588961   0.0594876 0.000185872
    0.981602    0.224711 0.000171452
     1.37424     0.34764  0.00070295
     1.76688    0.423378 0.000417329
     2.15952    0.446873 0.000618456
     2.55216    0.358124 0.000254732
      2.9448    0.251915 0.000386391
     3.33745     0.16438 0.000346819
     3.73009    0.108721 0.000248636
     4.12273   0.0629384 0.000162643
     4.51537    0.041524 0.000167831
     4.90801   0.0237982 0.000167212
     5.30065   0.0144656 8.75451e-05
     5.69329    0.013933 3.82433e-05
     6.08593   0.0008745 1.26717e-05
     6.47857 0.000711391 1.22325e-05
     6.87121 0.000184726 2.59905e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00378828 2.40797e-05
    0.588961   0.0623138 0.000170851
    0.981602    0.225062 0.000147158
     1.37424    0.351899 0.000609662
     1.76688    0.425039 0.000359545
     2.15952    0.440748 0.000546714
     2.55216    0.342463 0.000405694
      2.9448    0.251723 0.000331219
     3.33745    0.171925 0.000339855
     3.73009    0.111364 0.000220793
     4.12273   0.0671414 0.000166898
     4.51537   0.0451562 0.000164265
     4.90801   0.0214613 0.000152135
     5.30065    0.012544  8.5971e-05
     5.69329   0.0127124 4.22464e-05
     6.08593 0.000749571 1.11987e-05
     6.47857 0.000609764 1.07172e-05
     6.87121 0.000158336 2.30105e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00614017 5.59954e-05
    0.588961   0.0673222 0.000185889
    0.981602    0.222673 0.000139126
     1.37424    0.349516 0.000536038
     1.76688    0.415894 0.000373723
     2.15952    0.433544 0.000504081
     2.55216    0.345211 0.000360121
      2.9448    0.259402 0.000335692
     3.33745    0.172469 0.000297615
     3.73009      0.1154 0.000212718
     4.12273   0.0693444 0.000153909
     4.51537   0.0472318 0.000150848
     4.90801   0.0190926 0.000143006
     5.30065   0.0111661 8.11329e-05
     5.69329   0.0111233 5.09426e-05
     6.08593 0.000655875 1.00145e-05
     6.47857 0.000533543 9.52706e-06
     6.87121 0.000138544 2.06021e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00765368 6.00813e-05
    0.588961   0.0682988 0.000166655
    0.981602    0.218337  0.00015681
     1.37424    0.339645 0.000524593
     1.76688    0.414843 0.000333019
     2.15952    0.427243 0.000469458
     2.55216    0.357667 0.000423276
      2.9448    0.270267 0.000383914
     3.33745    0.171012 0.000266523
     3.73009    0.118472 0.000201041
     4.12273   0.0699548 0.000137479
     4.51537   0.0437486 0.000154845
     4.90801   0.0184359 0.000127952
     5.30065   0.0102123 7.51711e-05
     5.69329  0.00988742 5.29677e-05
     6.08593    0.000583   9.048e-06
     6.47857 0.000474261 8.57045e-06
     6.87121 0.000123151 1.86301e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00750616 5.41738e-05
    0.588961   0.0687876 0.000150387
    0.981602    0.218889  0.00014167
     1.37424    0.340159 0.000472274
     1.76688    0.406043 0.000358588
     2.15952    0.423802 0.000429469
     2.55216     0.35971 0.000383679
      2.9448     0.27187 0.000347378
     3.33745    0.183019 0.000360136
     3.73009    0.118087 0.000181142
     4.12273   0.0698617 0.000123749
     4.51537   0.0407674 0.000154498
     4.90801   0.0190165 0.000115887
     5.30065  0.00935263 7.03347e-05
     5.69329  0.00892462 5.23113e-05
     6.08593   0.0005247 8.24699e-06
     6.47857 0.000426835 7.78604e-06
     6.87121 0.000110835 1.69919e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632   0.0084563 5.36829e-05
    0.588961   0.0704717 0.000141863
    0.981602    0.214367 0.000164095
     1.37424    0.344524 0.000440414
     1.76688    0.401825  0.00033951
     2.15952    0.419549 0.000401968
     2.55216    0.360144 0.000348935
      2.9448    0.275105 0.000324065
     3.33745    0.182813 0.000327429
     3.73009    0.120086 0.000170699
     4.12273   0.0738675 0.000144111
     4.51537   0.0395181 0.000143234
     4.90801   0.0183415  0.00010644
     5.30065  0.00871248 6.55406e-05
     5.69329  0.00811329 5.09346e-05
     6.08593    0.000477 7.57359e-06
     6.47857 0.000388031 7.13179e-06
     6.87121  0.00010076 1.56125e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632  0.00829989 4.93359e-05
    0.588961   0.0735769 0.000147736
    0.981602    0.213433 0.000151891
     1.37424    0.336255 0.000444789
     1.76688    0.397984 0.000323073
     2.15952    0.422832 0.000375851
     2.55216    0.367279 0.000358141
      2.9448     0.27108 0.000310645
     3.33745    0.184394 0.000302257
     3.73009    0.126016 0.000205942
     4.12273   0.0731878 0.000132991
     4.51537   0.0384888 0.000133339
     4.90801   0.0169771 0.000102317
     5.30065  0.00866639 6.00879e-05
     5.69329  0.00750301 4.86807e-05
     6.08593  0.00043725 7.00023e-06
     6.47857 0.000355695 6.57811e-06
     6.87121 9.23629e-05 1.44364e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632   0.0095616 5.37694e-05
    0.588961   0.0759668 0.000146728
    0.981602    0.211043 0.000150303
     1.37424    0.330798 0.000428788
     1.76688    0.393177 0.000317488
     2.15952    0.425419 0.000351856
     2.55216    0.369652 0.000334933
      2.9448    0.271751 0.000287152
     3.33745     0.18508 0.000279439
     3.73009    0.133939 0.000261449
     4.12273   0.0711578 0.000131093
     4.51537   0.0362764 0.000132898
     4.90801   0.0170707 9.44703e-05
     5.30065  0.00822468 5.63614e-05
     5.69329  0.00692586 4.68001e-05
     6.08593 0.000403615 6.50653e-06
     6.47857 0.000328334 6.10367e-06
     6.87121 8.52581e-05 1.34228e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632   0.0103399 5.29685e-05
    0.588961   0.0762811 0.000136435
    0.981602    0.210486 0.000140138
     1.37424    0.331389 0.000398387
     1.76688    0.381529 0.000396191
     2.15952    0.429142 0.000337502
     2.55216    0.373302 0.000321879
      2.9448    0.275348 0.000278887
     3.33745    0.182351 0.000266784
     3.73009     0.13754 0.000256194
     4.12273   0.0726006 0.000126067
     4.51537   0.0348441 0.000127625
     4.90801   0.0168283 8.78951e-05
     5.30065   0.0076869 5.37435e-05
     5.69329  0.00643115 4.48877e-05
     6.08593 0.000374786 6.07719e-06
     6.47857 0.000304882 5.69269e-06
     6.87121 7.91682e-05 1.25406e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632    0.010751 5.03169e-05
    0.588961   0.0779488 0.000132887
    0.981602    0.207736 0.000145034
     1.37424    0.322864 0.000419497
     1.76688    0.378807 0.000374945
     2.15952    0.432124 0.000322244
     2.55216    0.378925 0.000326592
      2.9448    0.280684 0.000287287
     3.33745    0.185923 0.000261957
     3.73009    0.135571 0.000243286
     4.12273   0.0711407 0.000122274
     4.51537   0.0346498 0.000119199
     4.90801   0.0158503 8.50076e-05
     5.30065  0.00717444 5.15014e-05
     5.69329  0.00600241 4.30188e-05
     6.08593   0.0003498 5.70054e-06
     6.47857 0.000284556 5.33332e-06
     6.87121 7.38903e-05 1.17662e-06
     7.26385           0           0
     7.65649           0           0
     8.04913           0           0
     8.44177           0           0
     8.83441           0           0
     9.22705           0           0
      9.6197           0           0
     10.0123           0           0
      10.405           0           0
     10.7976           0           0
     11.1903           0           0
     11.5829           0           0

     0.19632   0.0103989 4.78523e-05
