#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.316896   -0.316896           0
           2   -0.317321   -0.317108 0.000150284
           3   -0.284715    -0.30631  0.00881687
           4   -0.352108    -0.31776   0.0119182
           5   -0.320953   -0.318398  0.00955167
           6   -0.297917   -0.314985  0.00854794
           7   -0.306604   -0.313788  0.00741018
           8   -0.317861   -0.314297  0.00650137
           9    -0.29644   -0.312313   0.0060742
          10   -0.309975   -0.312079  0.00547128
          11   -0.301909   -0.311154   0.0050514
          12   -0.340321   -0.313585  0.00518232
          13   -0.352032   -0.316542  0.00556394
          14   -0.339911   -0.318212   0.0054111
          15   -0.317508   -0.318165  0.00505056
          16   -0.303949   -0.317276  0.00481241
          17   -0.304025   -0.316497  0.00459203
          18   -0.345414   -0.318103  0.00460938
          19   -0.309676    -0.31766  0.00438807
          20   -0.341456    -0.31885  0.00432697
          21   -0.344849   -0.320088   0.0042944
          22   -0.317975   -0.319992  0.00410028
          23   -0.383168   -0.322738  0.00475383
          24   -0.343809   -0.323616  0.00463611
          25   -0.347432   -0.324569  0.00454749
          26   -0.339994   -0.325162  0.00441111
          27   -0.358671   -0.326403  0.00441888
          28   -0.351557   -0.327302  0.00435142
          29   -0.365857   -0.328631  0.00439979
          30   -0.347783    -0.32927  0.00429919
          31   -0.340359   -0.329627  0.00417537
          32   -0.318497   -0.329279  0.00405935
          33   -0.335413   -0.329465  0.00394059
          34   -0.354375   -0.330198   0.0038922
          35   -0.320261   -0.329914  0.00379133
          36    -0.30528    -0.32923  0.00374726
          37   -0.369025   -0.330305   0.0037972
          38   -0.295881   -0.329399   0.0038038
          39    -0.27561    -0.32802   0.0039484
          40   -0.297021   -0.327245  0.00392501
          41    -0.32663    -0.32723  0.00382931
          42   -0.319038   -0.327035   0.0037431
          43   -0.353127   -0.327642  0.00370491
          44   -0.299078   -0.326993  0.00367714
          45   -0.314939   -0.326725  0.00360517
          46     -0.3153   -0.326476  0.00353534
          47   -0.339147   -0.326746  0.00347039
          48   -0.303541   -0.326263   0.0034316
          49   -0.310824   -0.325948    0.003376
          50    -0.32921   -0.326013  0.00330911
