#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.03931     2.03931           0
           2     2.03969      2.0395 0.000131916
           3      2.0179      2.0323  0.00587892
           4     2.06278     2.03992  0.00793693
           5     2.04205     2.04035  0.00636094
           6     2.02669     2.03807  0.00569374
           7     2.03247     2.03727  0.00493632
           8     2.04001     2.03761  0.00433117
           9     2.02574     2.03629  0.00404573
          10     2.03474     2.03614  0.00364415
          11      2.0294     2.03553   0.0033639
          12     2.05495     2.03714  0.00345098
          13      2.0628     2.03912   0.0037072
          14      2.0547     2.04023  0.00360568
          15      2.0398      2.0402  0.00336542
          16     2.03073     2.03961  0.00320672
          17     2.03077     2.03909     0.00306
          18     2.05841     2.04016  0.00307248
          19     2.03453     2.03987  0.00292504
          20     2.05566     2.04066  0.00288337
          21     2.05799     2.04148  0.00286183
          22     2.04008     2.04142  0.00273246
          23     2.08367     2.04326   0.0031715
          24     2.05733     2.04384   0.0030931
          25     2.05973     2.04448  0.00303399
          26     2.05481     2.04487   0.0029432
          27     2.06724      2.0457  0.00294848
          28     2.06244      2.0463  0.00290313
          29     2.07189     2.04718  0.00293406
          30     2.05992     2.04761  0.00286682
          31     2.05493     2.04784  0.00278405
          32     2.04035     2.04761  0.00270687
          33     2.05171     2.04773   0.0026277
          34     2.06435     2.04822  0.00259546
          35      2.0417     2.04804    0.002528
          36     2.03164     2.04758  0.00249848
          37     2.07405      2.0483  0.00253127
          38     2.02532     2.04769  0.00253583
          39     2.01192     2.04677  0.00263149
          40     2.02611     2.04626  0.00261591
          41     2.04587     2.04625  0.00255212
          42     2.04073     2.04612  0.00249473
          43     2.06352     2.04652  0.00246933
          44     2.02747     2.04609  0.00245089
          45     2.03799     2.04591  0.00240303
          46     2.03833     2.04574  0.00235643
          47     2.05417     2.04592   0.0023131
          48     2.03048      2.0456  0.00228718
          49     2.03537     2.04539  0.00225002
          50     2.04751     2.04544  0.00220542
