#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.74208     2.74208           0
           2     2.74221     2.74214 4.75895e-05
           3     2.74214     2.74214  3.1745e-05
           4     2.74207     2.74212 2.87838e-05
           5     2.74212     2.74212 2.30286e-05
           6     2.74211     2.74212 1.92683e-05
           7      2.7421     2.74212 1.68611e-05
           8     2.74216     2.74212 1.55205e-05
           9     2.74218     2.74213  1.4868e-05
          10     2.74213     2.74213 1.33814e-05
          11      2.7422     2.74214  1.3553e-05
          12      2.7421     2.74213 1.27602e-05
          13     2.74217     2.74214 1.21437e-05
          14     2.74215     2.74214 1.12966e-05
          15     2.74219     2.74214 1.10681e-05
          16     2.74215     2.74214 1.03883e-05
          17     2.74213     2.74214 9.81365e-06
          18      2.7422     2.74214 9.86273e-06
          19     2.74212     2.74214   9.409e-06
          20     2.74203     2.74214  1.0433e-05
          21     2.74214     2.74214 9.94148e-06
          22     2.74214     2.74214 9.49151e-06
          23     2.74233     2.74214 1.22644e-05
          24     2.74219     2.74215 1.18801e-05
          25     2.74217     2.74215 1.14334e-05
          26     2.74222     2.74215 1.13285e-05
          27     2.74219     2.74215 1.10144e-05
          28      2.7421     2.74215 1.07597e-05
          29     2.74198     2.74214  1.1893e-05
          30      2.7421     2.74214 1.15822e-05
          31     2.74203     2.74214 1.17343e-05
          32     2.74203     2.74214 1.18236e-05
          33     2.74216     2.74214 1.14834e-05
          34     2.74215     2.74214 1.11536e-05
          35     2.74228     2.74214 1.15964e-05
          36     2.74218     2.74214 1.13178e-05
          37     2.74205     2.74214 1.13069e-05
          38      2.7421     2.74214 1.10483e-05
          39     2.74227     2.74214 1.12446e-05
          40     2.74215     2.74214 1.09647e-05
          41     2.74217     2.74214 1.07171e-05
          42     2.74206     2.74214 1.06251e-05
          43     2.74216     2.74214 1.03839e-05
          44     2.74213     2.74214 1.01543e-05
          45     2.74204     2.74214 1.01611e-05
          46      2.7422     2.74214 1.00187e-05
          47     2.74211     2.74214 9.82947e-06
          48     2.74218     2.74214 9.65456e-06
          49     2.74222     2.74214 9.60637e-06
          50     2.74206     2.74214 9.56646e-06
