#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00592     3.00592           0
           2     3.00663     3.00628 0.000251465
           3     3.00737     3.00664 0.000341055
           4     3.00812     3.00701 0.000410463
           5     3.00889     3.00739 0.000470255
           6     3.00967     3.00777 0.000523829
           7     3.01046     3.00815 0.000572672
           8     3.01124     3.00854 0.000617552
           9     3.01202     3.00893 0.000658902
          10     3.01279     3.00931 0.000696983
          11     3.01354      3.0097 0.000731961
          12     3.01428     3.01008 0.000763953
          13     3.01499     3.01046 0.000793045
          14     3.01567     3.01083 0.000819308
          15     3.01633      3.0112 0.000842809
          16     3.01696     3.01156 0.000863616
          17     3.01755     3.01191 0.000881799
          18      3.0181     3.01225 0.000897437
          19     3.01862     3.01259 0.000910615
          20      3.0191     3.01291 0.000921428
          21     3.01954     3.01323 0.000929979
          22     3.01994     3.01353  0.00093638
          23      3.0203     3.01383 0.000940753
          24     3.02062     3.01411 0.000943226
          25     3.02091     3.01438 0.000943935
          26     3.02117     3.01464 0.000943023
          27     3.02139     3.01489 0.000940636
          28     3.02159     3.01513 0.000936925
          29     3.02176     3.01536 0.000932045
          30      3.0219     3.01558  0.00092615
          31     3.02204     3.01579 0.000919394
          32     3.02215     3.01599 0.000911931
          33     3.02226     3.01618 0.000903913
          34     3.02237     3.01636 0.000895486
          35     3.02248     3.01653 0.000886795
          36     3.02259      3.0167 0.000877979
          37     3.02272     3.01686 0.000869172
          38     3.02286     3.01702 0.000860505
          39     3.02303     3.01718 0.000852103
          40     3.02322     3.01733 0.000844089
          41     3.02344     3.01748 0.000836583
          42      3.0237     3.01762 0.000829704
          43       3.024     3.01777 0.000823569
          44     3.02435     3.01792 0.000818296
          45     3.02474     3.01807 0.000814002
          46     3.02517     3.01823 0.000810807
          47     3.02566     3.01839 0.000808826
          48      3.0262     3.01855 0.000808172
          49     3.02678     3.01872 0.000808956
          50     3.02742     3.01889 0.000811277
          51      3.0281     3.01907 0.000815222
          52     3.02883     3.01926 0.000820863
          53      3.0296     3.01945 0.000828253
          54     3.03042     3.01966  0.00083742
          55     3.03126     3.01987 0.000848366
          56     3.03214     3.02009 0.000861064
          57     3.03305     3.02031 0.000875461
          58     3.03397     3.02055 0.000891472
          59     3.03491     3.02079  0.00090899
          60     3.03586     3.02104 0.000927881
          61     3.03681      3.0213 0.000947992
          62     3.03776     3.02157 0.000969152
          63      3.0387     3.02184 0.000991179
          64     3.03962     3.02212  0.00101388
          65     3.04052      3.0224  0.00103707
          66      3.0414     3.02269  0.00106054
          67     3.04224     3.02298  0.00108411
          68     3.04304     3.02328  0.00110759
          69     3.04381     3.02357  0.00113079
