#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.264421   -0.264421           0
           2   -0.265157   -0.264789 0.000260201
           3   -0.265912   -0.265163 0.000351548
           4    -0.26669   -0.265545 0.000422722
           5   -0.267467   -0.265929 0.000482235
           6   -0.268246   -0.266315 0.000534543
           7    -0.26903   -0.266703 0.000582058
           8    -0.26981   -0.267092 0.000625594
           9   -0.270576   -0.267479 0.000665182
          10   -0.271327   -0.267864 0.000701217
          11   -0.272062   -0.268245 0.000734047
          12   -0.272773   -0.268623 0.000763699
          13   -0.273461   -0.268995 0.000790473
          14   -0.274116   -0.269361 0.000814271
          15   -0.274744    -0.26972  0.00083534
          16   -0.275335    -0.27007  0.00085368
          17   -0.275892   -0.270413 0.000869438
          18   -0.276412   -0.270746 0.000882697
          19   -0.276895    -0.27107 0.000893595
          20   -0.277334   -0.271383 0.000902146
          21   -0.277733   -0.271685 0.000908446
          22   -0.278095   -0.271977 0.000912674
          23    -0.27842   -0.272257 0.000914971
          24   -0.278706   -0.272526 0.000915455
          25   -0.278956   -0.272783 0.000914257
          26   -0.279179   -0.273029 0.000911593
          27   -0.279376   -0.273264 0.000907638
          28   -0.279546   -0.273488 0.000902524
          29   -0.279694   -0.273702 0.000896409
          30   -0.279824   -0.273906 0.000889451
          31   -0.279937   -0.274101 0.000881774
          32   -0.280043   -0.274286 0.000873554
          33   -0.280149   -0.274464 0.000864957
          34   -0.280256   -0.274634 0.000856128
          35   -0.280368   -0.274798 0.000847193
          36   -0.280494   -0.274957 0.000838302
          37   -0.280639    -0.27511 0.000829596
          38   -0.280814    -0.27526 0.000821233
          39   -0.281009   -0.275408 0.000813299
          40   -0.281234   -0.275553 0.000805902
          41   -0.281494   -0.275698 0.000799165
          42   -0.281796   -0.275843 0.000793216
          43   -0.282134    -0.27599 0.000788145
          44   -0.282528   -0.276138 0.000784114
          45   -0.282962    -0.27629 0.000781214
          46   -0.283452   -0.276446 0.000779594
          47   -0.283989   -0.276606 0.000779351
          48   -0.284575   -0.276772 0.000780596
          49   -0.285208   -0.276944 0.000783421
          50   -0.285889   -0.277123 0.000787916
          51   -0.286619   -0.277309 0.000794163
          52   -0.287392   -0.277503 0.000802212
          53   -0.288202   -0.277705 0.000812077
          54   -0.289053   -0.277915 0.000823779
          55   -0.289929   -0.278134 0.000837262
          56   -0.290839   -0.278361 0.000852498
          57   -0.291765   -0.278596 0.000869372
          58   -0.292705   -0.278839 0.000887766
          59   -0.293654    -0.27909 0.000907538
          60   -0.294604   -0.279349 0.000928515
          61   -0.295555   -0.279614 0.000950542
          62   -0.296486   -0.279886 0.000973385
          63   -0.297412   -0.280165 0.000996892
          64   -0.298311   -0.280448  0.00102084
          65   -0.299186   -0.280736  0.00104505
          66   -0.300025   -0.281029   0.0010693
          67   -0.300827   -0.281324   0.0010934
          68   -0.301589   -0.281622   0.0011172
          69   -0.302305   -0.281922  0.00114051
          70   -0.302973   -0.282223  0.00116319
          71   -0.303581   -0.282524  0.00118507
          72   -0.304141   -0.282824  0.00120604
          73    -0.30463   -0.283122  0.00122596
          74   -0.305066   -0.283419  0.00124474
          75   -0.305435   -0.283713  0.00126228
          76   -0.305737   -0.284002   0.0012785
          77   -0.305974   -0.284288  0.00129335
          78    -0.30615   -0.284568  0.00130679
          79   -0.306253   -0.284842  0.00131876
          80   -0.306288   -0.285111  0.00132924
          81    -0.30625   -0.285372   0.0013382
          82   -0.306148   -0.285625  0.00134566
          83   -0.305985    -0.28587  0.00135162
          84   -0.305749   -0.286107  0.00135609
          85    -0.30545   -0.286334  0.00135909
          86   -0.305085   -0.286552  0.00136067
          87   -0.304657   -0.286761  0.00136085
          88   -0.304166   -0.286958  0.00135968
          89   -0.303611   -0.287145  0.00135721
          90      -0.303   -0.287322  0.00135352
          91   -0.302325   -0.287486  0.00134865
          92   -0.301596    -0.28764  0.00134268
          93   -0.300813   -0.287781   0.0013357
          94   -0.299976   -0.287911  0.00132777
          95   -0.299084   -0.288029  0.00131899
          96   -0.298139   -0.288134  0.00130945
          97   -0.297146   -0.288227  0.00129924
          98   -0.296109   -0.288307  0.00128847
          99    -0.29502   -0.288375  0.00127724
         100   -0.293897   -0.288431  0.00126566
         101   -0.292747   -0.288473  0.00125385
         102   -0.291558   -0.288503  0.00124192
         103   -0.290334   -0.288521  0.00122999
         104   -0.289084   -0.288527  0.00121818
         105   -0.287813    -0.28852  0.00120659
         106   -0.286528   -0.288501  0.00119536
         107   -0.285228    -0.28847  0.00118458
         108   -0.283931   -0.288428  0.00117435
         109   -0.282633   -0.288375  0.00116478
         110   -0.281343   -0.288311  0.00115595
         111   -0.280067   -0.288237  0.00114792
         112    -0.27881   -0.288153  0.00114075
         113   -0.277579   -0.288059  0.00113449
         114   -0.276391   -0.287957  0.00112914
         115   -0.275248   -0.287846  0.00112472
         116    -0.27415   -0.287728   0.0011212
         117   -0.273116   -0.287604  0.00111856
         118    -0.27214   -0.287472  0.00111673
         119   -0.271237   -0.287336  0.00111564
         120   -0.270412   -0.287195  0.00111523
         121   -0.269674    -0.28705  0.00111537
         122   -0.269025   -0.286902  0.00111597
         123    -0.26847   -0.286753  0.00111691
         124   -0.268011   -0.286601  0.00111809
         125   -0.267652    -0.28645  0.00111937
         126   -0.267392   -0.286299  0.00112066
         127   -0.267233   -0.286149  0.00112185
         128   -0.267178      -0.286  0.00112283
         129   -0.267225   -0.285855  0.00112352
         130    -0.26737   -0.285713  0.00112384
         131   -0.267598   -0.285574  0.00112373
         132   -0.267927   -0.285441  0.00112314
         133   -0.268338   -0.285312  0.00112203
         134   -0.268832   -0.285189  0.00112038
         135   -0.269403   -0.285072  0.00111817
         136   -0.270043   -0.284962  0.00111539
         137   -0.270738   -0.284858  0.00111207
         138   -0.271492   -0.284761  0.00110822
         139   -0.272301   -0.284671  0.00110387
         140   -0.273146   -0.284589  0.00109905
         141   -0.274024   -0.284514  0.00109381
         142   -0.274931   -0.284447  0.00108819
         143   -0.275862   -0.284386  0.00108223
         144   -0.276811   -0.284334  0.00107599
         145   -0.277767   -0.284289  0.00106952
         146   -0.278739   -0.284251  0.00106287
         147   -0.279707    -0.28422  0.00105609
         148   -0.280669   -0.284196  0.00104923
         149   -0.281624   -0.284178  0.00104233
         150   -0.282568   -0.284168  0.00103544
         151   -0.283495   -0.284163  0.00102859
         152   -0.284406   -0.284165  0.00102182
         153   -0.285302   -0.284172  0.00101517
         154   -0.286175   -0.284185  0.00100866
         155   -0.287024   -0.284204  0.00100232
         156    -0.28785   -0.284227 0.000996169
         157   -0.288648   -0.284255 0.000990222
         158   -0.289423   -0.284288 0.000984495
         159   -0.290171   -0.284325 0.000978998
         160   -0.290892   -0.284366 0.000973739
         161   -0.291587   -0.284411 0.000968724
         162   -0.292246   -0.284459 0.000963951
         163   -0.292886   -0.284511 0.000959422
         164   -0.293504   -0.284566 0.000955138
         165   -0.294093   -0.284623 0.000951093
         166   -0.294653   -0.284684  0.00094728
         167   -0.295189   -0.284747 0.000943695
         168   -0.295698   -0.284812 0.000940326
         169    -0.29618   -0.284879 0.000937165
         170   -0.296642   -0.284948 0.000934203
         171   -0.297077   -0.285019 0.000931428
         172   -0.297487   -0.285092  0.00092883
         173   -0.297876   -0.285166 0.000926396
         174   -0.298246   -0.285241 0.000924117
         175   -0.298593   -0.285317  0.00092198
         176   -0.298917   -0.285394 0.000919974
         177   -0.299217   -0.285473 0.000918085
         178   -0.299495   -0.285551 0.000916301
         179   -0.299759   -0.285631 0.000914613
         180   -0.300001    -0.28571  0.00091301
         181   -0.300224   -0.285791  0.00091148
         182    -0.30043   -0.285871 0.000910014
         183   -0.300615   -0.285952   0.0009086
         184   -0.300778   -0.286032 0.000907228
         185   -0.300924   -0.286113 0.000905888
         186   -0.301053   -0.286193 0.000904572
         187   -0.301164   -0.286273 0.000903271
         188    -0.30126   -0.286353 0.000901977
         189    -0.30133   -0.286432 0.000900679
         190    -0.30139   -0.286511 0.000899373
         191   -0.301429   -0.286589 0.000898049
         192   -0.301453   -0.286666 0.000896703
         193   -0.301459   -0.286743 0.000895326
         194   -0.301449   -0.286819 0.000893914
         195   -0.301413   -0.286894 0.000892458
         196   -0.301366   -0.286967 0.000890954
         197   -0.301296    -0.28704 0.000889395
         198   -0.301209   -0.287112 0.000887777
         199   -0.301098   -0.287182 0.000886093
         200   -0.300973   -0.287251 0.000884342
         201   -0.300827   -0.287319 0.000882518
         202   -0.300665   -0.287385 0.000880618
         203   -0.300479   -0.287449  0.00087864
         204   -0.300276   -0.287512 0.000876579
         205   -0.300046   -0.287573 0.000874433
         206   -0.299795   -0.287632 0.000872199
         207   -0.299523    -0.28769 0.000869875
         208   -0.299224   -0.287745 0.000867458
         209   -0.298907   -0.287799  0.00086495
         210   -0.298567    -0.28785  0.00086235
         211   -0.298209   -0.287899 0.000859659
         212   -0.297827   -0.287946 0.000856879
         213   -0.297417    -0.28799 0.000854009
         214   -0.296983   -0.288032 0.000851051
         215   -0.296524   -0.288072 0.000848009
         216   -0.296039   -0.288109 0.000844885
         217   -0.295534   -0.288143 0.000841684
         218   -0.295004   -0.288175 0.000838411
         219   -0.294447   -0.288203 0.000835072
         220   -0.293866   -0.288229 0.000831672
         221   -0.293262   -0.288252 0.000828221
         222   -0.292631   -0.288271 0.000824725
         223   -0.291969   -0.288288 0.000821193
         224   -0.291289   -0.288301 0.000817637
         225   -0.290585   -0.288312 0.000814066
         226   -0.289863   -0.288318 0.000810493
         227   -0.289117   -0.288322  0.00080693
         228   -0.288349   -0.288322 0.000803391
         229   -0.287562   -0.288319 0.000799889
         230   -0.286756   -0.288312  0.00079644
         231   -0.285931   -0.288302 0.000793059
         232   -0.285093   -0.288288 0.000789761
         233    -0.28424    -0.28827 0.000786563
         234   -0.283371   -0.288249  0.00078348
         235   -0.282488   -0.288225  0.00078053
         236   -0.281598   -0.288197 0.000777727
         237   -0.280701   -0.288165 0.000775089
         238     -0.2798    -0.28813 0.000772628
         239   -0.278893   -0.288091 0.000770362
         240   -0.277985   -0.288049 0.000768302
         241   -0.277083   -0.288004  0.00076646
         242   -0.276185   -0.287955 0.000764847
         243   -0.275291   -0.287903 0.000763473
         244   -0.274405   -0.287848 0.000762346
         245   -0.273528   -0.287789 0.000761471
         246   -0.272666   -0.287728 0.000760853
         247   -0.271811   -0.287663 0.000760497
         248   -0.270986   -0.287596 0.000760397
         249   -0.270181   -0.287526 0.000760553
         250   -0.269397   -0.287454  0.00076096
         251   -0.268638   -0.287379 0.000761612
         252   -0.267899   -0.287301 0.000762502
         253   -0.267193   -0.287222 0.000763619
         254   -0.266513    -0.28714 0.000764953
         255   -0.265861   -0.287057 0.000766491
         256   -0.265246   -0.286972 0.000768218
         257   -0.264655   -0.286885 0.000770121
         258   -0.264102   -0.286796 0.000772182
         259   -0.263583   -0.286707 0.000774384
         260   -0.263099   -0.286616 0.000776711
         261   -0.262646   -0.286524 0.000779145
         262    -0.26222   -0.286431 0.000781675
         263   -0.261835   -0.286338 0.000784277
         264    -0.26148   -0.286244 0.000786938
         265   -0.261154   -0.286149 0.000789644
         266   -0.260856   -0.286054  0.00079238
         267   -0.260592   -0.285959  0.00079513
         268   -0.260358   -0.285863  0.00079788
         269   -0.260154   -0.285768 0.000800618
         270   -0.259969   -0.285672 0.000803334
         271    -0.25981   -0.285577 0.000806018
         272   -0.259667   -0.285481 0.000808664
         273   -0.259555   -0.285386 0.000811259
         274   -0.259459   -0.285292 0.000813798
         275   -0.259383   -0.285197 0.000816274
         276   -0.259326   -0.285104 0.000818681
         277   -0.259286   -0.285011 0.000821014
         278   -0.259264   -0.284918 0.000823267
         279   -0.259252   -0.284826  0.00082544
         280   -0.259254   -0.284735 0.000827529
         281   -0.259271   -0.284644 0.000829531
         282     -0.2593   -0.284554 0.000831443
         283   -0.259338   -0.284465 0.000833266
         284   -0.259392   -0.284377 0.000834996
         285   -0.259452   -0.284289 0.000836634
         286   -0.259524   -0.284203 0.000838178
         287   -0.259603   -0.284117 0.000839628
         288   -0.259695   -0.284032 0.000840984
         289   -0.259801   -0.283948 0.000842243
         290    -0.25991   -0.283865 0.000843408
         291   -0.260036   -0.283784 0.000844475
         292   -0.260169   -0.283703 0.000845447
         293   -0.260307   -0.283623 0.000846324
         294   -0.260458   -0.283544 0.000847105
         295   -0.260622   -0.283466  0.00084779
         296   -0.260791    -0.28339 0.000848379
         297   -0.260972   -0.283314 0.000848874
         298   -0.261171    -0.28324 0.000849271
         299    -0.26137   -0.283167 0.000849575
         300   -0.261585   -0.283095 0.000849783
         301   -0.261815   -0.283024 0.000849896
         302   -0.262055   -0.282955 0.000849913
         303   -0.262308   -0.282887 0.000849835
         304   -0.262579    -0.28282 0.000849661
         305   -0.262863   -0.282754 0.000849391
         306   -0.263162    -0.28269 0.000849025
         307   -0.263473   -0.282628 0.000848564
         308   -0.263802   -0.282567 0.000848007
         309   -0.264137   -0.282507 0.000847358
         310   -0.264484   -0.282449 0.000846616
         311   -0.264849   -0.282392 0.000845783
         312   -0.265222   -0.282337 0.000844861
         313   -0.265613   -0.282284  0.00084385
         314   -0.266018   -0.282232 0.000842751
         315    -0.26643   -0.282182 0.000841567
         316   -0.266849   -0.282133 0.000840302
