#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00395     2.00395           0
           2     2.00442     2.00419 0.000167643
           3     2.00491     2.00443  0.00022737
           4     2.00542     2.00468 0.000273642
           5     2.00593     2.00493 0.000313504
           6     2.00645     2.00518 0.000349219
           7     2.00697     2.00544 0.000381781
           8     2.00749     2.00569 0.000411702
           9     2.00801     2.00595 0.000439268
          10     2.00852     2.00621 0.000464655
          11     2.00903     2.00646 0.000487974
          12     2.00952     2.00672 0.000509302
          13     2.00999     2.00697 0.000528696
          14     2.01045     2.00722 0.000546205
          15     2.01089     2.00746 0.000561873
          16      2.0113      2.0077 0.000575744
          17      2.0117     2.00794 0.000587866
          18     2.01207     2.00817 0.000598291
          19     2.01241     2.00839 0.000607077
          20     2.01273     2.00861 0.000614285
          21     2.01302     2.00882 0.000619986
          22     2.01329     2.00902 0.000624254
          23     2.01353     2.00922 0.000627169
          24     2.01375     2.00941 0.000628817
          25     2.01394     2.00959  0.00062929
          26     2.01411     2.00976 0.000628682
          27     2.01426     2.00993  0.00062709
          28     2.01439     2.01009 0.000624617
          29      2.0145     2.01024 0.000621363
          30      2.0146     2.01039 0.000617433
          31     2.01469     2.01052 0.000612929
          32     2.01477     2.01066 0.000607954
          33     2.01484     2.01078 0.000602608
          34     2.01491     2.01091 0.000596991
          35     2.01498     2.01102 0.000591197
          36     2.01506     2.01113 0.000585319
          37     2.01514     2.01124 0.000579448
          38     2.01524     2.01135  0.00057367
          39     2.01535     2.01145 0.000568069
          40     2.01548     2.01155 0.000562726
          41     2.01563     2.01165 0.000557722
          42      2.0158     2.01175 0.000553136
          43       2.016     2.01185 0.000549046
          44     2.01623     2.01195  0.00054553
          45     2.01649     2.01205 0.000542668
          46     2.01678     2.01215 0.000540538
          47     2.01711     2.01226 0.000539217
          48     2.01746     2.01237 0.000538782
          49     2.01785     2.01248 0.000539304
          50     2.01828     2.01259 0.000540851
          51     2.01873     2.01271 0.000543481
          52     2.01922     2.01284 0.000547242
          53     2.01974     2.01297 0.000552169
          54     2.02028      2.0131  0.00055828
          55     2.02084     2.01325 0.000565577
          56     2.02143     2.01339 0.000574043
          57     2.02203     2.01354  0.00058364
          58     2.02265      2.0137 0.000594315
          59     2.02328     2.01386 0.000605994
          60     2.02391     2.01403 0.000618587
          61     2.02454      2.0142 0.000631994
          62     2.02517     2.01438 0.000646101
          63      2.0258     2.01456 0.000660786
          64     2.02641     2.01475 0.000675923
          65     2.02702     2.01493  0.00069138
          66      2.0276     2.01513  0.00070703
          67     2.02816     2.01532 0.000722741
          68      2.0287     2.01552 0.000738391
          69      2.0292     2.01572  0.00075386
          70     2.02968     2.01592 0.000769034
          71     2.03012     2.01612 0.000783808
          72     2.03053     2.01632 0.000798084
          73      2.0309     2.01652 0.000811775
          74     2.03123     2.01671   0.0008248
          75     2.03152     2.01691 0.000837091
          76     2.03177     2.01711 0.000848584
          77     2.03197      2.0173  0.00085923
          78     2.03213     2.01749 0.000868984
          79     2.03224     2.01768 0.000877812
          80     2.03231     2.01786 0.000885688
          81     2.03233     2.01804 0.000892593
          82     2.03231     2.01821 0.000898516
          83     2.03224     2.01838 0.000903454
          84     2.03213     2.01855 0.000907407
          85     2.03198      2.0187 0.000910386
          86     2.03178     2.01886 0.000912404
          87     2.03153       2.019  0.00091348
          88     2.03125     2.01914  0.00091364
          89     2.03092     2.01927 0.000912912
          90     2.03055      2.0194 0.000911332
          91     2.03014     2.01952 0.000908935
          92      2.0297     2.01963 0.000905765
          93     2.02921     2.01973 0.000901868
          94     2.02869     2.01983 0.000897293
          95     2.02813     2.01991 0.000892092
          96     2.02753     2.01999 0.000886323
          97      2.0269     2.02006 0.000880046
          98     2.02624     2.02013 0.000873322
          99     2.02555     2.02018 0.000866219
         100     2.02483     2.02023 0.000858805
         101     2.02409     2.02027 0.000851151
         102     2.02331      2.0203 0.000843331
         103     2.02252     2.02032  0.00083542
         104     2.02171     2.02033 0.000827494
         105     2.02087     2.02034 0.000819629
         106     2.02003     2.02033 0.000811902
         107     2.01917     2.02032 0.000804387
         108     2.01831      2.0203 0.000797155
         109     2.01744     2.02028 0.000790273
         110     2.01658     2.02024 0.000783805
         111     2.01571      2.0202 0.000777806
         112     2.01486     2.02015 0.000772321
         113     2.01402      2.0201  0.00076739
         114     2.01321     2.02004 0.000763039
         115     2.01241     2.01997 0.000759282
         116     2.01165      2.0199 0.000756123
         117     2.01091     2.01983 0.000753553
         118     2.01022     2.01974 0.000751549
         119     2.00957     2.01966 0.000750078
         120     2.00897     2.01957 0.000749094
         121     2.00842     2.01948 0.000748544
         122     2.00793     2.01938 0.000748366
         123      2.0075     2.01929  0.00074849
         124     2.00713     2.01919 0.000748846
         125     2.00682     2.01909 0.000749358
         126     2.00659     2.01899 0.000749953
         127     2.00641     2.01889 0.000750557
         128     2.00631     2.01879 0.000751101
         129     2.00627      2.0187 0.000751523
         130      2.0063      2.0186 0.000751764
         131      2.0064     2.01851 0.000751774
         132     2.00656     2.01842 0.000751512
         133     2.00677     2.01833 0.000750943
         134     2.00705     2.01824 0.000750043
         135     2.00738     2.01816 0.000748794
         136     2.00776     2.01809 0.000747189
         137     2.00818     2.01802 0.000745226
         138     2.00865     2.01795 0.000742911
         139     2.00915     2.01788 0.000740258
         140     2.00969     2.01783 0.000737283
         141     2.01025     2.01777  0.00073401
         142     2.01084     2.01772 0.000730465
         143     2.01144     2.01768 0.000726676
         144     2.01206     2.01764 0.000722676
         145     2.01269     2.01761 0.000718497
         146     2.01333     2.01758 0.000714171
         147     2.01398     2.01755 0.000709733
         148     2.01462     2.01753 0.000705214
         149     2.01526     2.01752 0.000700646
         150      2.0159     2.01751 0.000696058
         151     2.01653      2.0175 0.000691479
         152     2.01715      2.0175 0.000686933
         153     2.01775      2.0175 0.000682446
         154     2.01835      2.0175 0.000678037
         155     2.01893     2.01751 0.000673725
         156      2.0195     2.01753 0.000669526
         157     2.02005     2.01754 0.000665454
         158     2.02058     2.01756 0.000661521
         159      2.0211     2.01758 0.000657734
         160      2.0216     2.01761 0.000654102
         161     2.02208     2.01764 0.000650628
         162     2.02254     2.01767 0.000647316
         163     2.02299      2.0177 0.000644166
         164     2.02341     2.01773  0.00064118
         165     2.02382     2.01777 0.000638354
         166     2.02421     2.01781 0.000635687
         167     2.02459     2.01785 0.000633174
         168     2.02494     2.01789  0.00063081
         169     2.02528     2.01794 0.000628591
         170      2.0256     2.01798 0.000626509
         171     2.02591     2.01803 0.000624559
         172      2.0262     2.01808 0.000622732
         173     2.02648     2.01812 0.000621023
         174     2.02674     2.01817 0.000619422
         175     2.02698     2.01822 0.000617923
         176     2.02721     2.01828 0.000616518
         177     2.02743     2.01833 0.000615199
         178     2.02763     2.01838 0.000613957
         179     2.02782     2.01843 0.000612787
         180     2.02799     2.01849 0.000611679
         181     2.02815     2.01854 0.000610627
         182      2.0283     2.01859 0.000609623
         183     2.02844     2.01865  0.00060866
         184     2.02856      2.0187 0.000607732
         185     2.02867     2.01875 0.000606833
         186     2.02877     2.01881 0.000605954
         187     2.02886     2.01886 0.000605091
         188     2.02893     2.01891 0.000604238
         189     2.02899     2.01897 0.000603388
         190     2.02904     2.01902 0.000602537
         191     2.02908     2.01907  0.00060168
         192     2.02911     2.01913 0.000600811
         193     2.02912     2.01918 0.000599925
         194     2.02912     2.01923 0.000599019
         195     2.02911     2.01928 0.000598087
         196     2.02909     2.01933 0.000597126
         197     2.02906     2.01938 0.000596133
         198     2.02901     2.01943 0.000595103
         199     2.02895     2.01948 0.000594033
         200     2.02888     2.01952 0.000592919
         201     2.02879     2.01957  0.00059176
         202     2.02869     2.01961 0.000590552
         203     2.02858     2.01966 0.000589293
         204     2.02846      2.0197 0.000587981
         205     2.02832     2.01974 0.000586613
         206     2.02816     2.01978 0.000585188
         207       2.028     2.01982 0.000583705
         208     2.02782     2.01986 0.000582162
         209     2.02762      2.0199 0.000580558
         210     2.02741     2.01994 0.000578893
         211     2.02718     2.01997 0.000577168
         212     2.02694        2.02 0.000575381
         213     2.02668     2.02003 0.000573533
         214     2.02641     2.02006 0.000571626
         215     2.02612     2.02009 0.000569661
         216     2.02581     2.02012 0.000567639
         217     2.02549     2.02014 0.000565563
         218     2.02515     2.02017 0.000563436
         219      2.0248     2.02019  0.00056126
         220     2.02443     2.02021  0.00055904
         221     2.02404     2.02022 0.000556779
         222     2.02364     2.02024 0.000554483
         223     2.02321     2.02025 0.000552157
         224     2.02278     2.02026 0.000549807
         225     2.02233     2.02027  0.00054744
         226     2.02186     2.02028 0.000545063
         227     2.02138     2.02028 0.000542683
         228     2.02088     2.02029 0.000540309
         229     2.02037     2.02029  0.00053795
         230     2.01984     2.02029 0.000535614
         231      2.0193     2.02028 0.000533312
         232     2.01875     2.02028 0.000531054
         233     2.01819     2.02027  0.00052885
         234     2.01762     2.02025  0.00052671
         235     2.01705     2.02024 0.000524646
         236     2.01646     2.02023 0.000522668
         237     2.01587     2.02021 0.000520786
         238     2.01527     2.02019 0.000519012
         239     2.01466     2.02016 0.000517354
         240     2.01406     2.02014 0.000515823
         241     2.01345     2.02011 0.000514427
         242     2.01285     2.02008 0.000513175
         243     2.01225     2.02005 0.000512074
         244     2.01165     2.02001  0.00051113
         245     2.01106     2.01998 0.000510349
         246     2.01047     2.01994 0.000509734
         247      2.0099      2.0199 0.000509288
         248     2.00933     2.01985 0.000509013
         249     2.00878     2.01981 0.000508908
         250     2.00824     2.01976 0.000508972
         251     2.00772     2.01972 0.000509203
         252     2.00721     2.01967 0.000509596
         253     2.00672     2.01962 0.000510146
         254     2.00624     2.01956 0.000510846
         255     2.00579     2.01951  0.00051169
         256     2.00536     2.01945 0.000512668
         257     2.00495      2.0194 0.000513771
         258     2.00456     2.01934  0.00051499
         259     2.00419     2.01928 0.000516314
         260     2.00384     2.01922 0.000517732
         261     2.00352     2.01916 0.000519234
         262     2.00321      2.0191 0.000520807
         263     2.00293     2.01904 0.000522441
