#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1      2.7415      2.7415           0
           2     2.74148     2.74149 8.73536e-06
           3     2.74146     2.74148 1.05195e-05
           4     2.74144     2.74147 1.22761e-05
           5     2.74143     2.74146 1.21551e-05
           6     2.74143     2.74145 1.12431e-05
           7     2.74143     2.74145 1.02559e-05
           8     2.74143     2.74145 9.27534e-06
           9     2.74144     2.74145 8.26445e-06
          10     2.74146     2.74145  7.5209e-06
          11     2.74148     2.74145 7.28392e-06
          12      2.7415     2.74146  7.8202e-06
          13     2.74153     2.74146 8.89278e-06
          14     2.74156     2.74147 1.05882e-05
          15     2.74159     2.74148 1.25011e-05
          16     2.74162     2.74148 1.46459e-05
          17     2.74165     2.74149 1.68496e-05
          18     2.74169     2.74151 1.90804e-05
          19     2.74172     2.74152 2.12458e-05
          20     2.74176     2.74153 2.34628e-05
          21      2.7418     2.74154  2.5733e-05
          22     2.74184     2.74156 2.79456e-05
          23     2.74188     2.74157 3.00723e-05
          24     2.74192     2.74158 3.21322e-05
          25     2.74196      2.7416 3.41308e-05
          26     2.74199     2.74161 3.59557e-05
          27     2.74202     2.74163 3.75659e-05
          28     2.74204     2.74164 3.89952e-05
          29     2.74206     2.74166 4.02357e-05
          30     2.74208     2.74167 4.12815e-05
          31      2.7421     2.74169 4.21768e-05
          32     2.74211      2.7417 4.28847e-05
          33     2.74211     2.74171 4.33818e-05
          34     2.74211     2.74172 4.36738e-05
          35     2.74211     2.74174 4.37853e-05
          36      2.7421     2.74175 4.37072e-05
          37     2.74208     2.74175 4.34403e-05
          38     2.74205     2.74176 4.29725e-05
          39     2.74202     2.74177 4.23668e-05
          40     2.74199     2.74177 4.16554e-05
          41     2.74195     2.74178 4.08614e-05
          42     2.74191     2.74178 4.00064e-05
          43     2.74187     2.74178 3.91299e-05
          44     2.74182     2.74178 3.82496e-05
          45     2.74177     2.74178 3.74002e-05
          46     2.74172     2.74178 3.66121e-05
          47     2.74167     2.74178   3.591e-05
          48     2.74162     2.74178  3.5315e-05
          49     2.74157     2.74177 3.48366e-05
          50     2.74153     2.74177 3.44819e-05
          51     2.74148     2.74176 3.42583e-05
          52     2.74144     2.74176 3.41596e-05
          53      2.7414     2.74175 3.41644e-05
          54     2.74136     2.74174 3.42722e-05
          55     2.74133     2.74173 3.44424e-05
          56      2.7413     2.74173 3.46786e-05
          57     2.74128     2.74172 3.49365e-05
          58     2.74127     2.74171 3.51923e-05
          59     2.74126      2.7417 3.54243e-05
          60     2.74126      2.7417 3.56061e-05
          61     2.74126     2.74169 3.57393e-05
          62     2.74127     2.74168 3.57827e-05
          63     2.74129     2.74168 3.57596e-05
          64     2.74131     2.74167  3.5653e-05
          65     2.74134     2.74167 3.54696e-05
          66     2.74137     2.74166 3.52086e-05
          67     2.74141     2.74166 3.48783e-05
          68     2.74145     2.74165 3.44929e-05
