#      	   X:		    Y:		  	 Z:
        30.37     -1.18434     -1.53709
      30.0158     -3.43692     -1.07191
      29.1978     -4.60075     -1.31475
      29.4634       -5.583     -3.81276
      29.5415     -7.04221     -5.63044
      29.5415     -7.04221     -5.63044
      30.0322     -5.19956     -5.95416
      30.0322     -5.19956     -5.95416
      30.0322     -5.19956     -5.95416
      30.7595     -5.41521     -7.06291
      30.7595     -5.41521     -7.06291
      30.7595     -5.41521     -7.06291
      30.7595     -5.41521     -7.06291
      29.4908     -5.21032     -8.69171
      29.4908     -5.21032     -8.69171
      29.7384     -5.10185     -8.90483
      29.7384     -5.10185     -8.90483
      27.7704     -2.64484     -8.43043
      27.7704     -2.64484     -8.43043
      27.3605     -5.22928     -5.38479
      27.2865     -6.66419     -7.08351
      27.2865     -6.66419     -7.08351
      27.5329     -2.90493     -7.37313
       27.592     -4.54301     -9.35653
      27.0622     -7.04784     -11.2209
      27.0622     -7.04784     -11.2209
      27.3343     -5.60333     -9.62571
      27.3343     -5.60333     -9.62571
      27.3343     -5.60333     -9.62571
      27.7032     -5.77925     -9.52101
      28.0675     -7.54451     -10.9696
      29.6679     -7.64944     -10.6752
      30.1071     -7.88992     -11.0871
       31.034     -8.19115     -11.0717
       31.034     -8.19115     -11.0717
       31.034     -8.19115     -11.0717
      29.7262     -8.59685     -12.4378
      28.0563     -9.08226     -11.5537
      26.3712     -9.92462     -11.9343
      27.0876       -9.724     -13.0136
      28.3674      -11.605     -14.4014
      27.5592     -12.9604       -14.43
      24.9938     -13.0727     -14.6209
      24.9938     -13.0727     -14.6209
      23.8285     -12.5988     -15.7407
      23.8285     -12.5988     -15.7407
      24.7836     -11.1383     -17.2822
      25.1681     -8.84584     -16.4846
      25.1561     -11.5655     -16.6066
      25.1561     -11.5655     -16.6066
      26.2189     -10.4597     -16.0582
      26.2189     -10.4597     -16.0582
      24.8262      -10.945     -15.1001
      24.8262      -10.945     -15.1001
      28.2588     -9.19449     -14.2355
      25.8171      -9.3229     -15.7886
      25.8171      -9.3229     -15.7886
      26.0815     -7.13329     -15.4459
      23.6294     -9.77076     -15.5967
      22.8715     -11.0884     -15.0131
      22.8715     -11.0884     -15.0131
       23.338     -10.6886     -16.5965
      22.8889     -10.2384     -16.5363
      22.2954     -12.2976     -15.4963
      20.5456     -11.8156     -14.3425
      19.4335     -13.3065     -13.0728
       17.962     -12.6254     -13.4078
       17.962     -12.6254     -13.4078
      17.7748     -14.3076     -15.5228
      17.7748     -14.3076     -15.5228
      17.7748     -14.3076     -15.5228
      18.0645     -14.7063     -15.1843
      18.0645     -14.7063     -15.1843
      19.0728     -13.5174     -14.7689
      19.0728     -13.5174     -14.7689
      19.0728     -13.5174     -14.7689
      19.8506     -14.2428     -12.4591
      20.4814     -14.0401     -11.5235
      20.1756     -13.1042     -9.63024
      20.1756     -13.1042     -9.63024
      18.9871     -13.9286     -7.74764
      17.4189     -13.3013     -7.96817
      17.6418     -10.7448      -4.3649
      16.7155      -11.434     -4.14528
      14.7789     -11.7348     -5.93283
      14.7789     -11.7348     -5.93283
      14.2675     -12.6198     -6.25287
      12.7051      -11.583     -3.88869
