#      	   X:		    Y:		  	 Z:
      28.8679    -0.990246     0.688948
      28.7993    -0.774742      1.30404
      28.7993    -0.774742      1.30404
      28.7993    -0.774742      1.30404
      28.7993    -0.774742      1.30404
      27.4932   -0.0107812     0.503506
      27.4729     0.757361     0.440919
      26.7466   -0.0248343     0.356309
       27.097     0.216571    -0.891829
      28.3926     0.978725    -0.886256
      28.3926     0.978725    -0.886256
      28.9277    -0.226631     -2.02338
      29.1596     0.793383     -3.36509
      29.1596     0.793383     -3.36509
      30.4161      2.11301     -2.42524
      29.3175     0.773448     -1.78497
       30.774     0.470514     -2.46671
      30.8884    -0.182909     -2.52213
      30.0326     -1.62933     -3.67936
      29.3096      -2.7079     -2.47257
      28.5284     -1.71279     -1.72626
      27.6321      -2.7355     -1.20147
      27.6321      -2.7355     -1.20147
      27.6321      -2.7355     -1.20147
      27.6321      -2.7355     -1.20147
      27.6321      -2.7355     -1.20147
      28.7779     -3.36424    -0.355695
      29.7685     -2.28079     0.360138
      29.0498     -1.21068      0.50354
      29.3135      -0.8398       1.1173
      29.3135      -0.8398       1.1173
      28.4529    -0.850942      2.13281
      28.4529    -0.850942      2.13281
      28.4529    -0.850942      2.13281
      28.2776     0.458956      3.38125
      27.0113    -0.232408      4.58838
      27.9842     0.205988      3.65068
      26.6644    -0.898499      2.18956
       25.619     0.534304      3.16145
       25.619     0.534304      3.16145
      25.9142    -0.220351      3.93638
      25.9016     0.942114      3.51338
      26.7827     0.287665      4.44052
      27.3776     0.592629        5.168
      25.8778      1.06218      4.55709
      25.8778      1.06218      4.55709
      25.6019      2.39653      5.19974
      26.7552      1.46459      6.60805
      26.2508      2.53827      7.50293
      26.6053      1.48737      7.61904
      26.7257      1.11403      8.10771
      25.7741    -0.360248      7.88564
      24.9003     -1.76242      7.36472
      24.9383     -1.85429      7.42564
       23.597     -1.64812      8.63692
      22.9746     -1.36552      7.81688
      21.7016     -2.51186      6.36731
      20.5892     -2.02416      5.90366
      19.2792     -3.45652      6.06938
      19.2792     -3.45652      6.06938
      19.1721     -4.34745      7.02977
      19.1721     -4.34745      7.02977
