#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      28.8931      28.8931            0
            2      28.8392      28.8662    0.0269667
            3      28.8392      28.8572    0.0179778
            4      28.8392      28.8527    0.0134833
            5      28.1446      28.7111     0.142008
            6      26.8478      28.4005     0.331479
            7      26.8444      28.1782     0.357633
            8      26.1074      27.9194     0.403651
            9      26.5404      27.7662     0.387558
           10      27.8508      27.7746     0.346746
           11      28.3599      27.8278     0.318124
           12      28.3599      27.8722     0.293772
           13      28.7543        27.94      0.27862
           14      28.7543      27.9982     0.264428
           15      30.0207       28.133     0.280676
           16      28.7767      28.1732     0.265612
           17      28.7767      28.2087     0.252012
           18      28.8623       28.245     0.240357
           19      28.0845      28.2366     0.227512
           20      27.3023      28.1899     0.220835
           21      26.4519      28.1071     0.225772
           22      25.5819      27.9923     0.243955
           23      25.3384      27.8769     0.260103
           24      25.3673      27.7724     0.270094
           25      25.3673      27.6762     0.276351
           26      24.7229      27.5626     0.288786
           27      26.0396      27.5062     0.283552
           28      26.0396      27.4538     0.278212
           29      25.2671      27.3784     0.278836
           30      25.2671       27.308     0.278422
           31      24.5491       27.219     0.283617
           32        23.85      27.1137     0.294101
           33      22.4359       26.972     0.318351
           34      22.4359      26.8386     0.336429
           35      22.3694      26.7109     0.350745
           36      21.4332      26.5643     0.371053
           37      21.4332      26.4256     0.386613
           38      19.9423       26.255     0.413172
           39      19.0042      26.0691     0.443309
           40      19.0042      25.8924     0.466789
           41      19.0042      25.7244     0.485272
           42        18.85      25.5608     0.501064
           43        18.85      25.4047     0.513561
           44        18.85      25.2557     0.523401
           45      17.2556      25.0779     0.541645
           46      17.2556      24.9079     0.556363
           47      17.2258      24.7444     0.568404
           48      17.2258      24.5878     0.578063
           49      17.1447      24.4359     0.586167
           50      17.3741      24.2947     0.591435
           51      17.6126      24.1637     0.594344
           52      16.5867      24.0179     0.600741
           53      15.6575      23.8602     0.610045
           54      15.7223      23.7095     0.617318
           55      14.9349        23.55     0.626639
           56      14.0053      23.3795     0.638516
           57      12.4408      23.1876     0.655916
           58      11.1723      22.9805     0.676983
           59      10.3738      22.7668     0.698875
           60      10.3738      22.5602     0.717502
           61      10.3738      22.3605     0.733376
           62      10.3738      22.1671     0.746906
           63      10.2052      21.9772     0.759085
           64      9.96856      21.7896     0.770331
           65      9.89985      21.6067     0.780135
           66      9.89985      21.4293     0.788436
           67      8.82816      21.2412     0.799029
           68      8.59671      21.0553     0.808855
           69      7.86487      20.8641     0.819651
           70      7.05985      20.6669     0.831578
           71      7.05985      20.4753     0.841886
           72      7.25631      20.2917     0.850171
           73      7.68556       20.119     0.856043
           74      7.68556       19.951      0.86095
           75      6.59971       19.773     0.867847
           76      6.58235      19.5994     0.873763
           77      6.58235      19.4303     0.878755
           78      6.05282      19.2588     0.884208
           79      6.05282      19.0917     0.888805
           80      6.05282      18.9287     0.892631
           81       6.6275      18.7768     0.894528
           82       6.6275      18.6287     0.895888
           83      5.79119       18.474     0.898442
           84      5.79119       18.323      0.90043
           85      5.79119      18.1756     0.901906
           86      5.14328       18.024     0.904147
           87       5.0923      17.8754      0.90597
           88      5.05623      17.7297     0.907386
           89      5.05623      17.5873     0.908363
           90      5.05623      17.4481     0.908941
           91      4.08913      17.3013     0.910806
           92      4.08913      17.1577     0.912226
           93      3.82678      17.0143     0.913678
           94      3.82678       16.874     0.914729
           95      3.82678      16.7367      0.91541
           96      3.82678      16.6022     0.915752
           97      2.74567      16.4594     0.917452
           98      2.74567      16.3194     0.918761
           99      2.78813      16.1827     0.919647
          100      2.27839      16.0437      0.92096
          101      2.27839      15.9074     0.921926
          102      2.28654      15.7739     0.922559
