#      	   X:		    Y:		  	 Z:
           30            0            0
      29.6458     -2.25257     0.465178
      28.8278      -3.4164      0.22234
      28.8278      -3.4164      0.22234
      28.9059     -4.87561     -1.59534
      28.9059     -4.87561     -1.59534
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      29.3966     -3.03296     -1.91905
      28.1279     -2.82806     -3.54785
      28.1279     -2.82806     -3.54785
      28.3754      -2.7196     -3.76097
      28.3754      -2.7196     -3.76097
      26.4074    -0.262589     -3.28657
      26.4074    -0.262589     -3.28657
      25.9976     -2.84703    -0.240936
      25.9236     -4.28193     -1.93966
      25.9236     -4.28193     -1.93966
      26.1699     -0.52268     -2.22927
      26.2291     -2.16076     -4.21267
      26.2291     -2.16076     -4.21267
      26.2291     -2.16076     -4.21267
      26.5012    -0.716249     -2.61746
      26.5012    -0.716249     -2.61746
      26.5012    -0.716249     -2.61746
      26.8701    -0.892175     -2.51276
      27.2344     -2.65743     -3.96138
      27.2344     -2.65743     -3.96138
      27.6735     -2.89791     -4.37332
      28.6005     -3.19914     -4.35788
      28.6005     -3.19914     -4.35788
      28.6005     -3.19914     -4.35788
      27.2926     -3.60485     -5.72398
      25.6227     -4.09026     -4.83988
      23.9377     -4.93262     -5.22048
      23.9377     -4.93262     -5.22048
      23.9377     -4.93262     -5.22048
      23.1295     -6.28803     -5.24908
      20.5641     -6.40031     -5.44006
      20.5641     -6.40031     -5.44006
      19.3988     -5.92644     -6.55985
      19.3988     -5.92644     -6.55985
      19.3988     -5.92644     -6.55985
      19.7833     -3.63401     -5.76223
      19.7713     -6.35365     -5.88423
      19.7713     -6.35365     -5.88423
      19.7713     -6.35365     -5.88423
      19.7713     -6.35365     -5.88423
      18.3786     -6.83901     -4.92607
      18.3786     -6.83901     -4.92607
      18.3786     -6.83901     -4.92607
