#      	   X:		    Y:		  	 Z:
      28.8679    -0.990246     0.688948
      28.7993    -0.774742      1.30404
      28.7993    -0.774742      1.30404
      28.7993    -0.774742      1.30404
       28.137    -0.637169     -0.14406
      26.8309     0.126792    -0.944589
      26.8106     0.894935     -1.00718
      26.0843     0.112739     -1.09179
      26.4347     0.354144     -2.33992
      27.7303       1.1163     -2.33435
      28.2883     0.724351     -1.87849
      28.2883     0.724351     -1.87849
      28.5201      1.74437      -3.2202
      28.5201      1.74437      -3.2202
      29.7767      3.06399     -2.28035
      28.6781      1.72443     -1.64008
      28.6781      1.72443     -1.64008
      28.7926      1.07101     -1.69549
      27.9367    -0.375414     -2.85272
      27.2138     -1.45398     -1.64594
      26.4326    -0.458877    -0.899629
      25.5362     -1.48158    -0.374833
       25.236     -2.00101      1.08455
      25.0466     -3.41492      2.12185
      25.0466     -3.41492      2.12185
      24.3865     -2.10531      3.47718
      25.5322     -2.73405      4.32296
      25.5322     -2.73405      4.32296
      24.8135     -1.66394      4.46636
      24.8135     -1.66394      4.46636
      24.3384    -0.883811      3.08461
      23.4778    -0.894953      4.10011
      22.1476      -2.1615      2.86084
      22.1476      -2.1615      2.86084
      21.9722      -0.8516      4.10929
      20.7059     -1.54296      5.31642
      20.7059     -1.54296      5.31642
      19.3862     -2.64745       3.8553
      18.3407     -1.21465      4.82719
      18.3407     -1.21465      4.82719
      18.3407     -1.21465      4.82719
      18.3282   -0.0521847      4.40419
      18.3282   -0.0521847      4.40419
      18.3282   -0.0521847      4.40419
      16.8284     0.417368      3.79328
      16.8284     0.417368      3.79328
      16.5525      1.75172      4.43593
      16.5525      1.75172      4.43593
      16.0481       2.8254      5.33082
      16.4025       1.7745      5.44693
       16.523      1.40116       5.9356
      15.5714   -0.0731192      5.71353
      14.6976     -1.47529      5.19261
      14.7355     -1.56716      5.25353
      13.3942     -1.36099      6.46481
      12.7719     -1.07839      5.64477
      11.4989     -2.22473       4.1952
      10.3864     -1.73703      3.73155
      9.07641     -3.16939      3.89727
      9.07641     -3.16939      3.89727
      9.07641     -3.16939      3.89727
      9.07641     -3.16939      3.89727
