#      	   X:		    Y:		  	 Z:
      1.08728       3.9647      3.06934
       2.1119    -0.528247      7.91199
    0.0685337     0.815674     -2.17648
   -0.0852441      1.82874     -3.95471
    -0.623492     0.551231     -1.95432
      1.35189    -0.369697       7.9235
     0.379495      2.10268      4.23464
      6.68902     -1.66311      4.02029
     0.249826      2.44092     -1.15764
      1.44077     -1.74892     -3.80439
    -0.929134      2.12698      2.34564
      0.25601     -0.38115      5.84376
      2.73736     -1.27812      -4.3021
     -2.61301    -0.120271     -1.67169
       4.1807    0.0276617      3.34867
     -2.14548     -2.45588      2.25035
     -4.87229     0.462562     -6.49405
    -0.054997      1.14804     0.464908
        6.977    -0.187526     -2.11114
     -3.34306     0.222046      8.38885
      -2.8591     -2.75154      3.02719
    -0.511398    -0.290222      2.75299
      0.78628     -2.27458     -1.93529
     -1.22789     0.680805     -2.88216
      3.70052     -1.53175      6.68649
      3.89554     -3.66348     -3.37406
     -2.09487      2.86526     -1.89964
     -2.71258      3.07748      2.28783
   -0.0476828     0.622908      2.80638
     -2.58269     -1.20647     -3.10744
     -4.40307     -1.63448      5.44193
    -0.545638      1.51653      2.54562
       1.1209     -1.05883      5.08053
     -1.39743     -3.73002      3.25866
     -2.75335      -3.2946     -5.08352
      1.68131      2.35252      3.55495
    -0.981825    -0.939401     -2.32037
     -2.68472    0.0958368      -6.6684
     0.495522    -0.405335     -2.21587
      4.74435     -2.93474      8.12874
    -0.987571     0.502693     -2.22833
       1.7586    -0.194658     -2.98193
      1.44733     0.481263     -3.79401
     -1.80019      -1.2058      2.42029
     -2.72059      2.58488     -5.54313
    -0.570146     -2.83302      3.33579
     0.725769      1.25246      4.60633
      1.62335      4.08545      3.55539
     0.317655    -0.205764     -3.06942
      1.76163     -1.80175     -2.83587
    -0.810611    -0.135344      3.88766
     -1.21625      2.17383      4.66949
    -0.278231     -1.43174     -3.09597
      -1.7638     -2.02916      5.72325
    -0.837369      1.60792      1.28216
     -1.98745     -2.71064     -2.53749
     -5.32596     0.420869      3.58427
     -1.26005      1.84565      1.72345
    -0.811115      3.55285     -3.92436
     -1.08247     0.547618      3.20234
       -4.985      5.33319     -7.75624
    -0.536808      1.99715      2.08337
      1.14865      1.89529      -3.8039
       2.3948     -2.54549     -1.51581
       1.4711     0.930332      3.43495
      4.57077     -5.76071     -2.39683
     -1.27737    -0.391016     -2.62861
     0.571391     -4.49385     -3.01103
      2.36508     0.076154     -4.77608
    -0.678202       1.4007      1.38394
      5.20019     0.993241     -4.54602
      2.91201     0.266499     -1.18592
     -2.00401     0.428939     -8.92462
     0.391574      1.52838     -3.58291
     -2.62368     0.382016     -5.44641
     0.660237    0.0828315     -2.33218
   -0.0213342      1.88738      -5.3947
     -2.11939    0.0282509     -2.51224
       3.0385     -2.10845      4.14637
      0.47366     -3.63626      2.03155
   -0.0810436       1.1565    -0.947213
     0.801342      1.16644      1.01635
   0.00159788      1.43792     -2.44384
      2.17311      3.95262      4.38922
      2.44381     0.632312     -3.54935
     -1.01843   -0.0669482       6.9641
     -1.59734   -0.0311739      3.74899
     0.150323      1.05247     -2.78307
     -2.59804     -2.28309      1.31187
     -1.45522      3.01357     -3.35156
      1.18735      -1.0979     -4.57937
     -1.06978      3.61743      4.51115
    -0.119347     -2.23267      3.09799
     0.947194      3.93075      1.89211
    -0.789554     -4.48471     -8.32584
     -1.98858     0.532645     -2.29661
  0.000156012    0.0501629     -5.99228
     -1.66617      3.32672     -2.59769
      1.67072      -4.7873      3.54114
     -2.74703     -6.39039     -1.70201
