#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      5.07912      5.07912            0
            2       4.9868      5.03296    0.0461596
            3      5.13814      5.06802    0.0440388
            4      4.89316      5.02431    0.0536737
            5      5.17642      5.05473    0.0515178
            6      4.85138      5.02084    0.0540184
            7      4.95778      5.01183    0.0465342
            8      5.01435      5.01215     0.040301
            9      4.90766      5.00054    0.0373902
           10      5.03565      5.00405    0.0336266
           11      5.10545      5.01327    0.0317827
           12      5.03226      5.01485    0.0290566
           13      5.02183      5.01539    0.0267336
           14      4.83254      5.00233     0.027985
           15      5.00282      5.00236    0.0260526
           16      4.92105      4.99728    0.0248942
           17      5.07838      5.00205    0.0238657
           18      4.91365      4.99714    0.0230305
           19      5.05254      5.00005     0.021979
           20      5.05008      5.00255    0.0210006
           21      5.03557      5.00413    0.0200373
           22      5.02466      5.00506    0.0191276
           23      5.09413      5.00893    0.0186828
           24      5.02155      5.00946    0.0178952
           25      4.98594      5.00852    0.0171902
           26      5.10801      5.01234    0.0169533
           27      5.06463      5.01428    0.0164278
           28      4.82146      5.00739    0.0172633
           29      4.83601      5.00148    0.0176747
           30       5.1823      5.00751    0.0181079
           31      4.92437      5.00483    0.0177182
           32      4.89055      5.00126    0.0175233
           33      4.99779      5.00115    0.0169843
           34      4.95642      4.99984    0.0165297
           35      4.95974      4.99869    0.0160913
           36      5.20064       5.0043    0.0166137
           37       4.9865      5.00382    0.0161656
           38      5.11354      5.00671    0.0159971
           39      5.07769      5.00853    0.0156875
           40      5.10643      5.01098    0.0154849
           41      4.95641      5.00964    0.0151611
           42      4.91081      5.00729    0.0149816
           43      5.08078        5.009    0.0147286
           44      4.96858      5.00808    0.0144192
           45      5.06399      5.00932    0.0141498
           46      5.07365      5.01072    0.0139093
           47      4.84196      5.00713    0.0140758
           48      4.88306      5.00455    0.0140198
           49      5.14577      5.00743    0.0140299
           50      4.98623      5.00701     0.013753
           51      4.96615       5.0062    0.0135044
           52      4.94351        5.005    0.0132969
           53      4.87828      5.00261    0.0132609
           54      5.07139      5.00388    0.0130752
           55      4.98141      5.00347    0.0128418
           56      5.13242      5.00578    0.0128189
           57        5.136      5.00806    0.0127976
           58      4.90848      5.00634    0.0126917
           59      4.81691      5.00313    0.0128812
           60      4.95227      5.00228    0.0126931
           61      5.07276      5.00344    0.0125366
           62      5.18579      5.00638    0.0126786
           63      4.90852      5.00483    0.0125721
           64      5.23408      5.00841    0.0128821
           65      4.81442      5.00543    0.0130288
           66      5.12703      5.00727    0.0129615
           67      5.14115      5.00927     0.012922
           68       5.0655      5.01009    0.0127574
           69      4.74829       5.0063    0.0131313
           70      5.00053      5.00622    0.0129426
           71      5.04161      5.00672    0.0127687
           72      4.92523      5.00558    0.0126409
           73      5.15733      5.00766    0.0126386
           74      4.99798      5.00753    0.0124674
           75      4.91204      5.00626    0.0123657
           76      4.92188      5.00515    0.0122524
           77       4.9935        5.005    0.0120931
           78       5.1749      5.00717    0.0121342
           79      5.13761      5.00883    0.0120929
           80       4.9564      5.00817    0.0119587
           81      5.25742      5.01125    0.0122045
           82      5.15262      5.01297    0.0121774
           83      5.11129      5.01416    0.0120879
           84      4.94828      5.01337    0.0119689
           85      5.06764      5.01401    0.0118445
           86      5.12891      5.01535    0.0117819
           87      4.86327       5.0136    0.0117762
           88      4.98804      5.01331    0.0116452
           89      4.94469      5.01254    0.0115394
           90       4.9947      5.01234    0.0114122
           91      4.88304      5.01092    0.0113752
           92      5.02083      5.01103    0.0112514
           93      5.03258      5.01126    0.0111321
           94      5.00821      5.01123    0.0110131
           95      5.11642      5.01233    0.0109527
           96      4.84687      5.01061    0.0109742
           97      4.96039      5.01009    0.0108728
           98      5.01331      5.01012    0.0107613
           99       4.9708      5.00973    0.0106595
          100      4.97892      5.00942    0.0105568
