#      	   X:		    Y:		  	 Z:
    -0.864005     0.857122     -5.23949
      1.29134      1.03946      3.41518
      3.08742     -1.56688     -4.07566
      1.81834      2.64202     -3.11402
     -3.84604      4.23665      6.05817
     0.877714     0.442347      2.94987
     0.983763     -3.73504      4.71942
      1.44671      1.49857     -3.08023
      7.60055     0.283179     -9.50992
      3.48848    -0.757042     -2.30111
      -1.9625     -2.24198     0.904702
    -0.633752     0.456123      4.05143
      4.33789        -2.71      6.32302
     -1.83065    -0.800426     -2.50144
      3.36352     0.889114      1.37498
     -2.25901     -1.03642     -2.83306
      1.19061      0.75126      2.69528
     -1.26269     -2.30182    -0.954532
     -1.54465     -1.91736      -5.3993
     -2.91723     0.654595      1.61971
     -2.97445     -3.17325     -6.65587
     -1.98928      3.30575       6.0922
      1.56052     -3.91235      -6.4781
      3.20713     -0.73859      6.17747
      1.62006     -0.38769      3.49124
     -1.31914      2.34643      3.78969
     -3.89127      3.95734     -2.61967
    -0.348554     -1.81162     -1.71222
     -1.16768    -0.129319     -2.06236
     -4.65476     -1.78403     -5.00519
     0.290671     -2.00487     -2.36404
     0.772829      1.61395      5.43024
     -2.78795    -0.870119       2.4361
    -0.265848      1.16253    -0.954545
     -2.53456     0.639698     -3.97404
    0.0203972       6.3279     -4.51834
      0.89522      3.06743     -4.98649
     0.165371     -1.51987      1.68661
      0.39163      1.76968      -3.4701
     -1.66096      1.52565      -1.9683
    -0.755227     -2.23788     -5.07063
      1.67604     -1.29321      4.77223
    -0.480564    0.0207446     -1.09378
     -1.85461     -1.30414       3.4483
    -0.972753    -0.360734      2.26753
   -0.0777153      1.21005     -1.68719
    -0.825045        3.138     -5.22361
     -2.22384     -2.54746      1.18225
     0.499427     -3.26448      3.24829
     -1.17629     -2.51625      4.67162
      1.43129   -0.0672076      1.09477
    -0.184941    0.0398502      1.09055
     -0.17497    -0.865287       2.8235
      1.28656     0.795101     -1.18738
     -3.47671    0.0283364     -4.59933
     -1.76249     -1.66992      1.30461
    -0.860365      1.46292      -2.7063
     -1.73335     -2.06656      3.67747
      3.79522      3.50141      4.04919
      1.56894      -1.8818      2.06742
     -5.91872    0.0367418     -6.92513
     -2.93568    -0.872545     -2.46665
      1.93976     -1.34887      2.96552
     -0.61875    -0.734127      2.84264
      2.01084    -0.390079      2.40681
     0.280569     -1.35027     -1.05794
      2.45057    -0.275013      2.48205
      -1.5093      3.06928      3.61457
    -0.976415    -0.183045     -7.25882
     -6.03198     -4.44696      3.79372
     -1.89629      -4.5576      4.09437
      2.68521      3.98524      5.36408
     0.660512      -1.2223      2.52848
      1.19239      2.81933     -2.42109
      -4.8942     -5.31131      4.50435
      3.78344     -1.79039      2.18586
      0.24086     -2.18332      -4.3843
     -1.13178    -0.219302      7.62597
      1.23235     -4.62383      3.51764
     -0.20621     -3.77464      4.51189
      2.67221     -0.56366      4.46315
     -0.27806      1.96623     -4.46794
    -0.920563     -1.63499      2.25296
     -3.30445      2.78164      6.99915
     -0.55685    -0.439561     -3.18542
     -3.47756      2.38604      3.24584
      3.88424     -2.01734      5.71426
     -0.55931     -2.41298      3.98472
      -9.3583      2.95337      4.53291
     0.826423     0.778544     -2.86668
      1.29301     -2.88514     -3.88439
     -3.13978     -3.13777      5.45456
      1.09539      1.86571      2.92392
     -2.16239     -2.49155     -1.26358
     -1.80866      1.23373      7.23109
      1.59217    -0.336446     -3.92801
     -3.58275    -0.354662       -6.136
    -0.313196      3.36931      5.40886
    0.0623242      1.22267       4.7629
     -1.38897      2.79567      1.98309
