#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      5.26299      5.26299            0
            2      5.00503      5.13401     0.128981
            3      5.13944      5.13582    0.0744894
            4      4.89095       5.0746    0.0807577
            5      5.04851      5.06939    0.0627719
            6       4.9762      5.05385    0.0535547
            7      4.92132      5.03492    0.0490626
            8       5.1317      5.04702    0.0441782
            9      4.86138      5.02639    0.0440843
           10      5.10472      5.03423    0.0402007
           11      5.10995      5.04111    0.0370088
           12      4.90087      5.02942    0.0357484
           13       4.8707      5.01721    0.0350771
           14       4.8289      5.00376    0.0351505
           15      4.82424      4.99179    0.0348433
           16      4.89999      4.98606    0.0330941
           17      4.88011      4.97982    0.0317051
           18      5.03021      4.98262    0.0300226
           19      5.03397      4.98533    0.0285268
           20      5.11959      4.99204    0.0278831
           21      4.93117      4.98914      0.02668
           22      5.11511      4.99487    0.0260748
           23       4.9161      4.99144    0.0251496
           24      5.01614      4.99247    0.0241009
           25      4.96308       4.9913    0.0231466
           26      5.12015      4.99625    0.0227841
           27       4.8492       4.9908    0.0225904
           28      5.02764      4.99212    0.0218083
           29      4.97174      4.99142    0.0210546
           30      4.92272      4.98913    0.0204692
           31      4.96064      4.98821    0.0198192
           32      5.01798      4.98914    0.0192124
           33      5.00368      4.98958    0.0186263
           34      5.12178      4.99347    0.0184838
           35      5.04955      4.99507    0.0180193
           36      5.09308      4.99779     0.017722
           37       4.9678      4.99698    0.0172554
           38      4.84608      4.99301    0.0172583
           39      5.14591      4.99693    0.0172611
           40      4.99829      4.99697     0.016824
           41      5.01291      4.99735    0.0164132
           42      4.97721      4.99687    0.0160248
           43      4.89558      4.99452     0.015824
           44      5.08267      4.99652    0.0155895
           45      5.03578       4.9974     0.015264
           46      5.07549      4.99909    0.0150248
           47      4.94151      4.99787    0.0147526
           48      5.02173      4.99836    0.0144505
           49      5.00941      4.99859    0.0141543
           50       5.0251      4.99912    0.0138785
           51      4.87468      4.99668    0.0138207
           52       5.0132        4.997    0.0135561
           53      5.09615      4.99887    0.0134288
           54      4.78119      4.99484    0.0137805
           55      5.00115      4.99495    0.0135281
           56      5.32613      5.00087    0.0145413
           57      4.90168      4.99913    0.0143895
           58      4.99227      4.99901    0.0141397
           59      4.87549      4.99691    0.0140548
           60      5.22276      5.00068     0.014322
           61      4.92888       4.9995    0.0141344
           62      4.90668        4.998    0.0139849
           63      5.04012      4.99867    0.0137774
           64       4.8966      4.99708    0.0136539
           65      4.87596      4.99521    0.0135707
           66      4.90429      4.99384    0.0134343
           67      4.79759      4.99091    0.0135526
           68      4.92383      4.98992    0.0133882
           69      5.00171      4.99009    0.0131938
           70      4.94944      4.98951    0.0130169
           71      4.87951      4.98796    0.0129255
           72      4.90456       4.9868    0.0127972
           73      5.09833      4.98833    0.0127128
           74      4.88485      4.98693    0.0126176
           75      4.79477      4.98437    0.0127092
           76      4.81421      4.98213    0.0127391
           77      5.07555      4.98335     0.012631
           78      5.11649      4.98505    0.0125843
           79      5.01845      4.98548    0.0124312
           80      4.98494      4.98547    0.0122748
           81      4.81407      4.98335    0.0123056
           82      5.24889      4.98659    0.0125786
           83      5.03288      4.98715    0.0124386
           84      4.93215      4.98649    0.0123071
           85       5.1478      4.98839    0.0123086
           86      4.86095      4.98691    0.0122546
           87       5.0768      4.98794    0.0121569
           88      4.92695      4.98725    0.0120379
           89      5.01333      4.98754    0.0119055
           90       5.0561       4.9883    0.0117971
           91       5.1545      4.99013    0.0118088
           92      4.92845      4.98946     0.011699
           93      5.09925      4.99064    0.0116326
           94      4.84638      4.98911      0.01161
           95       4.9978       4.9892    0.0114875
           96      4.91444      4.98842    0.0113939
           97      5.03044      4.98885    0.0112841
           98      4.99131      4.98888    0.0111684
           99      5.00653      4.98906    0.0110565
          100      5.11736      4.99034    0.0110203
