#      	   X:		    Y:		  	 Z:
    -0.405111    -0.333345     0.237061
   0.00152143    -0.419204      2.47565
     0.359181     0.526478    -0.556809
    -0.667515     -0.43909     0.291028
     -1.09926    -0.579857      1.29055
     0.815327    -0.504257       1.5049
     0.614385     0.499008     0.705408
      1.22831    -0.148098      1.25277
     0.208313      0.46428      1.31256
     0.577897     0.613411    -0.437608
   -0.0857756      0.47469     0.447767
     0.383337     0.457561      1.31162
     0.823335    -0.752362     0.712793
     -1.18504     0.239599     0.730333
      1.38116     0.272098     0.535007
     -0.62017    0.0449649    -0.633633
     -1.62509    -0.674775      -0.4507
      -0.1127     0.782196    -0.315233
      2.19529    -0.620778      2.28255
    -0.905667     0.527358      2.08167
    -0.869329     -1.23492    -0.594678
      1.12346      0.30574    -0.274086
     0.306117    -0.750457     0.138815
    -0.375751    -0.401535    -0.219263
     0.380988    -0.477793     0.187701
      1.18831     -2.06147     0.628233
     -1.67533      1.34628     0.199497
     -0.63734      1.74766     0.397733
     0.185915     -0.42617     0.108008
     -1.20969     -1.42356    -0.698921
      -2.1749     -1.15227     0.500388
      1.33129     0.674253    -0.609304
    -0.233943    -0.612696     0.841293
    -0.409644     -2.60274    -0.809163
     -1.27954    -0.801504     -1.18072
      1.01001     0.518684    -0.554281
  -0.00473521      -0.5177    -0.468759
     -1.05551   -0.0748332     -1.37853
     0.035501    -0.400904     0.651403
     0.891887     -1.54865      1.38908
    -0.525823    0.0520006     -0.24807
     0.189611     -1.33426   -0.0858006
     0.449941      0.83328    -0.195178
    -0.201684      0.15964     0.184258
     -1.23259      2.05589    -0.524068
    -0.906478    -0.786378     0.528331
   -0.0942953     0.677749     -0.61463
     0.653316     0.820841      1.67495
      1.08759    -0.281458      1.44689
      0.48566     0.253409     0.838418
     0.369892      1.04725    -0.191133
     -1.39835     0.951582    -0.372938
    -0.345311    -0.485946    -0.232347
    -0.279608    -0.289146     0.631946
     -1.68574      1.08712     0.660627
    -0.907666     0.419458     -2.51913
    -0.930475    -0.658972      -0.5393
    -0.820491      2.08428    -0.604832
    -0.627215      1.41107    -0.950433
    -0.295324     0.451342     0.707829
     -1.56652     0.928939    -0.765212
    -0.561632     0.216491    -0.555393
       2.6215      1.71757    -0.176784
     0.800199    -0.944128      1.04771
     -1.17228    -0.718711     0.254801
      2.76457     -2.44772     -1.04207
    -0.364624     0.121955     0.819395
    -0.655475     -1.12128     0.717326
     0.967813     0.244368     0.019886
      0.40682      1.61258     -1.16869
      0.27722     0.732454      -0.3328
     0.636735     0.703802      1.52848
    -0.450125    -0.940485     -1.05226
    -0.355828     0.715414     0.661639
     -1.60267    -0.903392     -1.64478
      1.43862    -0.757838    -0.343772
    0.0114029     0.432002    -0.588849
     0.180016    -0.574189     0.674443
      1.38728    -0.514671     0.853139
    0.0587727    -0.951282   -0.0109198
    -0.031027    -0.430155      2.23627
    0.0588909     0.450391    -0.375534
     0.117968     0.793756     0.944817
    -0.663311      1.07963    -0.371819
   -0.0221225     0.215135    -0.224488
    -0.354889     0.789184      1.44496
     0.113161   0.00963085     0.237173
     0.662302     0.881191    -0.361766
     -3.38559     0.240499     -1.99775
     -1.57479     0.206084    -0.500105
     0.451617     -2.27392    -0.985608
    -0.314829      1.20397     0.946266
     0.192073     0.108217     -0.37587
     0.759021      1.76775    -0.098571
      0.37139    -0.668393     -1.69973
    -0.464176    0.0765659     -1.23732
     0.955776     -0.33593     0.226825
     -1.58753      1.10472    0.0850638
      1.15655     -1.40998     0.925451
    -0.294957     -1.71344     0.981399
