#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      1.49241      1.49241            0
            2      1.47288      1.48265   0.00976643
            3      1.52743      1.49758    0.0159586
            4      1.50223      1.49874    0.0113443
            5      1.54004        1.507    0.0120603
            6       1.4473      1.49705     0.013999
            7       1.4283      1.48723    0.0153765
            8      1.48921      1.48748    0.0133187
            9      1.47778       1.4864    0.0117953
           10      1.47749      1.48551    0.0105876
           11      1.53449      1.48996    0.0105614
           12      1.49974      1.49078   0.00967562
           13      1.50186      1.49163   0.00894105
           14      1.50099       1.4923   0.00830477
           15      1.50364      1.49305   0.00776821
           16      1.50953      1.49408   0.00733907
           17      1.47888      1.49319   0.00695165
           18      1.45111      1.49085   0.00695845
           19      1.49901      1.49128   0.00659602
           20      1.54282      1.49386   0.00676746
           21      1.52348      1.49527   0.00658986
           22      1.50096      1.49553    0.0062885
           23      1.45519      1.49377   0.00625951
           24      1.49425      1.49379   0.00599306
           25      1.52829      1.49517   0.00591161
           26      1.53411      1.49667   0.00587383
           27      1.55411       1.4988    0.0060392
           28      1.52539      1.49975   0.00589653
           29      1.48515      1.49924    0.0057118
           30       1.5009       1.4993    0.0055184
           31      1.48379       1.4988   0.00536081
           32      1.50209       1.4989    0.0051916
           33      1.48772      1.49856   0.00504322
           34      1.45177      1.49719   0.00508249
           35      1.51673      1.49775   0.00496663
           36      1.47803       1.4972   0.00485767
           37      1.53213      1.49814     0.004818
           38      1.47712      1.49759   0.00472202
           39      1.50453      1.49777   0.00460279
           40      1.50026      1.49783   0.00448668
           41      1.47905      1.49737   0.00439977
           42       1.4895      1.49718   0.00429782
           43      1.53538      1.49807   0.00428964
           44      1.46355      1.49729   0.00426381
           45      1.52135      1.49782   0.00420214
           46      1.51169      1.49812   0.00412082
           47      1.45009       1.4971   0.00415968
           48      1.44419        1.496   0.00421864
           49       1.5308      1.49671   0.00419225
           50      1.47976      1.49637   0.00412151
           51      1.47449      1.49594   0.00406261
           52      1.38217      1.49375   0.00454496
           53      1.45006      1.49293   0.00453396
           54      1.50358      1.49313   0.00445358
           55      1.50299      1.49331   0.00437553
           56      1.46311      1.49277   0.00433039
           57      1.59424      1.49455   0.00461124
           58        1.477      1.49424   0.00454113
           59      1.43952      1.49332   0.00455884
           60      1.49205       1.4933   0.00448227
           61        1.493      1.49329   0.00440818
           62      1.57578      1.49462   0.00453603
           63      1.45667      1.49402   0.00450392
           64      1.58829      1.49549   0.00467132
           65      1.45932      1.49494   0.00463243
           66      1.44567      1.49419   0.00462236
           67      1.56779      1.49529    0.0046835
           68      1.49199      1.49524   0.00461437
           69      1.46422      1.49479   0.00456917
           70      1.53237      1.49533   0.00453531
           71      1.56856      1.49636   0.00458842
           72      1.45107      1.49573   0.00456777
           73      1.50192      1.49581   0.00450556
           74      1.50683      1.49596   0.00444675
           75      1.47553      1.49569   0.00439551
           76      1.46858      1.49533   0.00435193
           77      1.45688      1.49483   0.00432398
           78      1.58526      1.49599   0.00442281
           79      1.52439      1.49635   0.00438123
           80      1.47828      1.49613   0.00433202
           81      1.51925      1.49641   0.00428771
           82      1.51583      1.49665   0.00424171
           83      1.53333      1.49709   0.00421353
           84      1.45983      1.49665   0.00418664
           85      1.51734      1.49689   0.00414424
           86      1.50476      1.49698   0.00409679
           87      1.55299      1.49763   0.00410028
           88      1.50572      1.49772   0.00405446
           89      1.48363      1.49756   0.00401177
           90      1.54539      1.49809   0.00400238
           91      1.44835      1.49754   0.00399572
           92      1.52727      1.49787   0.00396524
           93      1.54242      1.49835   0.00395152
           94      1.46693      1.49801   0.00392352
           95      1.43681      1.49737   0.00393509
           96      1.39174      1.49627   0.00404634
           97      1.51498      1.49646   0.00400905
           98      1.53575      1.49686   0.00398813
           99      1.46347      1.49652   0.00396203
          100      1.50551      1.49661   0.00392324
