#      	   X:		    Y:		  	 Z:
     0.531522     0.443738    -0.281559
    -0.010568    0.0850591      -1.0021
      1.41077     -1.17012    -0.388118
    -0.692748      1.15833    0.0666265
     -1.94675      2.13368     0.738771
     0.827564   -0.0870704   -0.0381891
    -0.167762     -1.39143     0.418401
     0.199771     0.415139    -0.502615
      1.52834     0.152712     -1.49918
     0.303332    -0.102918    -0.484164
    -0.747807     0.267458     0.657594
     0.259572      0.36083     0.608085
     0.695109     -1.30447     0.349389
      -1.2534     0.408957     0.196088
     0.951678    -0.800322    -0.417914
     -1.44273      1.42736     0.782124
   -0.0452929   -0.0777918     -0.27072
     -0.77706    -0.523994       1.0935
    -0.865073    -0.571771    -0.385404
     -1.54961    -0.259656    -0.676408
     -1.04593    -0.845207    0.0695324
    -0.981705    -0.509002      0.74292
     0.755035     -1.56614     -2.19808
      2.39173    -0.320876     0.344504
      1.33558    -0.692997    -0.453382
     -2.60946     0.945825     0.605965
     -1.15894      1.31878      0.57821
     0.287156    -0.198518     0.719361
    -0.555834     0.215632    -0.661265
     -1.92859     0.083323     -1.04595
    -0.820211    -0.919299     0.283212
   -0.0562461     0.524527     0.300714
     -1.55748    0.0100537   -0.0965783
    -0.879056    -0.875182     0.261362
    -0.285132    -0.157891      0.52042
    -0.182567      1.22126    -0.463963
    -0.275153      1.52015     0.324522
      1.15884     -2.03445      -0.4462
    -0.737726    -0.376894     -1.21586
    -0.207139      1.03713    -0.982468
    -0.420837    -0.911854     -1.12452
      1.30887    -0.618924    0.0670346
     0.171833   -0.0561653     0.189441
     -1.43997     -0.12592    -0.279478
    0.0675579   -0.0334788 -0.000872571
    -0.191852    0.0291032     0.274575
    -0.885226     0.807065    -0.758351
     -2.11738     -2.34121     0.506114
   -0.0269601    -0.157382      0.08331
     -1.03518     -0.60949      1.19296
    -0.581732   -0.0187669    -0.363722
     0.501934    -0.573835     -1.08428
    -0.302682      0.22198     0.113811
      0.89967     0.282745     0.448691
     -1.11289     -0.55397     0.434932
    -0.871533    -0.137538     -1.03235
    -0.152913     0.728767     0.817253
    -0.359907    -0.649915    -0.146006
      1.86882      1.11907     0.664472
    0.0800073  0.000240811    -0.865098
     -2.45786    0.0904021     -1.40522
     -1.00603    -0.306014     -1.75725
    0.0372924     0.469748    -0.982159
    -0.467592   -0.0555375    0.0938833
    -0.302096    -0.950479     -2.16518
     0.494265    -0.408563     0.846074
     0.612786    -0.577736    -0.775246
     -0.93946      1.41077     0.187425
    -0.140709    -0.737215     -1.55931
     -2.63793     -1.73683     0.204895
     -0.63812    -0.566681     0.265597
      1.62462     0.476451     0.252146
    -0.353223     0.191634    -0.146547
      0.49938      0.18497     -1.78941
     -1.50774     -1.14837     0.403579
      2.02837     0.517554    -0.581301
    -0.251423    -0.138294    0.0038751
     -0.43374     0.404862      1.47581
      0.38991    -0.884489     0.317585
    -0.443958     -1.09668     0.490585
      1.73421    -0.651382      1.15537
    -0.248559     0.606606     -1.48602
    -0.533137    -0.777069     0.618351
    -0.516511      1.46217      1.33748
   -0.0864289    -0.389225     0.171338
     -0.97586     0.646799   -0.0692888
     0.637995    -0.764063     0.380192
    -0.257332     -1.14255     0.232357
     -1.65665      1.64308    -0.453327
    -0.267738   -0.0864998    -0.249014
    0.0261088   -0.0219358       1.1218
    -0.935049     -1.16325     0.413301
    0.0899355     0.182879    -0.461127
    -0.244132    -0.943314    -0.735407
     -2.10131      1.02153      1.24725
     0.666231     0.834243    -0.363477
    -0.520296    0.0295941    -0.896802
    -0.482932     0.835051    -0.164248
    -0.332013    -0.068521    0.0549949
    -0.782221     0.978078     0.265771
