#      BLOCK:  	 ACTUAL_R:       R_AVE:       ERROR:
            1      1.57751      1.57751            0
            2      1.49277      1.53514    0.0423701
            3      1.55116      1.54048    0.0250389
            4      1.48503      1.52662    0.0224866
            5      1.54306      1.52991     0.017726
            6      1.53576      1.53088    0.0145061
            7      1.47085      1.52231    0.0149614
            8      1.54436      1.52506     0.013247
            9      1.47512      1.51951    0.0129335
           10      1.49046      1.51661    0.0119275
           11      1.58944      1.52323    0.0126585
           12      1.48901      1.52038    0.0119021
           13      1.48203      1.51743    0.0113387
           14      1.46674      1.51381    0.0111044
           15      1.43543      1.50858    0.0115831
           16      1.50924      1.50862    0.0108351
           17      1.48001      1.50694     0.010316
           18      1.47272      1.50504   0.00991006
           19       1.5125      1.50543   0.00938219
           20      1.50344      1.50533   0.00890129
           21      1.50092      1.50512   0.00846941
           22      1.55251      1.50728   0.00835762
           23      1.45113      1.50484   0.00835071
           24      1.56816      1.50747   0.00841933
           25       1.4799      1.50637   0.00815051
           26      1.47788      1.50528   0.00790704
           27      1.53609      1.50642   0.00769368
           28        1.514      1.50669   0.00741877
           29      1.52978      1.50748   0.00720254
           30      1.49385      1.50703   0.00697315
           31      1.51772      1.50737   0.00675327
           32      1.55364      1.50882   0.00669676
           33      1.49799      1.50849   0.00649894
           34      1.47002      1.50736   0.00640561
           35      1.51336      1.50753   0.00622226
           36      1.53064      1.50817   0.00608093
           37      1.48766      1.50762   0.00594022
           38      1.46892       1.5066    0.0058708
           39      1.56322      1.50805   0.00589971
           40      1.44138      1.50639     0.005987
           41      1.51576      1.50661   0.00584363
           42      1.50362      1.50654   0.00570324
           43      1.48782      1.50611   0.00558602
           44      1.49305      1.50581   0.00546565
           45      1.49714      1.50562   0.00534628
           46      1.47432      1.50494   0.00527284
           47      1.50313       1.5049   0.00515958
           48      1.47919      1.50436   0.00507926
           49      1.56997       1.5057   0.00515154
           50      1.44278      1.50444   0.00520198
           51      1.52253       1.5048   0.00511127
           52      1.49844      1.50468   0.00501351
           53      1.50177      1.50462   0.00491831
           54      1.43874       1.5034   0.00497817
           55      1.47332      1.50286   0.00491734
           56      1.56955      1.50405   0.00497345
           57      1.48778      1.50376   0.00489375
           58      1.56707      1.50485   0.00493097
           59      1.56779      1.50592   0.00496268
           60      1.58401      1.50722   0.00504986
           61      1.48976      1.50693   0.00497463
           62      1.50226      1.50686   0.00489431
           63      1.51947      1.50706   0.00482016
           64        1.494      1.50686   0.00474863
           65      1.47908      1.50643    0.0046945
           66      1.44466      1.50549   0.00471661
           67      1.49902       1.5054   0.00464669
           68      1.53184      1.50578   0.00459434
           69      1.47992      1.50541   0.00454275
           70      1.47461      1.50497   0.00449895
           71      1.41725      1.50373   0.00460399
           72       1.4526      1.50302   0.00459482
           73      1.49991      1.50298   0.00453164
           74      1.42668      1.50195   0.00458736
           75      1.44692      1.50122   0.00458487
           76      1.43043      1.50028   0.00461903
           77      1.51717       1.5005   0.00456392
           78      1.53392      1.50093   0.00452535
           79      1.45829      1.50039   0.00450019
           80      1.52001      1.50064   0.00445035
           81      1.45708       1.5001   0.00442783
           82      1.57153      1.50097   0.00445941
           83      1.50094      1.50097   0.00440536
           84      1.47419      1.50065   0.00436426
           85      1.51992      1.50088   0.00431856
           86      1.48768      1.50073   0.00427081
           87      1.50626      1.50079   0.00422191
           88      1.48509      1.50061   0.00417747
           89      1.52767      1.50091   0.00414144
           90      1.52423      1.50117   0.00410334
           91      1.53282      1.50152   0.00407288
           92      1.48704      1.50136   0.00403144
           93      1.54469      1.50183   0.00401498
           94      1.44314      1.50121   0.00402081
           95      1.48547      1.50104   0.00398171
           96      1.47606      1.50078    0.0039486
           97      1.51252       1.5009   0.00390955
           98      1.51157      1.50101   0.00387099
           99      1.52767      1.50128   0.00384113
          100      1.45293       1.5008   0.00383314
