#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1       19.36       19.36           0
           2        2.56       10.96      5.9397
           3       10.24       10.72     3.96464
           4        5.76        9.48     3.16146
           5           4       8.384      2.7125
           6        5.76     7.94667      2.2954
           7        2.56     7.17714      2.0925
           8        0.16         6.3     2.00638
           9        2.56     5.88444     1.82597
          10        2.56       5.552     1.67337
          11        5.76     5.57091     1.52135
          12           4        5.44     1.40019
          13       10.24     5.80923     1.34028
          14       27.04     7.32571     1.91947
          15       31.36       8.928     2.36763
          16       31.36       10.33     2.60184
          17          36       11.84     2.85352
          18       23.04     12.4622       2.762
          19       23.04     13.0189     2.67215
          20       31.36      13.936     2.69131
          21       40.96     15.2229     2.85427
          22       40.96     16.3927     2.95457
          23       27.04     16.8557     2.86214
          24       19.36       16.96     2.74479
          25          16     16.9216     2.63527
          26       12.96     16.7692     2.53831
          27       12.96     16.6281     2.44822
          28       10.24        16.4     2.37139
          29        5.76     16.0331     2.31782
          30        7.84       15.76      2.2566
          31       19.36     15.8761     2.18679
          32       12.96      15.785     2.12035
          33       19.36     15.8933     2.05886
          34       23.04     16.1035     2.00901
          35       31.36     16.5394     1.99834
          36       31.36     16.9511     1.98478
          37       40.96        17.6     2.03445
          38          36     18.0842     2.03772
          39       19.36     18.1169     1.98573
          40          16      18.064     1.93679
          41       19.36     18.0956     1.88981
          42       23.04     18.2133     1.84848
          43          16     18.1619     1.80621
          44          16     18.1127     1.76582
          45       12.96     17.9982     1.73029
          46       19.36     18.0278     1.69293
          47       27.04     18.2196     1.66774
          48       19.36     18.2433     1.63316
          49       12.96     18.1355     1.60339
          50       19.36       18.16      1.5715
          51       23.04     18.2557      1.5436
          52       27.04     18.4246     1.52313
          53       31.36     18.6687     1.51382
          54       23.04     18.7496     1.48795
          55       23.04     18.8276     1.46294
          56       19.36     18.8371     1.43685
          57          16     18.7874      1.4125
          58       12.96     18.6869     1.39172
          59       12.96     18.5898     1.37151
          60       12.96      18.496     1.35186
          61       10.24     18.3607     1.33645
          62       10.24     18.2297      1.3213
          63       10.24     18.1029      1.3064
          64       10.24       17.98     1.29175
          65       19.36     18.0012     1.27205
          66       19.36     18.0218     1.25294
          67          16     17.9916     1.23461
          68       10.24     17.8776      1.2217
          69       10.24      17.767       1.209
          70        5.76     17.5954     1.20384
          71        5.76     17.4287     1.19837
          72       10.24     17.3289     1.18587
          73       10.24     17.2318      1.1736
          74       12.96     17.1741     1.15916
          75        5.76     17.0219     1.15365
          76        7.84     16.9011     1.14478
          77          16     16.8894     1.12997
          78       19.36      16.921     1.11593
          79       12.96     16.8709     1.10293
          80       12.96      16.822     1.09022
          81       12.96     16.7743     1.07781
          82          16     16.7649      1.0647
          83       23.04     16.8405     1.05456
          84       27.04     16.9619     1.04897
          85       40.96     17.2442     1.07395
          86       46.24     17.5814     1.11313
          87       57.76     18.0432      1.1923
          88       40.96     18.3036     1.20685
          89       46.24     18.6175     1.23344
          90       51.84     18.9867     1.27377
          91       57.76     19.4127     1.32913
          92       51.84     19.7652     1.36061
          93          64     20.2409      1.4267
          94       77.44     20.8494     1.53582
          95         100     21.6825     1.73095
          96         100     22.4983     1.89544
          97         100     23.2973     2.03735
          98         100       24.08     2.16168
          99         100     24.8469      2.2718
         100         100     25.5984     2.37013
         101         100      26.335     2.45848
         102         100     27.0573     2.53824
         103         100     27.7654     2.61052
         104         100       28.46     2.67623
         105         100     29.1413     2.73609
         106         100     29.8098     2.79075
         107         100     30.4658     2.84072
         108         100     31.1096     2.88645
         109         100     31.7417     2.92835
         110         100     32.3622     2.96674
         111         100     32.9715     3.00194
         112         100       33.57     3.03421
         113         100     34.1579     3.06378
         114         100     34.7354     3.09086
         115         100      35.303     3.11565
         116         100     35.8607     3.13832
         117         100     36.4089     3.15901
         118         100     36.9478     3.17787
         119         100     37.4776     3.19503
         120         100     37.9987     3.21061
         121         100     38.5111     3.22471
         122         100     39.0151     3.23742
         123         100     39.5109     3.24885
         124         100     39.9987     3.25906
         125         100     40.4787     3.26815
         126         100     40.9511     3.27617
         127         100     41.4161      3.2832
         128         100     41.8738      3.2893
         129         100     42.3243     3.29452
         130         100      42.768     3.29891
         131         100     43.2049     3.30253
         132         100     43.6352     3.30542
         133         100     44.0589     3.30763
         134         100     44.4764     3.30918
         135         100     44.8877     3.31013
         136         100     45.2929     3.31051
         137         100     45.6923     3.31034
         138         100     46.0858     3.30966
         139         100     46.4737      3.3085
