#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1        0.48        0.48           0
           2        0.68        0.58   0.0707107
           3         0.6    0.586667   0.0474537
           4         0.4        0.54   0.0538516
           5        0.44        0.52   0.0466476
           6        0.56    0.526667   0.0393465
           7        0.68    0.548571   0.0393534
           8        0.56        0.55   0.0344601
           9        0.64        0.56   0.0320493
          10        0.64       0.568   0.0298262
          11         0.4    0.552727   0.0307776
          12         0.4        0.54   0.0307318
          13        0.44    0.532308   0.0293147
          14        0.76    0.548571     0.03141
          15        0.64    0.554667   0.0299016
          16        0.76      0.5675   0.0306632
          17        0.72    0.576471   0.0301432
          18         0.6    0.577778   0.0284969
          19        0.56    0.576842   0.0270124
          20        0.64        0.58   0.0258457
          21        0.68    0.584762   0.0250498
          22        0.68    0.589091   0.0242823
          23        0.76    0.596522    0.024337
          24         0.8       0.605   0.0247558
          25        0.84      0.6144   0.0254878
          26        0.84    0.623077   0.0259424
          27        0.88    0.632593   0.0266697
          28        0.96    0.644286   0.0281642
          29           1    0.656552   0.0297444
          30           1       0.668   0.0308775
          31           1     0.67871   0.0316844
          32           1     0.68875   0.0322459
          33           1    0.698182   0.0326189
          34           1    0.707059   0.0328453
          35           1    0.715429    0.032956
          36           1    0.723333   0.0329749
          37           1    0.730811   0.0329206
          38           1    0.737895   0.0328076
          39           1    0.744615   0.0326475
          40           1       0.751   0.0324496
          41           1    0.757073   0.0322214
          42        0.96    0.761905   0.0318144
          43        0.88    0.764651   0.0311929
          44        0.92    0.768182   0.0306831
          45        0.84    0.769778   0.0300427
          46        0.96    0.773913   0.0296729
          47           1    0.778723   0.0294289
          48           1    0.783333   0.0291746
          49           1    0.787755   0.0289123
          50           1       0.792    0.028644
          51           1    0.796078   0.0283712
          52           1         0.8   0.0280954
          53           1    0.803774   0.0278175
          54           1    0.807407   0.0275387
          55           1    0.810909   0.0272597
          56           1    0.814286   0.0269813
          57           1    0.817544   0.0267039
          58           1     0.82069   0.0264281
          59           1    0.823729   0.0261544
          60           1    0.826667   0.0258829
          61        0.92    0.828197   0.0255038
          62         0.8    0.827742   0.0250965
          63        0.84    0.827937   0.0246989
          64        0.88     0.82875   0.0243264
          65        0.84    0.828923   0.0239527
          66        0.84    0.829091   0.0235904
          67           1    0.831642   0.0233758
          68           1    0.834118   0.0231628
          69           1    0.836522   0.0229515
          70           1    0.838857   0.0227422
          71           1    0.841127   0.0225348
          72           1    0.843333   0.0223296
          73           1    0.845479   0.0221266
          74           1    0.847568   0.0219259
          75           1      0.8496   0.0217276
          76           1    0.851579   0.0215316
          77           1    0.853506   0.0213381
          78           1    0.855385    0.021147
          79           1    0.857215   0.0209584
          80           1       0.859   0.0207723
          81           1    0.860741   0.0205886
          82           1    0.862439   0.0204075
          83           1    0.864096   0.0202288
          84           1    0.865714   0.0200526
          85           1    0.867294   0.0198788
          86           1    0.868837   0.0197074
          87           1    0.870345   0.0195385
          88           1    0.871818   0.0193719
          89           1    0.873258   0.0192077
          90           1    0.874667   0.0190459
          91           1    0.876044   0.0188863
          92           1    0.877391    0.018729
          93           1     0.87871    0.018574
          94           1        0.88   0.0184212
          95           1    0.881263   0.0182705
          96           1      0.8825    0.018122
          97           1    0.883711   0.0179756
          98           1    0.884898   0.0178313
          99           1    0.886061   0.0176891
         100           1      0.8872   0.0175488
         101           1    0.888317   0.0174106
         102           1    0.889412   0.0172743
         103           1    0.890485   0.0171399
         104           1    0.891538   0.0170074
         105           1    0.892571   0.0168768
         106           1    0.893585    0.016748
         107           1    0.894579    0.016621
         108           1    0.895556   0.0164957
         109           1    0.896514   0.0163722
         110           1    0.897455   0.0162503
         111           1    0.898378   0.0161302
         112           1    0.899286   0.0160117
         113           1    0.900177   0.0158947
         114           1    0.901053   0.0157794
         115           1    0.901913   0.0156656
         116           1    0.902759   0.0155534
         117           1     0.90359   0.0154427
         118           1    0.904407   0.0153334
         119           1     0.90521   0.0152256
         120           1       0.906   0.0151192
         121           1    0.906777   0.0150141
         122           1    0.907541   0.0149105
         123           1    0.908293   0.0148082
         124           1    0.909032   0.0147073
         125           1     0.90976   0.0146076
         126           1    0.910476   0.0145092
         127           1    0.911181   0.0144121
         128           1    0.911875   0.0143162
         129           1    0.912558   0.0142215
         130           1    0.913231    0.014128
         131           1    0.913893   0.0140357
         132           1    0.914545   0.0139445
         133           1    0.915188   0.0138544
         134           1    0.915821   0.0137655
         135           1    0.916444   0.0136776
         136           1    0.917059   0.0135909
         137           1    0.917664   0.0135051
         138           1    0.918261   0.0134204
         139           1    0.918849   0.0133368
         140           1    0.919429   0.0132541
         141           1        0.92   0.0131724
         142           1    0.920563   0.0130917
         143           1    0.921119   0.0130119
         144           1    0.921667   0.0129331
         145           1    0.922207   0.0128552
         146           1     0.92274   0.0127782
         147           1    0.923265    0.012702
         148           1    0.923784   0.0126268
         149           1    0.924295   0.0125524
         150           1      0.9248   0.0124789
         151           1    0.925298   0.0124062
         152           1    0.925789   0.0123343
         153           1    0.926275   0.0122632
         154           1    0.926753   0.0121929
         155           1    0.927226   0.0121234
         156           1    0.927692   0.0120546
         157           1    0.928153   0.0119867
         158           1    0.928608   0.0119194
         159           1    0.929057   0.0118529
         160           1      0.9295   0.0117871
         161           1    0.929938    0.011722
         162           1     0.93037   0.0116576
         163           1    0.930798   0.0115939
         164           1     0.93122   0.0115309
         165           1    0.931636   0.0114686
         166           1    0.932048   0.0114069
         167           1    0.932455   0.0113458
         168           1    0.932857   0.0112854
         169        0.92    0.932781   0.0112189
         170        0.92    0.932706   0.0111532
         171           1    0.933099   0.0110949
         172           1    0.933488   0.0110372
         173           1    0.933873   0.0109801
         174           1    0.934253   0.0109236
         175           1    0.934629   0.0108676
         176           1       0.935   0.0108122
         177           1    0.935367   0.0107573
         178           1     0.93573    0.010703
         179           1    0.936089   0.0106493
         180           1    0.936444    0.010596
         181           1    0.936796   0.0105433
         182           1    0.937143   0.0104911
         183           1    0.937486   0.0104394
         184           1    0.937826   0.0103882
         185           1    0.938162   0.0103374
         186           1    0.938495   0.0102872
         187           1    0.938824   0.0102375
         188           1    0.939149   0.0101882
         189           1    0.939471   0.0101393
         190           1    0.939789    0.010091
         191           1    0.940105   0.0100431
         192           1    0.940417  0.00999561
         193           1    0.940725  0.00994859
         194           1    0.941031    0.009902
         195           1    0.941333  0.00985584
         196           1    0.941633  0.00981009
         197           1    0.941929  0.00976477
         198           1    0.942222  0.00971986
         199           1    0.942513  0.00967535
         200           1      0.9428  0.00963124
         201           1    0.943085  0.00958753
         202           1    0.943366   0.0095442
         203           1    0.943645  0.00950126
         204           1    0.943922   0.0094587
         205           1    0.944195  0.00941652
         206           1    0.944466   0.0093747
         207           1    0.944734  0.00933325
         208           1       0.945  0.00929216
         209           1    0.945263  0.00925143
         210           1    0.945524  0.00921105
         211           1    0.945782  0.00917101
         212           1    0.946038  0.00913131
         213           1    0.946291  0.00909196
         214           1    0.946542  0.00905294
         215           1    0.946791  0.00901424
         216           1    0.947037  0.00897588
         217           1    0.947281  0.00893783
         218           1    0.947523   0.0089001
         219           1    0.947763  0.00886269
         220           1       0.948  0.00882558
         221           1    0.948235  0.00878878
         222           1    0.948468  0.00875229
         223           1      0.9487  0.00871609
         224           1    0.948929  0.00868019
         225           1    0.949156  0.00864458
         226           1    0.949381  0.00860925
         227           1    0.949604  0.00857421
         228           1    0.949825  0.00853946
         229           1    0.950044  0.00850498
         230           1    0.950261  0.00847077
         231           1    0.950476  0.00843684
         232           1     0.95069  0.00840317
         233           1    0.950901  0.00836977
         234           1    0.951111  0.00833663
         235           1    0.951319  0.00830375
         236           1    0.951525  0.00827113
         237           1     0.95173  0.00823876
         238           1    0.951933  0.00820664
         239           1    0.952134  0.00817476
         240           1    0.952333  0.00814314
         241           1    0.952531  0.00811175
         242           1    0.952727   0.0080806
         243           1    0.952922  0.00804969
         244           1    0.953115  0.00801901
         245           1    0.953306  0.00798856
         246           1    0.953496  0.00795834
         247           1    0.953684  0.00792835
         248           1    0.953871  0.00789858
         249           1    0.954056  0.00786903
         250           1     0.95424   0.0078397
         251           1    0.954422  0.00781059
         252           1    0.954603  0.00778168
         253           1    0.954783    0.007753
         254           1    0.954961  0.00772452
         255           1    0.955137  0.00769624
         256           1    0.955313  0.00766817
         257           1    0.955486  0.00764031
         258           1    0.955659  0.00761264
         259           1     0.95583  0.00758517
         260           1       0.956   0.0075579
         261           1    0.956169  0.00753083
         262           1    0.956336  0.00750394
         263           1    0.956502  0.00747724
         264           1    0.956667  0.00745074
         265           1     0.95683  0.00742441
         266           1    0.956992  0.00739828
         267           1    0.957154  0.00737232
         268           1    0.957313  0.00734655
         269           1    0.957472  0.00732095
         270           1     0.95763  0.00729553
         271           1    0.957786  0.00727028
         272           1    0.957941  0.00724521
         273           1    0.958095  0.00722031
         274           1    0.958248  0.00719558
         275           1      0.9584  0.00717101
         276           1    0.958551  0.00714661
         277           1      0.9587  0.00712238
         278           1    0.958849  0.00709831
         279           1    0.958996   0.0070744
         280           1    0.959143  0.00705065
         281           1    0.959288  0.00702706
         282           1    0.959433  0.00700362
