#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.6096     -0.6096           0
           2     -0.6936     -0.6516   0.0296985
           3      -0.692   -0.665067   0.0226473
           4      -0.848     -0.7108   0.0430948
           5     -0.8488     -0.7384   0.0424027
           6     -0.8512     -0.7572   0.0392828
           7     -0.8536   -0.770971   0.0360041
           8     -0.8512      -0.781   0.0328706
           9     -0.8528   -0.788978   0.0301709
          10     -0.8528    -0.79536   0.0278206
          11      -0.848   -0.800145   0.0256998
          12      -0.848   -0.804133   0.0238655
          13     -0.8488   -0.807569   0.0222757
          14     -0.8552   -0.810971   0.0209427
          15     -0.8528    -0.81376   0.0197313
          16     -0.8552    -0.81635   0.0186673
          17     -0.8544   -0.818588   0.0177029
          18      -0.852   -0.820444   0.0168165
          19     -0.8512   -0.822063   0.0160091
          20     -0.8528     -0.8236   0.0152823
          21     -0.8536   -0.825029   0.0146211
          22     -0.8536   -0.826327   0.0140141
          23     -0.9352   -0.831061   0.0141817
          24      -0.936   -0.835433   0.0142489
          25     -0.9368   -0.839488   0.0142442
          26     -0.9368   -0.843231   0.0141795
          27     -0.9376   -0.846726   0.0140785
          28     -0.9392   -0.850029   0.0139577
          29       -1.02    -0.85589   0.0146555
          30       -1.02    -0.86136   0.0151535
          31       -1.02   -0.866477   0.0155047
          32       -1.02   -0.871275    0.015745
          33       -1.02   -0.875782   0.0158998
          34       -1.02   -0.880024   0.0159879
          35       -1.02   -0.884023   0.0160235
          36       -1.02     -0.8878   0.0160174
          37       -1.02   -0.891373   0.0159781
          38       -1.02   -0.894758   0.0159121
          39       -1.02   -0.897969   0.0158248
          40       -1.02    -0.90102   0.0157205
          41       -1.02   -0.903922   0.0156027
          42     -0.9392   -0.904762   0.0152538
          43     -0.9376   -0.905526   0.0149181
          44     -0.9384   -0.906273   0.0145978
          45     -0.9368   -0.906951   0.0142891
          46     -0.9392   -0.907652   0.0139957
          47       -1.02   -0.910043   0.0139005
          48       -1.02   -0.912333   0.0137984
          49       -1.02   -0.914531   0.0136906
          50       -1.02    -0.91664   0.0135784
          51       -1.02   -0.918667   0.0134625
          52       -1.02   -0.920615   0.0133439
          53       -1.02   -0.922491   0.0132232
          54       -1.02   -0.924296   0.0131011
          55       -1.02   -0.926036   0.0129779
          56       -1.02   -0.927714   0.0128542
          57       -1.02   -0.929333   0.0127302
          58       -1.02   -0.930897   0.0126064
          59       -1.02   -0.932407   0.0124828
          60       -1.02   -0.933867   0.0123598
          61     -0.9384   -0.933941   0.0121574
          62      -0.936   -0.933974   0.0119614
          63     -0.9368   -0.934019   0.0117716
          64     -0.9376   -0.934075   0.0115878
          65     -0.9368   -0.934117   0.0114096
          66     -0.9368   -0.934158   0.0112368
          67       -1.02   -0.935439   0.0111419
          68       -1.02   -0.936682   0.0110472
          69       -1.02    -0.93789   0.0109529
          70       -1.02   -0.939063   0.0108591
          71       -1.02   -0.940203   0.0107658
          72       -1.02   -0.941311   0.0106732
          73       -1.02   -0.942389   0.0105813
          74       -1.02   -0.943438   0.0104901
          75       -1.02   -0.944459   0.0103998
          76       -1.02   -0.945453   0.0103104
          77       -1.02   -0.946421   0.0102218
          78       -1.02   -0.947364   0.0101342
          79       -1.02   -0.948284   0.0100475
          80       -1.02    -0.94918  0.00996186
          81       -1.02   -0.950054  0.00987716
          82       -1.02   -0.950907  0.00979347
          83       -1.02    -0.95174   0.0097108
          84       -1.02   -0.952552  0.00962913
          85       -1.02   -0.953346  0.00954849
          86       -1.02   -0.954121  0.00946886
          87       -1.02   -0.954878  0.00939025
          88       -1.02   -0.955618  0.00931266
          89       -1.02   -0.956342  0.00923608
          90       -1.02   -0.957049   0.0091605
          91       -1.02   -0.957741  0.00908591
          92       -1.02   -0.958417  0.00901232
          93       -1.02    -0.95908  0.00893971
          94       -1.02   -0.959728  0.00886807
          95       -1.02   -0.960362  0.00879738
          96       -1.02   -0.960983  0.00872765
          97       -1.02   -0.961592  0.00865886
          98       -1.02   -0.962188  0.00859099
          99       -1.02   -0.962772  0.00852403
         100       -1.02   -0.963344  0.00845798
         101       -1.02   -0.963905  0.00839282
         102       -1.02   -0.964455  0.00832854
         103       -1.02   -0.964994  0.00826512
         104       -1.02   -0.965523  0.00820255
         105       -1.02   -0.966042  0.00814082
         106       -1.02   -0.966551  0.00807992
         107       -1.02    -0.96705  0.00801983
         108       -1.02   -0.967541  0.00796055
         109       -1.02   -0.968022  0.00790205
         110       -1.02   -0.968495  0.00784433
         111       -1.02   -0.968959  0.00778737
         112       -1.02   -0.969414  0.00773117
         113       -1.02   -0.969862   0.0076757
         114       -1.02   -0.970302  0.00762096
         115       -1.02   -0.970734  0.00756693
         116       -1.02   -0.971159  0.00751361
         117       -1.02   -0.971576  0.00746098
         118       -1.02   -0.971986  0.00740902
         119       -1.02    -0.97239  0.00735774
         120       -1.02   -0.972787  0.00730712
         121       -1.02   -0.973177  0.00725714
         122       -1.02   -0.973561  0.00720779
         123       -1.02   -0.973938  0.00715908
         124       -1.02    -0.97431  0.00711097
         125       -1.02   -0.974675  0.00706347
         126       -1.02   -0.975035  0.00701657
         127       -1.02   -0.975389  0.00697025
         128       -1.02   -0.975737   0.0069245
         129       -1.02   -0.976081  0.00687932
         130       -1.02   -0.976418  0.00683469
         131       -1.02   -0.976751  0.00679061
         132       -1.02   -0.977079  0.00674706
         133       -1.02   -0.977402  0.00670405
         134       -1.02   -0.977719  0.00666155
         135       -1.02   -0.978033  0.00661956
         136       -1.02   -0.978341  0.00657808
         137       -1.02   -0.978645  0.00653709
         138       -1.02   -0.978945  0.00649658
         139       -1.02    -0.97924  0.00645656
         140       -1.02   -0.979531    0.006417
         141       -1.02   -0.979818   0.0063779
         142       -1.02   -0.980101  0.00633926
         143       -1.02    -0.98038  0.00630107
         144       -1.02   -0.980656  0.00626331
         145       -1.02   -0.980927  0.00622599
         146       -1.02   -0.981195   0.0061891
         147       -1.02   -0.981459  0.00615262
         148       -1.02   -0.981719  0.00611656
         149       -1.02   -0.981976   0.0060809
         150       -1.02   -0.982229  0.00604565
         151       -1.02   -0.982479  0.00601078
         152       -1.02   -0.982726   0.0059763
         153       -1.02    -0.98297  0.00594221
         154       -1.02    -0.98321  0.00590848
         155       -1.02   -0.983448  0.00587513
         156       -1.02   -0.983682  0.00584214
         157       -1.02   -0.983913  0.00580951
         158       -1.02   -0.984142  0.00577722
         159       -1.02   -0.984367  0.00574529
         160       -1.02    -0.98459   0.0057137
         161       -1.02    -0.98481  0.00568244
         162       -1.02   -0.985027  0.00565151
         163       -1.02   -0.985242  0.00562091
         164       -1.02   -0.985454  0.00559063
         165       -1.02   -0.985663  0.00556067
         166       -1.02    -0.98587  0.00553102
         167       -1.02   -0.986074  0.00550167
         168       -1.02   -0.986276  0.00547263
         169     -0.9384   -0.985993  0.00544757
         170     -0.9384   -0.985713  0.00542272
         171       -1.02   -0.985913  0.00539471
         172       -1.02   -0.986112  0.00536699
         173       -1.02   -0.986308  0.00533954
         174       -1.02   -0.986501  0.00531236
         175       -1.02   -0.986693  0.00528545
         176       -1.02   -0.986882  0.00525881
         177       -1.02   -0.987069  0.00523242
         178       -1.02   -0.987254   0.0052063
         179       -1.02   -0.987437  0.00518042
         180       -1.02   -0.987618   0.0051548
         181       -1.02   -0.987797  0.00512943
         182       -1.02   -0.987974  0.00510429
         183       -1.02   -0.988149   0.0050794
         184       -1.02   -0.988322  0.00505474
         185       -1.02   -0.988493  0.00503032
         186       -1.02   -0.988662  0.00500613
         187       -1.02    -0.98883  0.00498216
         188       -1.02   -0.988996  0.00495842
         189       -1.02    -0.98916   0.0049349
         190       -1.02   -0.989322  0.00491159
         191       -1.02   -0.989483   0.0048885
         192       -1.02   -0.989642  0.00486562
         193       -1.02   -0.989799  0.00484296
         194       -1.02   -0.989955  0.00482049
         195       -1.02   -0.990109  0.00479823
         196       -1.02   -0.990261  0.00477618
         197       -1.02   -0.990412  0.00475432
         198       -1.02   -0.990562  0.00473265
         199       -1.02    -0.99071  0.00471118
         200       -1.02   -0.990856   0.0046899
         201       -1.02   -0.991001  0.00466881
         202       -1.02   -0.991145   0.0046479
         203       -1.02   -0.991287  0.00462718
         204       -1.02   -0.991427  0.00460664
         205       -1.02   -0.991567  0.00458628
         206       -1.02   -0.991705  0.00456609
         207       -1.02   -0.991842  0.00454608
         208       -1.02   -0.991977  0.00452623
         209       -1.02   -0.992111  0.00450656
         210       -1.02   -0.992244  0.00448706
         211       -1.02   -0.992375  0.00446772
         212       -1.02   -0.992506  0.00444855
         213       -1.02   -0.992635  0.00442954
         214       -1.02   -0.992763  0.00441068
         215       -1.02   -0.992889  0.00439199
         216       -1.02   -0.993015  0.00437345
         217       -1.02   -0.993139  0.00435506
         218       -1.02   -0.993262  0.00433682
         219       -1.02   -0.993384  0.00431874
         220       -1.02   -0.993505   0.0043008
         221       -1.02   -0.993625  0.00428301
         222       -1.02   -0.993744  0.00426537
         223       -1.02   -0.993862  0.00424787
         224       -1.02   -0.993979   0.0042305
         225       -1.02   -0.994094  0.00421328
         226       -1.02   -0.994209   0.0041962
         227       -1.02   -0.994322  0.00417925
         228       -1.02   -0.994435  0.00416244
         229       -1.02   -0.994547  0.00414576
         230       -1.02   -0.994657  0.00412921
         231       -1.02   -0.994767  0.00411279
         232       -1.02   -0.994876   0.0040965
         233       -1.02   -0.994984  0.00408034
         234       -1.02   -0.995091   0.0040643
         235       -1.02   -0.995197  0.00404839
         236       -1.02   -0.995302   0.0040326
         237       -1.02   -0.995406  0.00401693
         238       -1.02   -0.995509  0.00400138
         239       -1.02   -0.995612  0.00398595
         240       -1.02   -0.995713  0.00397064
         241       -1.02   -0.995814  0.00395544
         242       -1.02   -0.995914  0.00394036
         243       -1.02   -0.996013  0.00392539
         244       -1.02   -0.996111  0.00391053
         245       -1.02   -0.996209  0.00389579
         246       -1.02   -0.996306  0.00388115
         247       -1.02   -0.996402  0.00386662
         248       -1.02   -0.996497   0.0038522
         249       -1.02   -0.996591  0.00383789
         250       -1.02   -0.996685  0.00382368
         251       -1.02   -0.996778  0.00380957
         252       -1.02    -0.99687  0.00379557
         253       -1.02   -0.996961  0.00378167
         254       -1.02   -0.997052  0.00376787
         255       -1.02   -0.997142  0.00375417
         256       -1.02   -0.997231  0.00374056
         257       -1.02    -0.99732  0.00372706
         258       -1.02   -0.997408  0.00371365
         259       -1.02   -0.997495  0.00370033
         260       -1.02   -0.997582  0.00368711
         261       -1.02   -0.997667  0.00367399
         262       -1.02   -0.997753  0.00366095
         263       -1.02   -0.997837  0.00364801
         264       -1.02   -0.997921  0.00363516
         265       -1.02   -0.998005   0.0036224
         266       -1.02   -0.998087  0.00360972
         267       -1.02   -0.998169  0.00359713
         268       -1.02   -0.998251  0.00358463
         269       -1.02   -0.998332  0.00357222
         270       -1.02   -0.998412  0.00355989
         271       -1.02   -0.998492  0.00354765
         272       -1.02   -0.998571  0.00353548
         273       -1.02   -0.998649  0.00352341
         274       -1.02   -0.998727  0.00351141
         275       -1.02   -0.998804  0.00349949
         276       -1.02   -0.998881  0.00348765
         277       -1.02   -0.998957   0.0034759
         278       -1.02   -0.999033  0.00346422
         279       -1.02   -0.999108  0.00345262
         280       -1.02   -0.999183  0.00344109
         281       -1.02   -0.999257  0.00342964
         282       -1.02    -0.99933  0.00341827
         283       -1.02   -0.999404  0.00340697
         284       -1.02   -0.999476  0.00339575
         285       -1.02   -0.999548   0.0033846
         286       -1.02    -0.99962  0.00337352
         287       -1.02   -0.999691  0.00336251
         288       -1.02   -0.999761  0.00335157
         289       -1.02   -0.999831  0.00334071
         290       -1.02   -0.999901  0.00332991
         291       -1.02    -0.99997  0.00331919
         292       -1.02    -1.00004  0.00330853
         293       -1.02    -1.00011  0.00329794
         294       -1.02    -1.00017  0.00328741
         295       -1.02    -1.00024  0.00327696
         296       -1.02    -1.00031  0.00326656
         297       -1.02    -1.00037  0.00325624
         298       -1.02    -1.00044  0.00324598
         299       -1.02    -1.00051  0.00323578
         300       -1.02    -1.00057  0.00322565
         301       -1.02    -1.00064  0.00321558
         302       -1.02     -1.0007  0.00320557
         303       -1.02    -1.00076  0.00319562
         304       -1.02    -1.00083  0.00318574
         305       -1.02    -1.00089  0.00317591
         306       -1.02    -1.00095  0.00316615
         307       -1.02    -1.00101  0.00315644
         308       -1.02    -1.00108   0.0031468
         309       -1.02    -1.00114  0.00313721
         310       -1.02     -1.0012  0.00312768
         311       -1.02    -1.00126   0.0031182
