#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1        4.84        4.84           0
           2        5.76         5.3    0.325269
           3        0.64     3.74667      1.2867
           4        0.16        2.85     1.23866
           5        0.36       2.352     1.08643
           6        0.64     2.06667    0.942086
           7        0.04     1.77714    0.850828
           8        0.04        1.56    0.771686
           9        1.44     1.54667    0.686059
          10        1.96       1.588    0.618697
          11        0.36     1.47636    0.572435
          12        0.36     1.38333    0.532238
          13        2.56     1.47385    0.498933
          14        2.56     1.55143    0.469288
          15        1.44       1.544    0.438061
          16           0      1.4475    0.421177
          17        0.16     1.37176    0.403154
          18        1.96     1.40444    0.382079
          19        0.64     1.36421    0.364081
          20        1.44       1.368    0.345897
          21        0.16     1.31048    0.334175
          22        0.64        1.28    0.320372
          23        0.36        1.24    0.308929
          24        0.16       1.195    0.299317
          25        0.04      1.1488    0.290888
          26        0.16     1.11077    0.282175
          27        0.16     1.07556    0.273913
          28        1.96     1.10714    0.265945
          29        1.44     1.11862    0.257022
          30        2.56     1.16667    0.252905
          31        1.96     1.19226    0.246039
          32           0       1.155    0.241154
          33        0.36     1.13091    0.235047
          34        2.56     1.17294    0.231862
          35        4.84     1.27771    0.247781
          36        0.36     1.25222    0.242206
          37        0.04     1.21946    0.237865
          38        0.04     1.18842    0.233622
          39        0.04     1.15897     0.22948
          40        0.36       1.139    0.224611
          41           1     1.13561    0.219158
          42        2.56     1.16952    0.216548
          43           4     1.23535    0.221291
          44        1.96     1.25182    0.216873
          45        1.96     1.26756    0.212624
          46        7.84     1.41043    0.251467
          47           9     1.57191    0.293418
          48        4.84        1.64    0.295099
          49        1.96     1.64653    0.289149
          50        1.44      1.6424    0.283395
          51        1.96     1.64863    0.277907
          52        0.16        1.62    0.274033
          53        0.16     1.59245    0.270244
          54        0.04      1.5637    0.266764
          55        1.44     1.56145    0.261923
          56        0.16     1.53643    0.258439
          57           0     1.50947    0.255307
          58        0.16     1.48621    0.251963
          59        0.04     1.46169    0.248882
          60        0.16        1.44    0.245677
          61        0.04     1.41705    0.242719
          62        0.64     1.40452    0.239128
          63        0.16     1.38476    0.236147
          64        0.64     1.37312    0.232744
          65        0.04     1.35262    0.230065
          66        0.04     1.33273    0.227437
          67        1.96     1.34209    0.224235
          68        0.36     1.32765    0.221402
          69        1.96     1.33681    0.218383
          70        1.96     1.34571    0.215445
          71        0.36     1.33183    0.212857
          72        3.24     1.35833    0.211544
          73        0.64     1.34849    0.208875
          74        0.64     1.33892    0.206272
          75           1      1.3344    0.203571
          76        0.64     1.32526    0.201097
          77        2.56      1.3413    0.199124
          78        1.44     1.34256    0.196575
          79        1.44      1.3438    0.194091
          80        0.04      1.3275    0.192347
          81        0.16     1.31309    0.190512
          82        0.16     1.29902    0.188707
          83        5.76     1.35277    0.193936
          84           4     1.38429    0.194171
          85           0       1.368    0.192569
          86           1     1.36372    0.190377
          87        1.96     1.37057    0.188312
          88        0.64     1.36227    0.186355
          89           4     1.39191    0.186603
          90           4     1.42089    0.186766
          91        6.76     1.47956    0.193711
          92        6.76     1.53696    0.199927
          93           9      1.6172    0.213276
          94           1     1.61064    0.211108
          95        0.16     1.59537    0.209437
          96        0.04     1.57917    0.207881
          97        0.36      1.5666    0.206118
          98           0     1.55061    0.204633
          99        0.16     1.53657    0.203048
         100        0.36      1.5248    0.201358
         101        1.44     1.52396    0.199366
         102        0.04     1.50941    0.197942
         103        0.04     1.49515    0.196533
         104        0.36     1.48423    0.194946
         105        0.64     1.47619    0.193256
         106        0.04     1.46264    0.191907
         107        0.16     1.45047    0.190499
         108        2.56     1.46074    0.189012
         109        2.56     1.47083    0.187547
         110        0.16     1.45891     0.18622
         111        0.64     1.45153    0.184688
         112        0.36     1.44179    0.183296
         113        0.64     1.43469    0.181812
         114        0.16     1.42351     0.18056
         115        0.16     1.41252    0.179324
         116           0     1.40034    0.178191
         117        0.04     1.38872    0.177047
         118        1.44     1.38915    0.175547
         119           1     1.38588    0.174102
         120        2.56     1.39567    0.172926
         121        3.24     1.41091    0.172168
         122        0.64     1.40459    0.170872
         123        0.04      1.3935    0.169843
         124        0.04     1.38258    0.168824
         125        0.04     1.37184    0.167814
         126        0.16     1.36222    0.166758
         127        0.04     1.35181    0.165769
         128        0.16      1.3425    0.164736
         129        1.96     1.34729    0.163528
         130        0.36     1.33969    0.162447
         131        2.56     1.34901    0.161473
         132           1     1.34636    0.160272
         133        2.56     1.35549    0.159326
         134        2.56     1.36448    0.158391
         135        1.44     1.36504    0.157218
         136        1.96     1.36941    0.156123
         137        0.04     1.35971    0.155285
         138        2.56     1.36841    0.154403
         139           4     1.38734    0.154449
         140        0.04     1.37771    0.153645
         141        0.16     1.36908    0.152798
         142        0.64     1.36394    0.151808
         143        0.16     1.35552     0.15098
         144        0.16     1.34722    0.150159
         145        0.16     1.33903    0.149347
         146        0.36     1.33233    0.148474
         147        0.64     1.32762    0.147539
         148           1     1.32541    0.146559
         149        1.96     1.32966    0.145637
         150        0.16     1.32187    0.144875
         151        1.96     1.32609    0.143977
         152        3.24     1.33868    0.143579
         153        1.96     1.34275    0.142698
         154           1     1.34052    0.141789
         155        1.44     1.34116    0.140875
         156           1     1.33897    0.139989
         157           4     1.35592     0.14012
         158        2.56     1.36354     0.13944
         159        1.44     1.36403    0.138564
         160        2.56      1.3715      0.1379
         161           4     1.38783    0.138006
         162        0.04     1.37951    0.137405
         163           1     1.37718    0.136582
         164           4     1.39317    0.136682
         165           4     1.40897    0.136764
         166           1     1.40651    0.135962
         167        0.36     1.40024    0.135292
