#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934168   -0.934168           0
           2      -0.935   -0.934584 0.000294156
           3   -0.930584   -0.933251  0.00110618
           4   -0.930544   -0.932574  0.00101573
           5   -0.926128   -0.931285  0.00141065
           6   -0.936924   -0.932225  0.00145534
           7   -0.937656   -0.933001  0.00143948
           8   -0.927408   -0.932301  0.00141918
           9   -0.936484   -0.932766  0.00133542
          10   -0.939868   -0.933476  0.00137783
          11   -0.932272   -0.933367  0.00125692
          12   -0.933984   -0.933418  0.00115323
          13   -0.945752   -0.934367  0.00140145
          14   -0.929104   -0.933991  0.00135083
          15   -0.939492   -0.934358  0.00130961
          16   -0.938916   -0.934643  0.00125836
          17   -0.937476   -0.934809  0.00119533
          18   -0.929168   -0.934496  0.00116929
          19   -0.934248   -0.934483  0.00110782
          20   -0.940316   -0.934775  0.00109014
