#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.55022     3.55022           0
           2     3.72208     3.63615   0.0607633
           3     3.61561      3.6293    0.040893
           4     3.54592     3.60846   0.0355884
           5      3.6241     3.61159   0.0286079
           6     3.62375     3.61361   0.0239117
           7     3.72704     3.62982   0.0253997
           8     3.70004     3.63859   0.0236928
           9     3.50229     3.62345   0.0254443
          10     3.46039     3.60714   0.0276353
          11     3.38624     3.58706   0.0315878
          12     3.64584     3.59196   0.0293328
          13     3.44251     3.58046   0.0292426
          14     3.54648     3.57804   0.0272544
          15     3.62579     3.58122   0.0256227
          16     3.66849     3.58667    0.024595
          17     3.72652      3.5949   0.0244853
          18     3.67055      3.5991   0.0234829
          19     3.45904     3.59173   0.0233754
          20     3.43794     3.58404   0.0234374
