#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.469157    0.469157           0
           2    0.484702    0.476929  0.00549588
           3    0.439323    0.464394   0.0108713
           4    0.453199    0.461595  0.00850609
           5    0.515482    0.472372   0.0117995
           6    0.507966    0.478305   0.0112255
           7    0.438561    0.472627    0.010964
           8    0.505379    0.476721   0.0103297
           9    0.472522    0.476254  0.00919245
          10    0.459775    0.474606  0.00841963
          11    0.535672    0.480158   0.0093061
          12    0.418177    0.474993  0.00986031
          13    0.510679    0.477738  0.00947623
          14    0.505294    0.479706  0.00900145
          15    0.474765    0.479377  0.00840738
          16    0.431856    0.476407  0.00839014
          17    0.515167    0.478687  0.00820055
          18    0.465154    0.477935  0.00777935
          19     0.48202     0.47815  0.00737288
          20    0.446992    0.476592  0.00716694
