#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.05176     0.05176           0
           2     0.05817    0.054965  0.00226628
           3     0.05743   0.0557867  0.00165311
           4     0.04558    0.053235  0.00253386
           5    0.046742   0.0519364  0.00233627
           6    0.046556   0.0510397  0.00211199
           7    0.047758   0.0505709  0.00186158
           8    0.060986   0.0518728   0.0020338
           9    0.054764    0.052194  0.00183301
          10    0.043668   0.0513414  0.00183733
          11     0.04367    0.050644  0.00179779
          12    0.051294   0.0506982  0.00164879
          13    0.056228   0.0511235  0.00157588
          14    0.058676    0.051663  0.00155291
          15    0.045298   0.0512387  0.00150624
          16    0.057456   0.0516273  0.00146136
          17    0.049656   0.0515113  0.00137999
          18    0.058492   0.0518991  0.00135673
          19    0.053114   0.0519631  0.00128683
          20     0.04551   0.0516404  0.00126229
