#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.046416   -0.046416           0
           2    0.031408   -0.007504   0.0275149
           3    0.004414 -0.00353133   0.0186279
           4    -0.01085   -0.005361   0.0140605
           5   -0.014628  -0.0072144   0.0113699
           6   -0.039294   -0.012561   0.0106581
           7    0.008858 -0.00950114  0.00956468
           8     0.01357 -0.00661725  0.00879312
           9    -0.00198   -0.006102  0.00783119
          10   -0.020852   -0.007577  0.00718564
          11   -0.053862  -0.0117847    0.007666
          12     0.01018 -0.00995433  0.00724239
          13   -0.013174   -0.010202  0.00668952
          14    0.022518 -0.00786486  0.00660736
          15     0.02132  -0.0059192  0.00644698
          16    0.017714 -0.00444212  0.00621095
          17   -0.034192 -0.00619212  0.00608714
          18   -0.012992 -0.00656989  0.00576068
          19   -0.019204 -0.00723484  0.00549573
          20   -0.054698   -0.009608  0.00571039
