#   N_BLOCK:  ACCEPTANCE:
           1    0.415853
           2    0.416756
           3    0.417065
           4    0.416874
           5    0.416921
           6    0.417105
           7     0.41701
           8    0.417081
           9     0.41721
          10    0.416981
          11    0.416963
          12    0.416939
          13    0.417055
          14    0.417057
          15    0.417135
          16    0.417168
          17    0.417274
          18    0.417253
          19    0.417242
          20    0.417347
