#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.51552     1.51552           0
           2     1.46464     1.49008   0.0179873
           3     1.50306      1.4944    0.012501
           4     1.54108     1.50607   0.0137854
           5     1.51606     1.50807   0.0111722
           6     1.45933     1.49995   0.0119022
           7      1.5255      1.5036   0.0107469
           8     1.51037     1.50444  0.00943679
           9      1.5355      1.5079  0.00899714
          10     1.49284     1.50639  0.00822243
          11     1.50406     1.50618  0.00747766
          12     1.53074     1.50823  0.00712913
          13     1.54994     1.51143    0.007267
          14     1.55499     1.51454  0.00738392
          15     1.47252     1.51174  0.00740411
          16     1.51472     1.51193  0.00694369
          17     1.47628     1.50983  0.00684454
          18     1.48945      1.5087  0.00655728
          19     1.52735     1.50968  0.00628519
          20     1.49224     1.50881  0.00603114
