#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483052   -0.483052           0
           2   -0.481336   -0.482194 0.000606698
           3    -0.48208   -0.482156 0.000405653
           4   -0.483844   -0.482578 0.000475526
           5    -0.48364    -0.48279 0.000425219
           6   -0.480396   -0.482391 0.000508208
           7   -0.485188   -0.482791 0.000571463
           8   -0.482792   -0.482791  0.00050003
           9   -0.482056   -0.482709 0.000451091
          10    -0.48068   -0.482506 0.000449316
          11   -0.482716   -0.482525 0.000408873
          12     -0.4836   -0.482615 0.000384481
          13   -0.482484   -0.482605 0.000355037
          14    -0.48358   -0.482675  0.00033644
          15   -0.481412    -0.48259 0.000324369
          16   -0.483252   -0.482632  0.00030672
          17   -0.482232   -0.482608 0.000289577
          18    -0.48238   -0.482596 0.000273767
          19    -0.48336   -0.482636 0.000262298
          20   -0.482796   -0.482644 0.000249306
