#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.19933     0.19933           0
           2    0.200756    0.200043  0.00050413
           3    0.202924    0.201003 0.000852979
           4    0.198514    0.200381 0.000836539
           5    0.197781    0.199861 0.000814963
           6    0.198849    0.199692  0.00069637
           7    0.196329    0.199212 0.000744427
           8    0.201421    0.199488 0.000700724
           9    0.195899    0.199089 0.000727551
          10    0.198832    0.199063 0.000655249
          11     0.19536    0.198727  0.00067668
          12    0.197608    0.198634  0.00062668
          13    0.196885    0.198499 0.000592736
          14    0.197711    0.198443 0.000553066
          15    0.196458     0.19831 0.000531785
          16    0.199361    0.198376 0.000502589
          17    0.196309    0.198254 0.000487514
          18    0.196888    0.198179 0.000466303
          19    0.193306    0.197922 0.000507394
          20    0.199674     0.19801  0.00048953
