#   N_BLOCK:  ACCEPTANCE:
           1     0.51119
           2    0.510896
           3    0.510707
           4    0.510685
           5    0.510499
           6    0.510438
           7    0.510111
           8    0.510431
           9    0.510597
          10    0.510215
          11    0.510255
          12    0.510378
          13    0.510439
          14    0.510565
          15    0.510483
          16    0.510391
          17    0.510363
          18    0.510103
          19    0.510141
          20    0.510232
          21    0.510497
          22    0.510526
          23    0.510472
          24    0.510542
          25    0.510587
          26    0.510513
          27     0.51044
          28    0.510456
          29    0.510462
          30    0.510504
          31     0.51041
          32    0.510409
          33    0.510438
          34    0.510462
          35    0.510326
          36    0.510275
          37    0.510286
          38     0.51034
          39    0.510339
          40    0.510271
          41      0.5102
          42    0.510241
          43     0.51031
          44    0.510368
          45    0.510398
          46    0.510417
          47    0.510401
          48    0.510384
          49    0.510363
          50    0.510382
