# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 4.86307e-05           0
    0.884913  0.00105461           0
    0.910562   0.0236017           0
    0.936212    0.169024           0
    0.961861    0.573419           0
    0.987511     1.19747           0
     1.01316     1.87711           0
     1.03881     2.29548           0
     1.06446     2.55291           0
     1.09011     2.51366           0
     1.11576     2.41476           0
     1.14141     2.20681           0
     1.16706     1.98686           0
     1.19271     1.74013           0
     1.21836     1.54516           0
     1.24401      1.3753           0
     1.26966     1.23695           0
     1.29531     1.12377           0
     1.32096     1.02973           0
     1.34661    0.942953           0
     1.37226     0.87903           0
     1.39791    0.831928           0
     1.42355    0.771212           0
      1.4492    0.742992           0
     1.47485    0.716846           0
      1.5005     0.69636           0
     1.52615    0.692174           0
      1.5518    0.684915           0
     1.57745    0.679346           0
      1.6031    0.681128           0
     1.62875    0.693724           0
      1.6544    0.705625           0
     1.68005    0.729609           0
      1.7057    0.745313           0
     1.73135    0.786774           0
       1.757    0.822083           0
     1.78265    0.847399           0
      1.8083    0.894172           0
     1.83395    0.934684           0
      1.8596    0.966478           0
     1.88525     1.01863           0
      1.9109     1.05656           0
     1.93655     1.09332           0
      1.9622     1.12668           0
     1.98785     1.15541           0
      2.0135     1.17843           0
     2.03915     1.19885           0
      2.0648     1.21027           0
     2.09045     1.20605           0
      2.1161     1.19875           0
     2.14174     1.18443           0
     2.16739      1.1612           0
     2.19304     1.14979           0
     2.21869     1.11254           0
     2.24434      1.0952           0
     2.26999     1.06796           0
     2.29564     1.03773           0
     2.32129     1.01698           0
     2.34694    0.990091           0
     2.37259    0.971977           0
     2.39824    0.956978           0
     2.42389    0.936031           0
     2.44954    0.925526           0
     2.47519    0.909749           0
     2.50084    0.898872           0
     2.52649    0.890501           0
     2.55214    0.895857           0

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 2.43154e-05 1.71936e-05
    0.884913  0.00103168 1.62113e-05
    0.910562   0.0223675 0.000872724
    0.936212    0.162203  0.00482302
    0.961861      0.5564   0.0120337
    0.987511     1.18184   0.0110522
     1.01316     1.85829   0.0133071
     1.03881     2.31312   0.0124699
     1.06446     2.55356 0.000459361
     1.09011     2.53731   0.0167294
     1.11576     2.41835  0.00253916
     1.14141     2.19311   0.0096858
     1.16706     1.97899  0.00556444
     1.19271     1.75217   0.0085136
     1.21836     1.57135   0.0185158
     1.24401     1.39179   0.0116569
     1.26966     1.25463   0.0125058
     1.29531     1.13371  0.00702921
     1.32096     1.03066 0.000662065
     1.34661    0.940835   0.0014982
     1.37226    0.875722  0.00233936
     1.39791    0.825359  0.00464503
     1.42355     0.77154 0.000231788
      1.4492    0.734965  0.00567603
     1.47485    0.706289  0.00746469
      1.5005    0.689446   0.0048886
     1.52615     0.67463   0.0124055
      1.5518    0.676393  0.00602578
     1.57745    0.674353  0.00353048
      1.6031    0.676811  0.00305286
     1.62875    0.684987  0.00617814
      1.6544    0.704824 0.000565873
     1.68005     0.72452  0.00359821
      1.7057    0.743993 0.000933792
     1.73135    0.783103  0.00259617
       1.757    0.818029  0.00286637
     1.78265    0.849387  0.00140622
      1.8083    0.893013  0.00081919
     1.83395    0.936835  0.00152116
      1.8596    0.973674  0.00508824
     1.88525     1.01745 0.000832266
      1.9109     1.06096  0.00311166
     1.93655       1.094 0.000480702
      1.9622     1.12902  0.00165854
     1.98785     1.15921  0.00268587
      2.0135     1.18382  0.00381095
     2.03915     1.20363  0.00337983
      2.0648     1.21506   0.0033887
     2.09045      1.2145  0.00597587
      2.1161     1.20402  0.00372821
     2.14174     1.19384  0.00665617
     2.16739     1.16524  0.00285657
     2.19304     1.14605  0.00264759
     2.21869       1.119  0.00456482
     2.24434     1.09339  0.00128288
     2.26999     1.06628  0.00118999
     2.29564      1.0394    0.001178
     2.32129     1.01589 0.000765719
     2.34694    0.989788  0.00021435
     2.37259     0.97019  0.00126296
     2.39824    0.953379  0.00254501
     2.42389    0.933966  0.00146072
     2.44954    0.922582  0.00208196
     2.47519    0.907396  0.00166397
     2.50084     0.89729  0.00111847
     2.52649    0.887407  0.00218778
     2.55214    0.890846  0.00354349

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.62102e-05 1.32356e-05
    0.884913   0.0011616 0.000106625
    0.910562   0.0230387 0.000799304
    0.936212    0.163262  0.00332943
    0.961861    0.556084  0.00802664
    0.987511     1.18864   0.0092286
     1.01316     1.85916  0.00889931
     1.03881     2.31667  0.00880385
     1.06446     2.55772  0.00341623
     1.09011      2.5283   0.0133627
     1.11576     2.41433  0.00369569
     1.14141     2.19791  0.00755554
     1.16706     1.97321  0.00600707
     1.19271     1.75029  0.00587885
     1.21836      1.5696   0.0124259
     1.24401     1.39507  0.00822062
     1.26966     1.25502  0.00834319
     1.29531     1.13391  0.00468908
     1.32096     1.03419  0.00291514
     1.34661    0.944808  0.00339463
     1.37226    0.872795  0.00285373
     1.39791    0.821847  0.00422084
     1.42355    0.773155  0.00132796
      1.4492    0.735817  0.00384744
     1.47485    0.710501  0.00604926
      1.5005    0.689183  0.00326614
     1.52615    0.674718  0.00827067
      1.5518    0.673583  0.00462652
     1.57745    0.673222  0.00252814
      1.6031    0.673695  0.00325796
     1.62875    0.684259  0.00416151
      1.6544    0.704824 0.000377249
     1.68005    0.723689  0.00249295
      1.7057    0.746626   0.0022381
     1.73135    0.781975  0.00196058
       1.757    0.814208  0.00365856
     1.78265    0.847018  0.00214957
      1.8083    0.893948 0.000938804
     1.83395    0.934328  0.00228447
      1.8596    0.970684  0.00417957
     1.88525     1.01992  0.00208918
      1.9109     1.06143  0.00210969
     1.93655     1.09436 0.000433457
      1.9622     1.12696  0.00201255
     1.98785     1.15906  0.00179467
      2.0135     1.18321  0.00259034
     2.03915     1.20538   0.0026713
      2.0648     1.21459   0.0022921
     2.09045     1.21421  0.00399076
      2.1161     1.20574  0.00285375
     2.14174     1.19506  0.00454786
     2.16739     1.16757  0.00269042
     2.19304     1.15018  0.00380615
     2.21869     1.12292  0.00441624
     2.24434     1.09427  0.00111847
     2.26999     1.06844  0.00193663
     2.29564     1.04344  0.00339215
     2.32129      1.0194  0.00290629
     2.34694    0.993121  0.00272459
     2.37259    0.969786  0.00090428
     2.39824    0.949332  0.00371422
     2.42389    0.931348  0.00234885
     2.44954    0.919183  0.00310311
     2.47519    0.906938  0.00117068
     2.50084    0.896493 0.000989734
     2.52649     0.88502  0.00243434
     2.55214    0.887939  0.00334887

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.21577e-05 1.05289e-05
    0.884913   0.0011807 8.16624e-05
    0.910562   0.0230387 0.000599478
    0.936212    0.161917   0.0027554
    0.961861    0.554373  0.00619963
    0.987511      1.1908   0.0071698
     1.01316     1.86036  0.00675503
     1.03881     2.32029  0.00730981
     1.06446     2.55501  0.00347891
     1.09011     2.53361    0.011025
     1.11576     2.41284  0.00305836
     1.14141     2.19469  0.00631565
     1.16706     1.97416  0.00457966
     1.19271      1.7563  0.00681684
     1.21836     1.56897  0.00933542
     1.24401     1.39664  0.00631289
     1.26966     1.25518  0.00625892
     1.29531     1.13325  0.00356343
     1.32096     1.03284  0.00248055
     1.34661    0.944483  0.00256149
     1.37226    0.874568  0.00263428
     1.39791    0.820577  0.00335108
     1.42355    0.772638  0.00109191
      1.4492    0.734982  0.00297479
     1.47485    0.708757  0.00478183
      1.5005    0.689446  0.00246018
     1.52615    0.674622  0.00620355
      1.5518    0.674679  0.00359736
     1.57745    0.673289  0.00189697
      1.6031    0.672298  0.00272666
     1.62875    0.686469  0.00366158
      1.6544     0.70409 0.000696318
     1.68005    0.721136  0.00289541
      1.7057    0.746896  0.00169484
     1.73135    0.780342  0.00204022
       1.757    0.811359  0.00369052
     1.78265    0.849116  0.00242901
      1.8083    0.891764  0.00201847
     1.83395    0.932097  0.00258199
      1.8596    0.970832  0.00313729
     1.88525     1.01686  0.00307512
      1.9109     1.05901  0.00262932
     1.93655     1.09479 0.000494375
      1.9622     1.12858  0.00206144
     1.98785      1.1584  0.00146168
      2.0135     1.18433  0.00217273
     2.03915     1.20806  0.00306695
      2.0648     1.21492  0.00174316
     2.09045     1.21606  0.00339386
      2.1161     1.20662  0.00227216
     2.14174     1.19664  0.00367595
     2.16739     1.17131  0.00381729
     2.19304     1.15086  0.00291539
     2.21869      1.1217  0.00347726
     2.24434     1.09528  0.00121297
     2.26999     1.06992   0.0019366
     2.29564     1.04369  0.00255364
     2.32129      1.0178  0.00258281
     2.34694    0.993879   0.0021464
     2.37259    0.970498 0.000916482
     2.39824    0.949221  0.00278733
     2.42389    0.933549  0.00259534
     2.44954    0.919148  0.00232752
     2.47519     0.90759  0.00104369
     2.50084    0.896406 0.000746121
     2.52649    0.885071  0.00182629
     2.55214    0.884871  0.00365589

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
