#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45723    -5.45723           0
           2    -5.48608    -5.47165   0.0101977
           3    -5.46596    -5.46976  0.00697304
           4    -5.47546    -5.47118  0.00537357
           5    -5.46821    -5.47059  0.00433161
           6    -5.45002    -5.46716  0.00477739
           7    -5.44723    -5.46431  0.00486971
           8    -5.47672    -5.46586  0.00450113
           9    -5.47453    -5.46683  0.00410279
          10    -5.45373    -5.46552  0.00389599
          11    -5.47026    -5.46595  0.00356559
          12    -5.47812    -5.46696  0.00340958
          13    -5.46224     -5.4666  0.00316663
          14     -5.4761    -5.46728  0.00301233
          15    -5.45797    -5.46666  0.00287474
          16    -5.47352    -5.46709  0.00272685
          17    -5.46101    -5.46673  0.00258979
          18    -5.43888    -5.46518  0.00287094
          19    -5.47507     -5.4657  0.00276658
          20    -5.47049    -5.46594   0.0026386
          21    -5.48955    -5.46706    0.002742
          22    -5.47191    -5.46728   0.0026262
          23    -5.45663    -5.46682  0.00255252
          24    -5.48838    -5.46772  0.00259939
          25    -5.46545    -5.46763  0.00249699
          26    -5.46416     -5.4675  0.00240453
          27     -5.4328    -5.46621  0.00263652
          28    -5.46441    -5.46615  0.00254314
          29    -5.48676    -5.46686  0.00255287
          30    -5.45791    -5.46656  0.00248512
          31    -5.45182    -5.46608  0.00245003
          32    -5.48221    -5.46659  0.00242474
          33    -5.45498    -5.46624  0.00237663
          34    -5.49684    -5.46714  0.00247134
          35    -5.44214    -5.46642  0.00250179
          36    -5.44324    -5.46578  0.00251382
          37    -5.46582    -5.46578  0.00244588
          38    -5.46851    -5.46585  0.00238257
          39    -5.46371     -5.4658  0.00232211
          40    -5.46172    -5.46569   0.0022663
          41    -5.45555    -5.46545  0.00222448
          42    -5.48324    -5.46587  0.00221149
          43    -5.48207    -5.46625   0.0021919
          44    -5.46483    -5.46622  0.00214232
          45     -5.4685    -5.46627  0.00209531
          46    -5.47078    -5.46636  0.00205206
          47    -5.45816    -5.46619  0.00201581
          48    -5.45931    -5.46605   0.0019789
          49    -5.45613    -5.46584  0.00194884
          50    -5.46339    -5.46579  0.00191048
