#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.39723     1.39723           0
           2     1.26859     1.33291   0.0454819
           3     1.37226     1.34602   0.0321573
           4     1.34048     1.34464   0.0241479
           5     1.40158     1.35603    0.021839
           6     1.44064     1.37013   0.0222926
           7     1.47787     1.38552   0.0238363
           8     1.31476     1.37667   0.0224381
           9     1.34472     1.37312   0.0202239
          10      1.4631     1.38212   0.0201034
          11     1.37195      1.3812   0.0182971
          12     1.33096     1.37701   0.0172446
          13     1.43808     1.38171   0.0165455
          14     1.35451     1.37977   0.0154773
          15     1.43253     1.38328   0.0148398
          16     1.36474     1.38212   0.0139575
          17     1.42409     1.38459    0.013353
          18     1.56174     1.39443   0.0158278
          19     1.35264     1.39223   0.0151468
          20     1.35772     1.39051   0.0144875
          21     1.24565     1.38361   0.0153522
          22     1.35545     1.38233   0.0147077
          23     1.39904     1.38306   0.0140861
          24     1.28347     1.37891   0.0140972
          25     1.36851     1.37849   0.0135394
          26     1.39784     1.37924   0.0130391
          27     1.54787     1.38548   0.0139721
          28     1.37558     1.38513   0.0134776
          29     1.28962     1.38183   0.0134092
          30     1.42118     1.38315   0.0130262
          31     1.44999      1.3853   0.0127832
          32     1.31558     1.38312   0.0125681
          33     1.40462     1.38377   0.0122041
          34      1.2697     1.38042   0.0122977
          35     1.49367     1.38366   0.0123647
          36     1.47793     1.38627   0.0122955
          37     1.38787     1.38632   0.0119632
          38     1.32492      1.3847    0.011757
          39     1.38798     1.38479   0.0114559
          40     1.43697     1.38609   0.0112435
          41     1.46253     1.38795   0.0111228
          42       1.317     1.38627   0.0109855
          43     1.28937     1.38401   0.0109587
          44     1.39357     1.38423   0.0107118
          45     1.36489      1.3838   0.0104824
          46     1.38051     1.38373   0.0102547
          47     1.44501     1.38503   0.0101191
          48     1.39994     1.38534  0.00991308
          49     1.43908     1.38644  0.00977124
          50     1.40464      1.3868  0.00958259
