# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00224678           0
    0.910562   0.0188814           0
    0.936212    0.166075           0
    0.961861    0.579939           0
    0.987511     1.23488           0
     1.01316     1.90303           0
     1.03881     2.31338           0
     1.06446     2.50734           0
     1.09011     2.48329           0
     1.11576     2.34041           0
     1.14141      2.2057           0
     1.16706      1.9465           0
     1.19271     1.73147           0
     1.21836     1.56541           0
     1.24401     1.41289           0
     1.26966     1.26557           0
     1.29531     1.15699           0
     1.32096     1.09018           0
     1.34661    0.972973           0
     1.37226    0.842896           0
     1.39791    0.768553           0
     1.42355    0.738733           0
      1.4492    0.712422           0
     1.47485     0.70534           0
      1.5005    0.689981           0
     1.52615    0.703166           0
      1.5518    0.670928           0
     1.57745     0.68519           0
      1.6031     0.68124           0
     1.62875    0.692818           0
      1.6544    0.718298           0
     1.68005    0.729978           0
      1.7057    0.746782           0
     1.73135     0.78481           0
       1.757    0.836727           0
     1.78265    0.839229           0
      1.8083    0.879874           0
     1.83395    0.921392           0
      1.8596    0.974879           0
     1.88525      1.0378           0
      1.9109     1.06175           0
     1.93655     1.10096           0
      1.9622     1.12974           0
     1.98785      1.1375           0
      2.0135     1.18688           0
     2.03915     1.23646           0
      2.0648     1.26892           0
     2.09045     1.21043           0
      2.1161      1.2016           0
     2.14174     1.17615           0
     2.16739     1.15299           0
     2.19304     1.12656           0
     2.21869     1.13367           0
     2.24434      1.1066           0
     2.26999     1.07373           0
     2.29564      1.0482           0
     2.32129     1.00615           0
     2.34694    0.968435           0
     2.37259    0.952215           0
     2.39824    0.937699           0
     2.42389    0.908822           0
     2.44954     0.89266           0
     2.47519    0.902406           0
     2.50084    0.916555           0
     2.52649    0.900959           0
     2.55214    0.886998           0

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00112339 0.000794356
    0.910562   0.0203538  0.00104114
    0.936212    0.170765  0.00331673
    0.961861    0.586187   0.0044183
    0.987511     1.22775  0.00503794
     1.01316     1.87748   0.0180684
     1.03881     2.32405  0.00754073
     1.06446     2.53609   0.0203351
     1.09011     2.51645    0.023449
     1.11576     2.33392  0.00458884
     1.14141     2.14975   0.0395617
     1.16706     1.95367  0.00507045
     1.19271     1.73741  0.00420326
     1.21836     1.52784   0.0265635
     1.24401     1.37761   0.0249462
     1.26966     1.26765  0.00147267
     1.29531     1.15639  0.00042372
     1.32096     1.07548   0.0103966
     1.34661    0.973676 0.000497066
     1.37226    0.869468    0.018789
     1.39791    0.808215   0.0280456
     1.42355    0.776643    0.026806
      1.4492    0.729511   0.0120835
     1.47485    0.706124 0.000554453
      1.5005     0.69746  0.00528893
     1.52615    0.682924   0.0143132
      1.5518    0.679033  0.00573055
     1.57745    0.684014 0.000831602
      1.6031    0.685558  0.00305286
     1.62875    0.693812 0.000703475
      1.6544    0.717891 0.000287575
     1.68005    0.736867  0.00487108
      1.7057    0.770503   0.0167733
     1.73135    0.788284  0.00245641
       1.757     0.82463  0.00855386
     1.78265    0.837936 0.000914842
      1.8083     0.87585  0.00284581
     1.83395    0.930579  0.00649605
      1.8596    0.975486 0.000429527
     1.88525     1.02445  0.00944425
      1.9109     1.04644   0.0108265
     1.93655     1.08342   0.0123967
      1.9622     1.11917  0.00746839
     1.98785     1.13994  0.00172525
      2.0135     1.18487  0.00142167
     2.03915     1.22668  0.00691538
      2.0648     1.24497   0.0169345
     2.09045     1.19861  0.00835809
      2.1161     1.19958  0.00143458
     2.14174     1.18394   0.0055076
     2.16739      1.1502  0.00197284
     2.19304     1.13444  0.00557499
     2.21869     1.13137   0.0016325
     2.24434     1.07968   0.0190365
     2.26999     1.07144  0.00161376
     2.29564     1.05554  0.00519381
     2.32129     1.02061   0.0102229
     2.34694    0.986072   0.0124715
     2.37259    0.963792  0.00818666
     2.39824    0.943203  0.00389146
     2.42389    0.928083   0.0136197
     2.44954    0.905604    0.009153
     2.47519    0.898235  0.00294872
     2.50084    0.907521  0.00638809
     2.52649    0.895815  0.00363769
     2.55214     0.88608 0.000649056

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000855915 0.000572835
    0.910562   0.0201661 0.000710807
    0.936212    0.176398  0.00510307
    0.961861    0.598011   0.0100937
    0.987511     1.25002   0.0184911
     1.01316     1.89493   0.0186568
     1.03881     2.35972   0.0295591
     1.06446     2.53862   0.0137132
     1.09011     2.51341   0.0158281
     1.11576     2.33767    0.004328
     1.14141     2.14296   0.0269523
     1.16706     1.94757  0.00601845
     1.19271     1.74426  0.00625174
     1.21836     1.53115   0.0179136
     1.24401     1.35903   0.0225113
     1.26966     1.24966   0.0147188
     1.29531     1.12302   0.0272433
     1.32096     1.05275   0.0198151
     1.34661    0.964583  0.00743118
     1.37226    0.871092    0.012596
     1.39791    0.811452   0.0188829
     1.42355    0.785712   0.0193441
      1.4492    0.739413   0.0114132
     1.47485    0.717336  0.00916158
      1.5005    0.696939  0.00355152
     1.52615    0.686362  0.00994647
      1.5518    0.686496  0.00719212
     1.57745    0.684949 0.000943861
      1.6031    0.682353  0.00331469
     1.62875    0.684241  0.00782948
      1.6544     0.70817  0.00793969
     1.68005    0.741868  0.00521762
      1.7057    0.768714   0.0112773
     1.73135    0.785301  0.00293478
       1.757    0.822122  0.00605926
     1.78265    0.850559   0.0103249
      1.8083    0.878644  0.00296754
     1.83395     0.92699  0.00522896
      1.8596    0.972681  0.00230836
     1.88525     1.02863  0.00716274
      1.9109     1.06065   0.0136662
     1.93655     1.09478   0.0124206
      1.9622     1.11744  0.00517681
     1.98785     1.14649  0.00547054
      2.0135     1.18844  0.00306921
     2.03915     1.21565    0.010123
      2.0648     1.23397    0.014427
     2.09045     1.19656  0.00581742
      2.1161      1.1925  0.00585784
     2.14174     1.17086   0.0112919
     2.16739     1.15763  0.00620942
     2.19304     1.12866  0.00600797
     2.21869     1.12489  0.00540066
     2.24434     1.08298   0.0129742
     2.26999     1.06993  0.00163693
     2.29564      1.0565  0.00354906
     2.32129     1.02119  0.00683152
     2.34694    0.981593  0.00908331
     2.37259     0.96735  0.00618251
     2.39824    0.941039  0.00313851
     2.42389    0.933137  0.00997332
     2.44954    0.917401   0.0114026
     2.47519     0.90678  0.00724815
     2.50084    0.906732  0.00430723
     2.52649    0.901325  0.00511098
     2.55214    0.887377  0.00114358

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000779494 0.000434694
    0.910562   0.0218803  0.00157735
    0.936212    0.177146  0.00388168
    0.961861    0.598034  0.00757031
    0.987511     1.22502   0.0257144
     1.01316     1.87354   0.0232111
     1.03881      2.3477   0.0244937
     1.06446     2.55844   0.0200036
     1.09011     2.51329   0.0118715
     1.11576     2.35113   0.0121021
     1.14141     2.15207   0.0217004
     1.16706     1.93255    0.013767
     1.19271     1.74248    0.004935
     1.21836     1.53552    0.013959
     1.24401     1.36227   0.0171157
     1.26966     1.26846   0.0196666
     1.29531     1.13138   0.0216764
     1.32096     1.05148   0.0149015
     1.34661    0.956582  0.00889273
     1.37226     0.87311  0.00960731
     1.39791    0.816668    0.014865
     1.42355    0.782432   0.0147834
      1.4492    0.745616   0.0101061
     1.47485    0.713953  0.00746962
      1.5005    0.695495  0.00294282
     1.52615     0.69032  0.00820975
      1.5518    0.685981  0.00541246
     1.57745    0.678584  0.00555746
      1.6031    0.678631  0.00407094
     1.62875    0.685072  0.00591608
      1.6544    0.706953  0.00604729
     1.68005     0.74199  0.00391464
      1.7057    0.773903  0.00957796
     1.73135    0.792291  0.00644101
       1.757     0.82463  0.00503703
     1.78265    0.851526  0.00778885
      1.8083    0.885063  0.00598758
     1.83395     0.92795  0.00400887
      1.8596    0.968778  0.00379731
     1.88525     1.01868   0.0101517
      1.9109     1.05149   0.0129587
     1.93655     1.10319   0.0118242
      1.9622     1.11908  0.00413511
     1.98785      1.1465  0.00410292
      2.0135      1.1838   0.0046329
     2.03915     1.20919  0.00943094
      2.0648     1.22411   0.0137799
     2.09045     1.19533  0.00449146
      2.1161     1.19358  0.00449145
     2.14174     1.17744    0.010207
     2.16739     1.16216   0.0060894
     2.19304     1.13653  0.00817176
     2.21869     1.12573  0.00411559
     2.24434     1.07921   0.0102639
     2.26999     1.06081  0.00799554
     2.29564     1.05025  0.00603164
     2.32129     1.02269  0.00528598
     2.34694    0.987826  0.00869199
     2.37259    0.975048  0.00812084
     2.39824    0.944709  0.00395465
     2.42389     0.93375  0.00749885
     2.44954    0.915668  0.00868261
     2.47519    0.905258  0.00559351
     2.50084     0.90126  0.00573492
     2.52649    0.895801  0.00613035
     2.55214    0.881824  0.00488445

   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
