#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66673     1.66673           0
           2     1.66114     1.66394  0.00197602
           3     1.62831     1.65206  0.00978651
           4     1.67523     1.65785  0.00889074
           5     1.65959      1.6582  0.00711934
           6     1.67099     1.66033   0.0062439
           7     1.65172      1.6591   0.0054718
           8     1.65148     1.65815  0.00487009
           9     1.69576     1.66233  0.00585333
          10     1.67788     1.66388  0.00547082
          11     1.65121     1.66273  0.00509342
          12     1.67778     1.66399  0.00482098
          13     1.66129     1.66378  0.00445459
          14     1.67188     1.66436   0.0041738
          15     1.66914     1.66468  0.00390773
          16     1.67692     1.66544  0.00373765
          17       1.659     1.66506  0.00353695
          18     1.67404     1.66556  0.00337546
          19     1.64435     1.66444  0.00337743
          20     1.65288     1.66387  0.00325764
          21     1.63768     1.66262  0.00333258
          22     1.67581     1.66322  0.00323457
          23      1.6748     1.66372   0.0031329
          24     1.65857     1.66351  0.00300972
          25     1.67611     1.66401  0.00293126
          26     1.64891     1.66343  0.00287551
          27     1.65485     1.66311  0.00278651
          28     1.63391     1.66207  0.00287555
          29     1.67927     1.66266  0.00283692
          30     1.68254     1.66333  0.00281865
          31     1.66939     1.66352  0.00273451
          32     1.69689     1.66456  0.00284091
          33      1.6695     1.66471  0.00275876
          34     1.66722     1.66479   0.0026786
          35     1.66681     1.66485   0.0026027
          36     1.66081     1.66473  0.00253282
          37     1.66734      1.6648  0.00246535
          38     1.67031     1.66495  0.00240472
          39     1.66349     1.66491  0.00234336
          40     1.65867     1.66476  0.00228996
          41     1.68038     1.66514  0.00226561
          42     1.64675      1.6647  0.00225358
          43     1.68871     1.66526   0.0022693
          44     1.66081     1.66516  0.00221998
          45     1.67941     1.66547  0.00219314
          46     1.63764     1.66487  0.00222738
          47     1.68115     1.66521  0.00220676
          48     1.67867     1.66549  0.00217853
          49     1.66362     1.66546   0.0021344
          50     1.66009     1.66535  0.00209441
