#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.44319    -5.44319           0
           2    -5.43808    -5.44064  0.00180762
           3    -5.40541    -5.42889  0.00966394
           4    -5.45218    -5.43471  0.00882901
           5    -5.43406    -5.43458  0.00706419
           6    -5.44637    -5.43655  0.00615411
           7    -5.42821    -5.43536    0.005389
           8    -5.42799    -5.43444  0.00479349
           9    -5.47284     -5.4387  0.00585983
          10    -5.45694    -5.44053  0.00555045
          11     -5.4282    -5.43941  0.00515773
          12    -5.45397    -5.44062  0.00486857
          13    -5.43868    -5.44047  0.00449635
          14    -5.44687    -5.44093  0.00419834
          15    -5.44554    -5.44123  0.00392967
          16    -5.45387    -5.44202  0.00376254
          17    -5.43607    -5.44167   0.0035575
          18    -5.45131    -5.44221  0.00339991
          19    -5.42093    -5.44109  0.00340038
          20    -5.42931     -5.4405  0.00328095
          21    -5.41344    -5.43921  0.00336821
          22    -5.45199    -5.43979  0.00326481
          23    -5.45326    -5.44038  0.00317492
          24    -5.43398    -5.44011  0.00305381
          25    -5.45395    -5.44067  0.00298143
          26    -5.42603     -5.4401  0.00291942
          27    -5.43087    -5.43976  0.00283126
          28    -5.40956    -5.43868  0.00292838
          29    -5.45498    -5.43924  0.00288079
          30    -5.45991    -5.43993  0.00286593
          31    -5.44701    -5.44016  0.00278257
          32    -5.47436    -5.44123  0.00289363
          33     -5.4452    -5.44135  0.00280845
          34    -5.44365    -5.44142  0.00272666
          35    -5.44398    -5.44149  0.00264974
          36    -5.43696    -5.44137  0.00257913
          37    -5.44608    -5.44149  0.00251258
          38    -5.44761    -5.44165  0.00245161
          39       -5.44    -5.44161  0.00238912
          40    -5.43604    -5.44147  0.00233344
          41    -5.45818    -5.44188  0.00231183
          42    -5.42308    -5.44143  0.00229969
          43    -5.46731    -5.44203  0.00232362
          44    -5.43698    -5.44192  0.00227364
          45    -5.45702    -5.44225  0.00224775
          46    -5.41414    -5.44164  0.00228047
          47    -5.45864      -5.442  0.00226042
          48    -5.45671    -5.44231    0.002234
          49    -5.44069    -5.44228  0.00218865
          50    -5.43717    -5.44218  0.00214726
