#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.43513     1.43513           0
           2     1.45108      1.4431  0.00563991
           3     1.69665     1.52762   0.0691088
           4     1.39816     1.49525   0.0589251
           5     1.61683     1.51957   0.0519148
           6     1.59094     1.53146   0.0446045
           7     1.62107     1.54427   0.0400273
           8     1.59924     1.55114   0.0356088
           9     1.41842     1.53639   0.0345711
          10     1.36155     1.51891   0.0352592
          11     1.65702     1.53146   0.0342165
          12     1.47439     1.52671   0.0316939
          13     1.51672     1.52594   0.0292652
          14     1.52882     1.52614   0.0271756
          15     1.49535     1.52409   0.0254413
          16     1.40736      1.5168   0.0248753
          17      1.5498     1.51874   0.0234876
          18     1.51648     1.51861   0.0221831
          19     1.58877      1.5223   0.0213207
          20     1.59347     1.52586   0.0205494
          21     1.58413     1.52864   0.0197573
          22       1.412     1.52334   0.0195576
          23     1.41974     1.51883   0.0192189
          24     1.58548     1.52161   0.0186177
          25     1.40465     1.51693   0.0184514
          26      1.5153     1.51687   0.0177419
          27     1.55356     1.51823   0.0171367
          28     1.70084     1.52475   0.0177224
          29     1.45992     1.52251   0.0172517
          30     1.43568     1.51962   0.0169177
          31      1.4155     1.51626    0.016702
          32     1.34806       1.511    0.016987
          33     1.51016     1.51098   0.0164723
          34     1.44689     1.50909   0.0160953
          35     1.59139     1.51144   0.0158063
          36     1.48813      1.5108   0.0153805
          37     1.39784     1.50774   0.0152648
          38     1.57614     1.50954   0.0149688
          39     1.47908     1.50876   0.0146054
          40     1.50946     1.50878   0.0142402
          41     1.35573     1.50505   0.0143738
          42     1.52934     1.50563   0.0140432
          43     1.42407     1.50373   0.0138441
          44     1.54854     1.50475   0.0135669
          45     1.41848     1.50283   0.0134002
          46     1.62097      1.5054   0.0133527
          47     1.35216     1.50214   0.0134608
          48     1.41711     1.50037   0.0132964
          49     1.55197     1.50142   0.0130667
          50     1.54236     1.50224    0.012831
