#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.11115     1.11115           0
           2     1.10743     1.10929  0.00131735
           3     1.08554     1.10137  0.00652434
           4     1.11682     1.10524  0.00592716
           5     1.10639     1.10547  0.00474623
           6       1.114     1.10689   0.0041626
           7     1.10115     1.10607  0.00364787
           8     1.10099     1.10543  0.00324673
           9     1.13051     1.10822  0.00390222
          10     1.11859     1.10926  0.00364722
          11      1.1008     1.10849  0.00339561
          12     1.11852     1.10932  0.00321399
          13     1.10753     1.10919  0.00296973
          14     1.11458     1.10957  0.00278253
          15     1.11276     1.10978  0.00260515
          16     1.11795     1.11029  0.00249177
          17       1.106     1.11004  0.00235796
          18     1.11603     1.11037  0.00225031
          19     1.09623     1.10963  0.00225162
          20     1.10192     1.10924  0.00217176
          21     1.09179     1.10841  0.00222172
          22     1.11721     1.10881  0.00215638
          23     1.11654     1.10915   0.0020886
          24     1.10571     1.10901  0.00200648
          25     1.11741     1.10934  0.00195417
          26     1.09927     1.10895    0.001917
          27     1.10323     1.10874  0.00185767
          28     1.08927     1.10805  0.00191703
          29     1.11952     1.10844  0.00189128
          30     1.12169     1.10888   0.0018791
          31     1.11293     1.10901  0.00182301
          32     1.13126     1.10971  0.00189394
          33       1.113     1.10981  0.00183917
          34     1.11148     1.10986  0.00178574
          35     1.11121      1.1099  0.00173513
          36      1.1072     1.10982  0.00168854
          37     1.11156     1.10987  0.00164356
          38     1.11354     1.10997  0.00160315
          39     1.10899     1.10994  0.00156224
          40     1.10578     1.10984  0.00152664
          41     1.12026     1.11009  0.00151041
          42     1.09783      1.1098  0.00150239
          43     1.12581     1.11017  0.00151287
          44     1.10721      1.1101  0.00147998
          45     1.11961     1.11032  0.00146209
          46     1.09176     1.10991  0.00148492
          47     1.12077     1.11014  0.00147118
          48     1.11911     1.11033  0.00145235
          49     1.10908      1.1103  0.00142293
          50     1.10672     1.11023  0.00139627
