#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77646    -3.77646           0
           2    -3.77694     -3.7767   0.0001684
           3     -3.7771    -3.77683 0.000156431
           4    -3.77695    -3.77686 0.000119868
           5    -3.77447    -3.77638 0.000438255
           6    -3.77538    -3.77622 0.000395728
           7    -3.77649    -3.77626 0.000341134
           8    -3.77651    -3.77629 0.000299944
           9    -3.77708    -3.77637 0.000279238
          10    -3.77906    -3.77664 0.000357662
          11    -3.77699    -3.77667 0.000326571
          12    -3.77618    -3.77663  0.00030192
          13    -3.77739    -3.77669 0.000284296
          14    -3.77499    -3.77657 0.000288768
          15    -3.77639    -3.77656 0.000269763
          16    -3.77695    -3.77658    0.000254
          17    -3.77707    -3.77661 0.000240647
          18    -3.77727    -3.77665 0.000230012
          19    -3.77659    -3.77664 0.000217929
          20    -3.77643    -3.77663 0.000207302
          21    -3.77576    -3.77659 0.000201565
          22    -3.77618    -3.77657 0.000193262
          23    -3.77846    -3.77666 0.000201433
          24    -3.77541     -3.7766 0.000199572
          25    -3.77784    -3.77665 0.000197649
          26    -3.77712    -3.77667 0.000190864
          27    -3.77602    -3.77665 0.000185323
          28    -3.77565    -3.77661 0.000182096
          29     -3.7757    -3.77658 0.000178496
          30    -3.77737    -3.77661 0.000174471
          31    -3.77762    -3.77664 0.000171894
          32    -3.77748    -3.77667 0.000168502
          33     -3.7757    -3.77664 0.000165915
          34    -3.77643    -3.77663 0.000161148
          35    -3.77717    -3.77665 0.000157275
          36    -3.77615    -3.77663 0.000153505
          37    -3.77874    -3.77669 0.000159582
          38     -3.7773     -3.7767 0.000156196
          39    -3.77652     -3.7767 0.000152266
          40    -3.77737    -3.77672 0.000149382
          41    -3.77779    -3.77674 0.000148032
          42    -3.77634    -3.77673 0.000144824
          43     -3.7786    -3.77678 0.000147806
          44    -3.77617    -3.77676 0.000145085
          45    -3.77761    -3.77678 0.000143066
          46     -3.7765    -3.77678 0.000140084
          47    -3.77749    -3.77679 0.000137918
          48    -3.77804    -3.77682 0.000137476
          49    -3.77707    -3.77682 0.000134767
          50    -3.77709    -3.77683 0.000132177
