#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.416721   -0.416721           0
           2   -0.407672   -0.412196  0.00319947
           3   -0.416637   -0.413677  0.00245164
           4   -0.354904   -0.398984   0.0128568
           5   -0.376801   -0.394547   0.0110243
           6   -0.319957   -0.382115    0.014601
           7   -0.303544   -0.370891   0.0162671
           8   -0.410646    -0.37586   0.0149735
           9   -0.367989   -0.374986   0.0133353
          10   -0.442255   -0.381713    0.013593
          11   -0.457303   -0.388585   0.0139868
          12   -0.367579   -0.386834   0.0129303
          13   -0.426336   -0.389873   0.0122875
          14   -0.477523   -0.396133   0.0129067
          15   -0.428782    -0.39831   0.0122284
          16   -0.410805   -0.399091    0.011489
          17   -0.430945   -0.400965   0.0109649
          18   -0.394594   -0.400611   0.0103615
          19    -0.43901   -0.402632   0.0100113
          20    -0.44879    -0.40494  0.00977314
          21   -0.479233   -0.408477  0.00992744
          22   -0.389775   -0.407627  0.00951252
          23   -0.386702   -0.406718  0.00914234
          24   -0.343807   -0.404096  0.00912946
          25   -0.365233   -0.402542  0.00889565
          26   -0.383895   -0.401825  0.00858237
          27   -0.378912   -0.400976  0.00830635
          28   -0.393621   -0.400713  0.00801385
          29   -0.386849   -0.400235  0.00775176
          30   -0.382174   -0.399633  0.00751671
          31   -0.398057   -0.399582   0.0072744
          32    -0.44704   -0.401065  0.00719667
          33    -0.42281   -0.401724  0.00700869
          34   -0.462263   -0.403505  0.00702509
          35   -0.463105   -0.405208  0.00702772
          36   -0.464158   -0.406845   0.0070207
          37   -0.450946   -0.408037  0.00693138
          38   -0.467783   -0.409609    0.006925
          39   -0.499579   -0.411916  0.00712133
          40   -0.520024   -0.414619   0.0074385
          41    -0.45512   -0.415607  0.00732237
          42   -0.404667   -0.415346  0.00715266
          43   -0.494054   -0.417177  0.00721673
          44   -0.428912   -0.417443  0.00705764
          45   -0.412404   -0.417331  0.00690169
          46   -0.442657   -0.417882  0.00677358
          47   -0.476736   -0.419134  0.00674421
          48   -0.424351   -0.419243  0.00660458
          49   -0.481099   -0.420505  0.00658933
          50   -0.452492   -0.421145  0.00648853
          51   -0.464803   -0.422001  0.00641752
          52   -0.459974   -0.422731  0.00633552
          53    -0.40639   -0.422423  0.00622348
          54   -0.464636   -0.423205  0.00615713
          55   -0.427811   -0.423288  0.00604575
          56   -0.470297   -0.424128  0.00599578
          57   -0.489022   -0.425266  0.00599771
          58   -0.336634   -0.423738  0.00608587
          59   -0.477556    -0.42465  0.00605069
          60   -0.390298   -0.424078  0.00597687
          61   -0.371355   -0.423214  0.00594105
          62   -0.447381   -0.423603    0.005858
          63   -0.456074   -0.424119  0.00578765
          64   -0.435344   -0.424294  0.00569987
          65   -0.450567   -0.424698   0.0056265
          66   -0.509705   -0.425986  0.00568675
          67   -0.466626   -0.426593  0.00563413
          68    -0.41484    -0.42642  0.00555393
          69   -0.374868   -0.425673  0.00552346
          70   -0.424856   -0.425661  0.00544457
          71   -0.444948   -0.425933  0.00537466
          72   -0.404754   -0.425639  0.00530805
          73   -0.387545   -0.425117  0.00526093
          74   -0.419881   -0.425046  0.00519031
          75   -0.445941   -0.425325  0.00512858
          76   -0.416134   -0.425204  0.00506252
          77   -0.396826   -0.424835  0.00501017
          78   -0.389968   -0.424388  0.00496584
          79   -0.432112   -0.424486  0.00490394
          80   -0.424147   -0.424482  0.00484264
          81   -0.433094   -0.424588  0.00478403
          82   -0.449966   -0.424898  0.00473568
          83   -0.388675   -0.424461  0.00469869
          84    -0.39278   -0.424084  0.00465787
          85   -0.326611   -0.422937  0.00474213
          86   -0.382867   -0.422471  0.00470982
          87   -0.408548   -0.422311  0.00465841
          88    -0.42206   -0.422308  0.00460547
          89    -0.36895   -0.421709  0.00459258
          90   -0.354164   -0.420958  0.00460247
          91   -0.472419   -0.421524   0.0045865
          92    -0.52819   -0.422683   0.0046809
          93   -0.482937   -0.423331  0.00467519
          94   -0.491109   -0.424052  0.00468072
          95   -0.500108   -0.424853  0.00469942
          96   -0.500234   -0.425638  0.00471561
          97   -0.508555   -0.426493  0.00474384
          98   -0.511592   -0.427361  0.00477425
          99   -0.419343    -0.42728  0.00472671
         100   -0.421608   -0.427224  0.00467978
         101   -0.386236   -0.426818  0.00465101
         102   -0.397437    -0.42653  0.00461432
         103   -0.409556   -0.426365  0.00457247
         104   -0.383367   -0.425951  0.00454715
         105   -0.371485   -0.425433  0.00453334
         106   -0.375524   -0.424962  0.00451496
         107   -0.399949   -0.424728  0.00447881
         108   -0.368374   -0.424206  0.00446763
         109   -0.369646   -0.423706  0.00445459
         110   -0.318983   -0.422754  0.00451468
         111   -0.292877   -0.421584  0.00462315
         112   -0.296147   -0.420464  0.00471558
         113   -0.335589   -0.419713  0.00473329
         114   -0.335686   -0.418976  0.00474881
         115   -0.358779   -0.418452  0.00473628
         116   -0.394289   -0.418244  0.00470002
         117    -0.37873   -0.417906  0.00467197
         118    -0.32304   -0.417102  0.00470104
         119   -0.327686   -0.416351   0.0047212
         120   -0.338572   -0.415703  0.00472614
         121   -0.333133    -0.41502  0.00473609
         122   -0.344132   -0.414439  0.00473278
         123    -0.37835   -0.414146  0.00470339
         124   -0.418858   -0.414184  0.00466561
         125   -0.391764   -0.414004  0.00463173
         126   -0.330471   -0.413341  0.00464218
         127   -0.396905   -0.413212  0.00460743
         128   -0.329865   -0.412561  0.00461721
         129   -0.342954   -0.412021  0.00461284
         130   -0.437114   -0.412214   0.0045814
         131   -0.454556   -0.412537  0.00455781
         132   -0.384067   -0.412322  0.00452838
         133   -0.456913   -0.412657  0.00450673
         134   -0.441463   -0.412872  0.00447822
         135    -0.43233   -0.413016  0.00444737
         136   -0.503333    -0.41368  0.00446397
         137   -0.521947   -0.414471   0.0045008
         138   -0.463068   -0.414823  0.00448194
         139   -0.424661   -0.414893  0.00445025
         140    -0.38574   -0.414685  0.00442334
         141   -0.382427   -0.414456  0.00439788
         142   -0.386839   -0.414262  0.00437121
         143   -0.426637   -0.414348  0.00434149
         144   -0.471216   -0.414743  0.00432927
         145   -0.433037    -0.41487  0.00430125
         146   -0.455765    -0.41515   0.0042809
         147   -0.372866   -0.414862  0.00426143
         148   -0.344478   -0.414386  0.00425909
         149   -0.348644   -0.413945   0.0042533
         150   -0.412841   -0.413938  0.00422495
         151   -0.390907   -0.413785  0.00419972
         152   -0.447349   -0.414006  0.00417789
         153   -0.395404   -0.413885  0.00415236
         154   -0.465546    -0.41422  0.00413892
         155   -0.502079   -0.414787  0.00415085
         156   -0.480245   -0.415206   0.0041454
         157   -0.491902   -0.415695  0.00414768
         158   -0.458404   -0.415965  0.00413023
         159   -0.506879   -0.416537  0.00414364
         160   -0.506954   -0.417102   0.0041561
         161   -0.465606   -0.417403  0.00414119
         162     -0.4465   -0.417583  0.00411952
         163   -0.475028   -0.417935  0.00410929
         164   -0.539435   -0.418676  0.00415048
         165   -0.423585   -0.418706  0.00412543
         166   -0.452482    -0.41891  0.00410559
         167   -0.418157   -0.418905  0.00408101
         168   -0.421086   -0.418918  0.00405674
         169   -0.435952   -0.419019  0.00403399
         170   -0.380735   -0.418794  0.00401654
         171   -0.453108   -0.418994  0.00399806
         172   -0.405529   -0.418916  0.00397558
         173    -0.38243   -0.418705  0.00395819
         174   -0.447491   -0.418871   0.0039389
         175   -0.550703   -0.419624  0.00398778
         176   -0.497975   -0.420069  0.00398989
         177   -0.398923    -0.41995  0.00396914
         178   -0.411173     -0.4199  0.00394715
         179   -0.378567   -0.419669  0.00393185
         180    -0.34395   -0.419249  0.00393244
         181   -0.409458   -0.419195  0.00391109
         182   -0.397715   -0.419077  0.00389138
         183   -0.355776   -0.418731  0.00388546
         184    -0.39104    -0.41858  0.00386725
         185   -0.351093   -0.418215  0.00386352
         186   -0.370262   -0.417958  0.00385134
         187   -0.365672   -0.417678  0.00384088
         188    -0.37783   -0.417466  0.00382629
         189     -0.4295    -0.41753  0.00380658
         190   -0.368781   -0.417273  0.00379518
         191   -0.414195   -0.417257  0.00377534
         192   -0.465127   -0.417506   0.0037639
         193   -0.452789   -0.417689  0.00374884
         194   -0.371467   -0.417451  0.00373708
         195   -0.436228   -0.417547  0.00371915
         196   -0.441507   -0.417669  0.00370219
         197    -0.50904   -0.418133  0.00371233
         198   -0.483363   -0.418463  0.00370817
         199   -0.489828   -0.418821  0.00370684
         200   -0.433036   -0.418892  0.00368899
         201    -0.40908   -0.418844  0.00367096
         202   -0.399028   -0.418745  0.00365409
         203   -0.402136   -0.418664  0.00363701
         204   -0.417917    -0.41866  0.00361918
         205   -0.336307   -0.418258  0.00362375
         206   -0.396481   -0.418153  0.00360771
         207   -0.378707   -0.417962  0.00359531
         208    -0.37357   -0.417749  0.00358435
         209   -0.386117   -0.417597  0.00357039
         210   -0.369348   -0.417367  0.00356078
         211   -0.381288   -0.417196    0.003548
         212   -0.447665    -0.41734  0.00353418
         213   -0.428517   -0.417393  0.00351798
         214   -0.395376    -0.41729  0.00350304
         215   -0.421952   -0.417311  0.00348681
         216   -0.431539   -0.417377  0.00347129
         217   -0.412958   -0.417357  0.00345536
         218   -0.427068   -0.417401  0.00343979
         219   -0.368515   -0.417178  0.00343132
         220    -0.44844    -0.41732  0.00341867
         221   -0.365348   -0.417085  0.00341128
         222   -0.353797     -0.4168   0.0034078
         223   -0.394193   -0.416699  0.00339403
         224    -0.32979   -0.416311  0.00340098
         225   -0.378682   -0.416144  0.00338997
         226   -0.411835   -0.416124  0.00337503
         227   -0.385173   -0.415988  0.00336291
