#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.26133    -5.26133           0
           2    -5.32172    -5.29153   0.0213526
           3    -5.37135    -5.31813   0.0259727
           4    -5.34674    -5.32528   0.0204402
           5    -5.45435     -5.3511   0.0282919
           6    -5.54435     -5.3833   0.0376876
           7    -5.46661    -5.39521   0.0341309
           8    -5.35214    -5.38982   0.0302861
           9     -5.3952    -5.39042   0.0269269
          10    -5.39039    -5.39042   0.0242342
          11    -5.45007    -5.39584   0.0226297
          12    -5.47568    -5.40249   0.0217001
          13    -5.56589    -5.41506   0.0233893
          14     -5.5426    -5.42417   0.0234255
          15    -5.51567    -5.43027   0.0226441
          16    -5.51318    -5.43545   0.0218137
          17    -5.61234    -5.44586    0.022878
          18    -5.47658    -5.44757   0.0216706
          19     -5.3478    -5.44231   0.0211566
          20       -5.52     -5.4462   0.0204523
          21    -5.51244    -5.44935   0.0197201
          22    -5.55094    -5.45397   0.0193568
          23    -5.57393    -5.45919    0.019205
          24    -5.52868    -5.46208   0.0186218
          25    -5.45916    -5.46197   0.0178773
          26    -5.46266    -5.46199   0.0171898
          27    -5.48328    -5.46278   0.0165712
          28     -5.5022    -5.46419    0.016039
          29    -5.47685    -5.46462   0.0154919
          30    -5.43013    -5.46347   0.0150181
          31     -5.3078    -5.45845   0.0153503
          32    -5.37407    -5.45582   0.0150954
          33     -5.4293    -5.45501   0.0146593
          34    -5.37624     -5.4527   0.0144101
          35    -5.40696    -5.45139   0.0140575
          36    -5.34017     -5.4483   0.0140024
          37    -5.35187    -5.44569   0.0138644
          38     -5.3741    -5.44381   0.0136269
          39    -5.37574    -5.44206   0.0133888
          40    -5.37116    -5.44029   0.0131709
          41    -5.40278    -5.43938   0.0128814
          42    -5.36448    -5.43759   0.0126975
          43    -5.30596    -5.43453   0.0127659
          44    -5.34317    -5.43246   0.0126435
          45    -5.39876    -5.43171   0.0123847
          46    -5.36171    -5.43018   0.0122086
          47    -5.37828    -5.42908   0.0119987
          48    -5.37081    -5.42787     0.01181
          49    -5.31264    -5.42552   0.0118007
          50    -5.26104    -5.42223   0.0120145
          51    -5.25947    -5.41903   0.0121954
          52    -5.39525    -5.41858   0.0119694
          53    -5.40452    -5.41831   0.0117465
          54    -5.35112    -5.41707   0.0115947
          55    -5.30859     -5.4151   0.0115504
          56    -5.31204    -5.41326   0.0114898
          57    -5.34404    -5.41204   0.0113522
          58     -5.2854    -5.40986   0.0113645
          59     -5.2812    -5.40768   0.0113792
          60    -5.34943    -5.40671   0.0112309
          61    -5.33908     -5.4056   0.0111013
          62    -5.40747    -5.40563   0.0109223
          63    -5.30524    -5.40403   0.0108645
          64    -5.45293     -5.4048   0.0107216
          65    -5.52093    -5.40658   0.0107045
          66    -5.53379    -5.40851   0.0107144
          67    -5.57077    -5.41093   0.0108247
          68    -5.44938     -5.4115   0.0106803
          69    -5.41703    -5.41158   0.0105258
          70     -5.4346    -5.41191   0.0103806
          71     -5.3921    -5.41163   0.0102381
          72    -5.39051    -5.41134   0.0101001
          73    -5.37722    -5.41087  0.00997259
          74    -5.45722    -5.41149  0.00985748
          75    -5.48962    -5.41254  0.00978093
          76    -5.43373    -5.41282  0.00965621
          77    -5.46553     -5.4135  0.00955504
          78    -5.44418    -5.41389  0.00944063
          79    -5.36656    -5.41329  0.00934012
          80    -5.36614     -5.4127  0.00924195
          81    -5.39483    -5.41248  0.00913049
          82    -5.44386    -5.41287  0.00902715
          83    -5.47639    -5.41363  0.00895078
          84    -5.40767    -5.41356   0.0088445
          85    -5.40767    -5.41349  0.00874072
          86    -5.33898    -5.41263  0.00868193
          87    -5.33988    -5.41179   0.0086223
          88    -5.36692    -5.41128  0.00853939
          89    -5.42921    -5.41148  0.00844582
          90    -5.51701    -5.41265  0.00843298
          91    -5.40378    -5.41256  0.00834087
          92    -5.45316      -5.413  0.00826188
          93    -5.46526    -5.41356  0.00819213
          94    -5.58682     -5.4154  0.00830976
          95    -5.48384    -5.41612  0.00825346
          96    -5.45244     -5.4165  0.00817615
          97    -5.34256    -5.41574  0.00812731
          98     -5.4621    -5.41621  0.00805814
          99    -5.44262    -5.41648  0.00798116
         100    -5.45808    -5.41689  0.00791218
         101    -5.40305    -5.41676  0.00783503
         102    -5.33545    -5.41596  0.00779865
         103    -5.36616    -5.41548  0.00773791
         104     -5.3596    -5.41494  0.00768214
         105    -5.31454    -5.41398  0.00766826
