#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.52527    -7.52527           0
           2     -7.5672    -7.54624   0.0148259
           3    -7.63595    -7.57614   0.0263412
           4    -7.57568    -7.57602   0.0197562
           5    -7.54983    -7.57079   0.0164847
           6    -7.56695    -7.57015   0.0137497
           7     -7.5524    -7.56761   0.0120169
           8    -7.52706    -7.56254   0.0115347
           9    -7.54322    -7.56039   0.0104509
          10    -7.50998    -7.55535   0.0105519
          11    -7.49153    -7.54955   0.0110735
          12    -7.52708    -7.54768   0.0103078
          13    -7.59114    -7.55102   0.0100424
          14    -7.55812    -7.55153  0.00933789
          15    -7.55985    -7.55208  0.00873184
          16    -7.42565    -7.54418   0.0112052
          17      -7.501    -7.54164   0.0108302
          18    -7.46985    -7.53765   0.0109384
          19    -7.41925    -7.53142   0.0120072
          20    -7.39841    -7.52477   0.0131199
          21    -7.37272    -7.51753   0.0143546
          22     -7.3789    -7.51123   0.0150216
          23    -7.40303    -7.50652   0.0150872
          24    -7.47294    -7.50513   0.0145233
          25    -7.50941     -7.5053   0.0139434
          26    -7.45249    -7.50327   0.0135542
          27    -7.40667    -7.49969   0.0135162
          28    -7.43401    -7.49734   0.0132354
          29    -7.39118    -7.49368   0.0132756
          30    -7.31382    -7.48769   0.0141221
          31    -7.34576    -7.48311   0.0143895
          32    -7.41868     -7.4811     0.01408
          33     -7.5117    -7.48202   0.0136838
          34    -7.57003    -7.48461   0.0135239
          35    -7.55177    -7.48653    0.013273
          36    -7.55161    -7.48834   0.0130268
          37    -7.60143    -7.49139   0.0130284
          38    -7.49757    -7.49156   0.0126865
          39    -7.46673    -7.49092   0.0123772
          40    -7.48184    -7.49069   0.0120699
          41    -7.43458    -7.48932   0.0118528
          42    -7.42682    -7.48784   0.0116637
          43    -7.33584     -7.4843    0.011916
          44    -7.37606    -7.48184   0.0118964
          45    -7.42807    -7.48065   0.0116919
          46    -7.46953     -7.4804   0.0114403
          47    -7.48962     -7.4806   0.0111985
          48    -7.55937    -7.48224   0.0110848
          49    -7.56373     -7.4839   0.0109827
          50    -7.52514    -7.48473   0.0107939
          51    -7.57403    -7.48648   0.0107233
          52    -7.54625    -7.48763   0.0105785
          53     -7.5348    -7.48852   0.0104163
          54    -7.57848    -7.49019   0.0103558
          55    -7.55649    -7.49139   0.0102374
          56    -7.56693    -7.49274   0.0101431
          57    -7.51444    -7.49312   0.0099723
          58    -7.53569    -7.49385  0.00982734
          59    -7.58507     -7.4954  0.00978162
          60    -7.64956    -7.49797  0.00995031
          61    -7.62651    -7.50008   0.0100078
          62    -7.71836     -7.5036   0.0104474
          63    -7.65196    -7.50595   0.0105436
          64    -7.72506    -7.50938   0.0109205
          65    -7.67305    -7.51189    0.011039
          66    -7.71118    -7.51491   0.0112772
          67    -7.66684    -7.51718   0.0113345
          68    -7.68343    -7.51963   0.0114285
          69      -7.686    -7.52204   0.0115144
          70    -7.66539    -7.52409   0.0115306
          71    -7.63099    -7.52559   0.0114661
          72    -7.58728    -7.52645   0.0113388
          73     -7.5316    -7.52652   0.0111837
          74    -7.53892    -7.52669   0.0110338
          75    -7.46685    -7.52589   0.0109155
          76    -7.43664    -7.52471   0.0108349
          77     -7.5088    -7.52451   0.0106961
          78    -7.45787    -7.52365    0.010593
          79    -7.47941    -7.52309   0.0104737
          80    -7.46899    -7.52242   0.0103646
          81    -7.42046    -7.52116   0.0103128
          82    -7.43586    -7.52012   0.0102394
          83    -7.37751     -7.5184   0.0102592
          84    -7.37622    -7.51671   0.0102757
          85     -7.4975    -7.51648   0.0101573
          86    -7.51059    -7.51641   0.0100394
          87    -7.60306    -7.51741  0.00997333
          88    -7.59061    -7.51824  0.00989463
          89    -7.62154     -7.5194  0.00985129
          90    -7.49667    -7.51915  0.00974507
          91    -7.50759    -7.51902  0.00963881
          92     -7.5941    -7.51984  0.00956852
          93    -7.59128    -7.52061  0.00949642
          94    -7.55262    -7.52095   0.0094015
          95    -7.57409    -7.52151  0.00931917
          96    -7.49629    -7.52124   0.0092258
          97    -7.46561    -7.52067   0.0091485
          98    -7.52678    -7.52073  0.00905536
          99    -7.49426    -7.52046  0.00896784
         100    -7.47554    -7.52002   0.0088894
         101    -7.49594    -7.51978  0.00880458
         102    -7.49519    -7.51954  0.00872156
         103    -7.46913    -7.51905   0.0086506
         104    -7.40896    -7.51799  0.00863194
         105    -7.43283    -7.51718  0.00858775
         106    -7.50818    -7.51709  0.00850716
         107    -7.54802    -7.51738  0.00843256
         108    -7.51585    -7.51737  0.00835449
         109    -7.51016     -7.5173  0.00827811
         110    -7.49586    -7.51711  0.00820514
         111    -7.54619    -7.51737  0.00813541
         112    -7.62298    -7.51831  0.00811724
         113     -7.6879    -7.51981  0.00818297
         114    -7.69141    -7.52132  0.00824848
         115    -7.60201    -7.52202  0.00820654
         116    -7.57553    -7.52248  0.00814875
         117    -7.62671    -7.52337  0.00812766
         118    -7.57477    -7.52381  0.00807044
         119    -7.61137    -7.52454  0.00803609
         120    -7.63088    -7.52543  0.00801784
         121    -7.67075    -7.52663  0.00804103
         122    -7.65136    -7.52765  0.00803985
         123    -7.64937    -7.52864  0.00803516
         124    -7.64641    -7.52959  0.00802629
         125    -7.67106    -7.53072  0.00804148
         126    -7.59491    -7.53123  0.00799378
         127    -7.72647    -7.53277   0.0080773
         128    -7.72071    -7.53424  0.00814655
         129    -7.69352    -7.53547  0.00817644
         130    -7.68774    -7.53664  0.00819701
         131    -7.68024    -7.53774  0.00820741
         132    -7.63343    -7.53847  0.00817718
         133    -7.59938    -7.53892  0.00812852
         134    -7.56779    -7.53914  0.00807071
         135    -7.52662    -7.53905  0.00801146
         136     -7.4483    -7.53838  0.00798029
         137    -7.48925    -7.53802  0.00793009
         138    -7.51004    -7.53782  0.00787522
         139    -7.62084    -7.53841  0.00784118
         140    -7.63412     -7.5391  0.00781491
         141    -7.68588    -7.54014  0.00782852
         142    -7.60654    -7.54061  0.00778734
         143    -7.63977     -7.5413   0.0077637
         144    -7.53449    -7.54125  0.00770993
         145    -7.60692    -7.54171  0.00767005
         146    -7.58195    -7.54198  0.00762246
         147    -7.58266    -7.54226  0.00757563
         148    -7.54778     -7.5423  0.00752454
         149    -7.51426    -7.54211  0.00747639
         150    -7.51132     -7.5419  0.00742936
         151    -7.49992    -7.54162  0.00738536
         152    -7.40733    -7.54074  0.00738943
         153    -7.42463    -7.53998     0.00738
         154    -7.39338    -7.53903  0.00739322
         155    -7.45754     -7.5385  0.00736419
         156    -7.40348    -7.53764  0.00736767
         157    -7.46778    -7.53719  0.00733417
         158    -7.45065    -7.53665  0.00730818
         159    -7.50721    -7.53646  0.00726456
         160    -7.53361    -7.53644  0.00721918
         161    -7.53809    -7.53645  0.00717434
         162    -7.56284    -7.53662  0.00713191
         163    -7.47561    -7.53624  0.00709797
         164     -7.5055    -7.53605  0.00705716
         165    -7.54179    -7.53609  0.00701448
         166    -7.59339    -7.53643  0.00698071
         167    -7.64188    -7.53707   0.0069674
         168     -7.6194    -7.53756  0.00694314
         169    -7.57917     -7.5378  0.00690643
         170    -7.57698    -7.53803  0.00686964
         171    -7.46987    -7.53763  0.00684103
         172    -7.45066    -7.53713  0.00681992
         173    -7.40264    -7.53635  0.00682466
         174    -7.26241    -7.53478  0.00696467
         175    -7.22629    -7.53301  0.00714448
         176    -7.37329    -7.53211  0.00716129
         177     -7.3842    -7.53127  0.00716941
         178    -7.49604    -7.53107  0.00713187
         179    -7.45529    -7.53065  0.00710458
         180    -7.53105    -7.53065  0.00706511
         181    -7.53176    -7.53066  0.00702608
         182    -7.47788    -7.53037  0.00699346
         183    -7.39216    -7.52961   0.0069959
         184    -7.47428    -7.52931  0.00696434
         185    -7.56275    -7.52949  0.00692904
         186     -7.4162    -7.52888  0.00691851
         187    -7.45953    -7.52851  0.00689144
         188    -7.46882    -7.52819   0.0068621
         189    -7.50502    -7.52807  0.00682689
         190    -7.46462    -7.52774  0.00679912
         191    -7.59932    -7.52811  0.00677384
         192    -7.47104    -7.52782  0.00674508
         193    -7.55932    -7.52798  0.00671211
         194    -7.57543    -7.52822  0.00668196
         195    -7.54157    -7.52829  0.00664805
         196    -7.48346    -7.52806  0.00661806
         197    -7.48534    -7.52785  0.00658802
         198    -7.47748    -7.52759  0.00655966
         199    -7.48796    -7.52739  0.00652972
         200    -7.53757    -7.52744  0.00649727
         201    -7.55185    -7.52757  0.00646608
         202    -7.56668    -7.52776  0.00643696
         203    -7.57667      -7.528  0.00640976
         204    -7.57849    -7.52825  0.00638312
         205    -7.61667    -7.52868  0.00636654
         206    -7.57667    -7.52891  0.00633989
         207    -7.59704    -7.52924   0.0063178
         208    -7.53001    -7.52924  0.00628743
         209    -7.51231    -7.52916  0.00625787
         210    -7.52612    -7.52915  0.00622809
         211    -7.52133    -7.52911  0.00619868
         212    -7.43971    -7.52869  0.00618377
         213    -7.49622    -7.52854  0.00615661
         214    -7.54553    -7.52862  0.00612836
         215    -7.59591    -7.52893  0.00610784
         216     -7.7061    -7.52975  0.00613439
         217    -7.66897    -7.53039  0.00613958
         218    -7.63192    -7.53086  0.00612906
         219    -7.59524    -7.53115  0.00610812
         220    -7.59333    -7.53143  0.00608689
         221    -7.56007    -7.53156  0.00606072
         222    -7.56123     -7.5317   0.0060349
         223    -7.54918    -7.53178  0.00600834
         224    -7.61365    -7.53214  0.00599263
         225    -7.58582    -7.53238  0.00597074
         226    -7.50682    -7.53227  0.00594539
         227    -7.51913    -7.53221  0.00591948
         228    -7.51074    -7.53211  0.00589427
         229    -7.43224    -7.53168  0.00588464
         230    -7.44589    -7.53131  0.00587087
         231    -7.48799    -7.53112  0.00584844
         232    -7.56088    -7.53125  0.00582464
         233    -7.60819    -7.53158    0.005809
         234     -7.6044    -7.53189   0.0057925
         235     -7.6017    -7.53218  0.00577546
         236    -7.51247     -7.5321   0.0057516
         237    -7.48784    -7.53191  0.00573036
         238    -7.50746    -7.53181   0.0057072
         239    -7.47548    -7.53158  0.00568819
         240    -7.44533    -7.53122  0.00567583
