#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.327301   -0.327301           0
           2   -0.326619    -0.32696 0.000241266
           3   -0.325935   -0.326618 0.000321961
           4   -0.325249   -0.326276  0.00038237
           5   -0.324556   -0.325932 0.000433831
           6   -0.323867   -0.325588 0.000478922
           7   -0.323179   -0.325244 0.000519657
           8   -0.322493     -0.3249 0.000556935
           9    -0.32181   -0.324556 0.000591497
          10   -0.321124   -0.324213  0.00062404
          11   -0.320442    -0.32387 0.000654743
          12   -0.319767   -0.323528 0.000683671
          13   -0.319099   -0.323188  0.00071092
          14   -0.318436   -0.322848  0.00073673
          15   -0.317776    -0.32251 0.000761264
          16    -0.31713   -0.322174 0.000784455
          17   -0.316491    -0.32184 0.000806395
          18   -0.315862   -0.321507 0.000827159
          19   -0.315242   -0.321178 0.000846806
          20   -0.314633   -0.320851 0.000865386
          21    -0.31403   -0.320526 0.000883019
          22   -0.313439   -0.320204  0.00089972
          23   -0.312862   -0.319884 0.000915472
          24   -0.312298   -0.319568 0.000930299
          25   -0.311749   -0.319256 0.000944199
          26   -0.311214   -0.318946   0.0009572
          27   -0.310688    -0.31864 0.000969387
          28   -0.310181   -0.318338 0.000980721
          29   -0.309683    -0.31804 0.000991278
          30     -0.3092   -0.317745  0.00100107
          31   -0.308734   -0.317454   0.0010101
          32   -0.308284   -0.317168  0.00101838
          33   -0.307846   -0.316885  0.00102594
          34   -0.307424   -0.316607  0.00103282
          35   -0.307021   -0.316333  0.00103899
          36    -0.30663   -0.316064  0.00104451
          37   -0.306256   -0.315799  0.00104937
          38     -0.3059   -0.315538  0.00105359
          39    -0.30556   -0.315282  0.00105719
          40   -0.305235   -0.315031  0.00106018
          41   -0.304922   -0.314785   0.0010626
          42   -0.304623   -0.314543  0.00106449
          43   -0.304341   -0.314305  0.00106585
          44   -0.304074   -0.314073  0.00106669
          45   -0.303824   -0.313845  0.00106702
          46   -0.303588   -0.313622  0.00106687
          47   -0.303365   -0.313404  0.00106626
          48   -0.303153    -0.31319  0.00106521
          49   -0.302958   -0.312981  0.00106374
          50   -0.302779   -0.312777  0.00106186
          51   -0.302614   -0.312578  0.00105957
          52   -0.302457   -0.312384  0.00105692
          53   -0.302315   -0.312194  0.00105391
          54   -0.302184   -0.312008  0.00105057
          55   -0.302071   -0.311828  0.00104689
          56   -0.301969   -0.311651  0.00104289
          57   -0.301873    -0.31148  0.00103861
          58    -0.30179   -0.311313  0.00103405
          59   -0.301724    -0.31115  0.00102922
