#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.31952    -5.31952           0
           2    -5.31996    -5.31974 0.000155744
           3    -5.32047    -5.31998 0.000222349
           4    -5.32117    -5.32028  0.00030527
           5    -5.32205    -5.32063 0.000399644
           6    -5.32235    -5.32092 0.000422959
           7    -5.32386    -5.32134   0.0005321
           8    -5.32508    -5.32181 0.000638591
           9    -5.32659    -5.32234 0.000756823
          10    -5.32853    -5.32296 0.000899518
          11    -5.33015    -5.32361  0.00102847
          12    -5.33205    -5.32431  0.00115858
          13    -5.33347    -5.32502  0.00126554
          14    -5.33562    -5.32578  0.00138308
          15    -5.33788    -5.32658  0.00150803
          16    -5.33982    -5.32741   0.0016248
          17    -5.34202    -5.32827  0.00174187
          18    -5.34436    -5.32916  0.00186035
          19    -5.34712    -5.33011  0.00198803
          20    -5.35015    -5.33111  0.00212633
          21    -5.35332    -5.33217  0.00227282
          22    -5.35721    -5.33331  0.00243788
          23    -5.36047    -5.33449  0.00260226
          24     -5.3637     -5.3357   0.0027639
          25    -5.36706    -5.33696  0.00292402
          26    -5.37098    -5.33827  0.00309048
          27    -5.37471    -5.33962  0.00325749
          28    -5.37856    -5.34101  0.00342516
          29    -5.38205    -5.34242  0.00358748
          30    -5.38623    -5.34388  0.00375339
          31     -5.3902    -5.34538  0.00391847
          32     -5.3944    -5.34691  0.00408448
          33     -5.3988    -5.34848  0.00425266
          34    -5.40356     -5.3501  0.00442539
          35     -5.4082    -5.35176  0.00459979
          36    -5.41241    -5.35345  0.00477059
          37    -5.41663    -5.35515  0.00493782
          38    -5.42038    -5.35687   0.0050975
          39    -5.42456    -5.35861  0.00525396
          40    -5.42854    -5.36035  0.00540571
          41    -5.43277    -5.36212  0.00555491
          42    -5.43753    -5.36392  0.00570541
          43    -5.44159    -5.36572  0.00585169
          44    -5.44555    -5.36754  0.00599333
          45    -5.44953    -5.36936  0.00613089
          46    -5.45339    -5.37119  0.00626384
          47    -5.45649      -5.373  0.00638808
          48    -5.46018    -5.37482  0.00650807
          49    -5.46355    -5.37663  0.00662239
          50    -5.46613    -5.37842  0.00672753
          51    -5.46913     -5.3802  0.00682669
          52    -5.47208    -5.38196  0.00692029
          53    -5.47452    -5.38371  0.00700659
          54    -5.47659    -5.38543  0.00708483
          55    -5.47876    -5.38713  0.00715634
          56    -5.48085     -5.3888  0.00722162
          57    -5.48227    -5.39044  0.00727874
          58    -5.48317    -5.39204  0.00732675
          59    -5.48416     -5.3936  0.00736704
          60    -5.48522    -5.39513  0.00740084
          61    -5.48593    -5.39662  0.00742769
          62    -5.48642    -5.39806  0.00744776
          63     -5.4867    -5.39947  0.00746124
          64    -5.48618    -5.40083  0.00746666
          65    -5.48607    -5.40214  0.00746608
          66    -5.48593    -5.40341  0.00746012
          67    -5.48531    -5.40463  0.00744826
          68    -5.48482    -5.40581   0.0074315
          69    -5.48402    -5.40694  0.00740973
          70    -5.48276    -5.40803  0.00738262
          71    -5.48136    -5.40906  0.00735055
          72    -5.48014    -5.41005  0.00731445
          73    -5.47848    -5.41098  0.00727408
          74    -5.47701    -5.41188  0.00723029
