#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.62428    -7.62428           0
           2    -7.62696    -7.62562 0.000948005
           3    -7.63072    -7.62732  0.00152507
           4    -7.63393    -7.62897  0.00183087
           5     -7.6385    -7.63088  0.00224701
           6    -7.64248    -7.63281  0.00257337
           7     -7.6465    -7.63477   0.0028533
           8    -7.64988    -7.63666  0.00305852
           9    -7.65292    -7.63846  0.00320847
          10     -7.6569    -7.64031  0.00337591
          11    -7.66049    -7.64214  0.00353248
          12    -7.66302    -7.64388  0.00364133
          13    -7.66672    -7.64564  0.00376128
          14    -7.67028     -7.6474  0.00388253
          15    -7.67399    -7.64917  0.00400795
          16     -7.6762    -7.65086  0.00409802
          17    -7.67948    -7.65254  0.00418851
          18    -7.68186    -7.65417  0.00426079
          19    -7.68397    -7.65574  0.00431558
          20    -7.68481    -7.65719  0.00433773
          21    -7.68664     -7.6586  0.00435184
          22    -7.68781    -7.65992  0.00435191
          23    -7.68865    -7.66117   0.0043382
          24    -7.68914    -7.66234  0.00431109
          25    -7.68863    -7.66339  0.00426503
          26    -7.68875    -7.66437  0.00421103
          27    -7.68786    -7.66524  0.00414398
          28    -7.68694    -7.66601  0.00406787
          29    -7.68504    -7.66667  0.00398015
          30    -7.68279    -7.66721   0.0038836
          31    -7.68088    -7.66765  0.00378328
          32    -7.67866    -7.66799  0.00368067
          33    -7.67647    -7.66825  0.00357808
          34    -7.67336     -7.6684    0.003476
          35    -7.67129    -7.66848  0.00337767
          36    -7.66867    -7.66849  0.00328385
          37    -7.66423    -7.66837  0.00319711
          38    -7.66058    -7.66817  0.00311954
          39    -7.65644    -7.66786    0.003054
          40    -7.65282    -7.66749  0.00300072
          41    -7.64779    -7.66701  0.00296574
          42    -7.64301    -7.66644  0.00294966
          43    -7.63849    -7.66579  0.00295181
          44     -7.6349    -7.66508  0.00296699
          45    -7.63066    -7.66432  0.00299807
          46    -7.62803    -7.66353   0.0030349
          47    -7.62414    -7.66269  0.00308386
          48    -7.61997     -7.6618  0.00314542
          49    -7.61489    -7.66085  0.00322364
          50    -7.61054    -7.65984  0.00331245
          51    -7.60596    -7.65878  0.00341182
          52    -7.60279    -7.65771  0.00351203
          53    -7.59878    -7.65659  0.00361745
          54     -7.5946    -7.65545  0.00372818
          55    -7.59123    -7.65428  0.00383889
          56    -7.58739    -7.65308  0.00395181
          57      -7.586    -7.65191  0.00405392
          58    -7.58451    -7.65075  0.00414723
          59    -7.58162    -7.64957  0.00423922
          60    -7.57928     -7.6484  0.00432744
          61    -7.57654    -7.64722  0.00441393
          62    -7.57439    -7.64605  0.00449635
          63    -7.57315    -7.64489  0.00457146
          64    -7.57121    -7.64374  0.00464276
          65    -7.57019    -7.64261   0.0047072
          66    -7.56978    -7.64151  0.00476348
          67    -7.57028    -7.64044  0.00480953
          68    -7.57107    -7.63942  0.00484581
          69    -7.57114    -7.63843  0.00487559
          70    -7.57243    -7.63749  0.00489627
          71     -7.5733    -7.63659  0.00491006
          72    -7.57439    -7.63572  0.00491727
          73    -7.57567     -7.6349  0.00491824
          74    -7.57679    -7.63411  0.00491407
          75    -7.57772    -7.63336  0.00490573
          76    -7.57845    -7.63264  0.00489411
          77    -7.58022    -7.63196  0.00487766
          78    -7.58141    -7.63131  0.00485798
          79    -7.58295     -7.6307   0.0048349
          80    -7.58547    -7.63013  0.00480741
          81    -7.58699     -7.6296  0.00477748
          82    -7.58749    -7.62909  0.00474675
          83    -7.58856     -7.6286   0.0047146
          84     -7.5902    -7.62814  0.00468059
          85    -7.59172    -7.62771   0.0046451
          86    -7.59344    -7.62731  0.00460815
          87    -7.59341    -7.62692  0.00457163
          88    -7.59485    -7.62656  0.00453419
          89    -7.59484     -7.6262  0.00449723
          90    -7.59596    -7.62587  0.00445981
          91    -7.59626    -7.62554  0.00442265
          92    -7.59607    -7.62522  0.00438617
          93     -7.5957     -7.6249  0.00435047
          94    -7.59612     -7.6246  0.00431495
          95    -7.59507    -7.62429  0.00428071
          96    -7.59352    -7.62397   0.0042481
          97    -7.59277    -7.62365  0.00421646
          98    -7.59055    -7.62331  0.00418694
          99    -7.58979    -7.62297  0.00415832
         100    -7.58853    -7.62262  0.00413097
         101    -7.58775    -7.62228  0.00410448
         102    -7.58648    -7.62193  0.00407922
         103    -7.58311    -7.62155  0.00405699
         104    -7.58152    -7.62117   0.0040362
         105    -7.57913    -7.62077  0.00401757
         106    -7.57594    -7.62034  0.00400186
         107    -7.57325     -7.6199  0.00398859
         108    -7.57139    -7.61945  0.00397687
         109    -7.56874    -7.61899  0.00396751
         110    -7.56563     -7.6185  0.00396098
         111    -7.56303      -7.618   0.0039567
         112    -7.56031    -7.61749  0.00395476
         113     -7.5568    -7.61695  0.00395606
         114    -7.55414     -7.6164  0.00395953
         115    -7.55104    -7.61583  0.00396568
         116    -7.54717    -7.61524  0.00397543
         117     -7.5448    -7.61464  0.00398679
         118    -7.54134    -7.61402  0.00400109
         119    -7.53681    -7.61337  0.00401972
         120    -7.53186    -7.61269   0.0040432
         121    -7.52714    -7.61198  0.00407113
         122    -7.52298    -7.61125   0.0041026
         123    -7.51972    -7.61051  0.00413619
         124    -7.51541    -7.60974  0.00417333
         125    -7.51136    -7.60895  0.00421351
         126    -7.50596    -7.60814  0.00425862
         127    -7.50084    -7.60729  0.00430808
         128    -7.49567    -7.60642  0.00436179
         129     -7.4908    -7.60552  0.00441909
         130    -7.48592     -7.6046  0.00447985
         131      -7.482    -7.60367  0.00454237
         132    -7.47808    -7.60272  0.00460652
         133    -7.47353    -7.60175  0.00467316
         134    -7.46868    -7.60075  0.00474263
         135    -7.46418    -7.59974  0.00481418
         136     -7.4594    -7.59871  0.00488812
         137      -7.455    -7.59766  0.00496372
         138    -7.44969    -7.59659  0.00504224
         139    -7.44511     -7.5955  0.00512238
         140    -7.43997    -7.59439  0.00520486
         141     -7.4356    -7.59326  0.00528836
         142    -7.43136    -7.59212  0.00537261
         143     -7.4276    -7.59097  0.00545684
         144    -7.42432    -7.58981   0.0055403
         145    -7.42156    -7.58865   0.0056223
         146    -7.41934    -7.58749  0.00570214
         147    -7.41703    -7.58633  0.00578006
         148    -7.41432    -7.58517  0.00585669
         149    -7.41189    -7.58401  0.00593172
         150    -7.40975    -7.58285  0.00600486
         151    -7.40793    -7.58169  0.00607579
         152    -7.40645    -7.58053  0.00614422
         153    -7.40661     -7.5794  0.00620833
         154    -7.40616    -7.57827   0.0062691
         155    -7.40544    -7.57716  0.00632704
         156     -7.4051    -7.57606   0.0063819
         157     -7.4045    -7.57496  0.00643412
         158    -7.40493    -7.57389  0.00648277
         159    -7.40641    -7.57283  0.00652701
         160    -7.40793     -7.5718  0.00656708
         161    -7.40983     -7.5708   0.0066029
         162    -7.41241    -7.56982  0.00663413
         163    -7.41469    -7.56887  0.00666134
         164    -7.41794    -7.56795  0.00668399
         165    -7.42052    -7.56705  0.00670293
         166    -7.42403    -7.56619   0.0067177
         167    -7.42843    -7.56537  0.00672793
         168    -7.43305    -7.56458  0.00673382
         169    -7.43624    -7.56382  0.00673666
         170    -7.44186     -7.5631  0.00673512
         171    -7.44534    -7.56241  0.00673085
         172    -7.44988    -7.56176  0.00672344
         173    -7.45449    -7.56114  0.00671311
         174    -7.45912    -7.56055  0.00670009
         175     -7.4631       -7.56  0.00668491
         176    -7.46737    -7.55947  0.00666761
         177    -7.47223    -7.55898  0.00664813
         178    -7.47734    -7.55852  0.00662658
         179    -7.48105    -7.55809  0.00660368
         180    -7.48495    -7.55768  0.00657948
         181    -7.48999    -7.55731  0.00655375
         182     -7.4939    -7.55696  0.00652699
         183    -7.49731    -7.55663  0.00649946
         184     -7.5015    -7.55633  0.00647104
         185    -7.50645    -7.55606  0.00644167
         186    -7.50894    -7.55581  0.00641202
         187    -7.51185    -7.55557  0.00638204
         188     -7.5152    -7.55536  0.00635171
         189    -7.51703    -7.55516  0.00632133
         190    -7.51897    -7.55497  0.00629093
         191    -7.52069    -7.55479  0.00626056
         192    -7.52284    -7.55462  0.00623016
         193    -7.52478    -7.55446   0.0061998
         194    -7.52619    -7.55432  0.00616955
         195    -7.52677    -7.55418  0.00613953
         196    -7.52749    -7.55404  0.00610972
         197    -7.52869    -7.55391  0.00608006
         198    -7.52974    -7.55379  0.00605058
         199    -7.52968    -7.55367  0.00602138
         200    -7.53015    -7.55355  0.00599243
         201    -7.53083    -7.55344  0.00596368
         202    -7.53111    -7.55333  0.00593518
         203    -7.53132    -7.55322  0.00590693
         204    -7.53117    -7.55311  0.00587897
         205    -7.53133    -7.55301  0.00585125
         206    -7.53213     -7.5529  0.00582372
         207     -7.5323     -7.5528  0.00579644
         208    -7.53219    -7.55271  0.00576942
         209    -7.53279    -7.55261   0.0057426
         210    -7.53509    -7.55253  0.00571586
         211    -7.53492    -7.55244  0.00568938
         212    -7.53584    -7.55237  0.00566308
         213    -7.53658    -7.55229  0.00563698
         214    -7.53813    -7.55222  0.00561103
         215    -7.53953    -7.55217  0.00558524
         216     -7.5408    -7.55211  0.00555963
         217    -7.54291    -7.55207  0.00553417
         218    -7.54491    -7.55204  0.00550888
         219     -7.5468    -7.55201  0.00548378
         220    -7.54825      -7.552  0.00545888
         221    -7.55186      -7.552  0.00543418
         222     -7.5547    -7.55201  0.00540972
         223    -7.55741    -7.55203  0.00538551
         224    -7.55998    -7.55207  0.00536159
         225    -7.56304    -7.55212  0.00533798
         226    -7.56593    -7.55218  0.00531471
         227    -7.56959    -7.55225  0.00529185
         228     -7.5724    -7.55234  0.00526938
         229     -7.5769    -7.55245  0.00524746
         230    -7.57983    -7.55257  0.00522599
         231    -7.58474    -7.55271  0.00520523
         232    -7.58705    -7.55286  0.00518489
         233    -7.59159    -7.55302   0.0051653
         234    -7.59476     -7.5532  0.00514631
         235    -7.59848    -7.55339  0.00512802
         236     -7.6011     -7.5536  0.00511027
         237    -7.60421    -7.55381  0.00509317
         238    -7.60616    -7.55403  0.00507652
         239    -7.60887    -7.55426  0.00506046
         240    -7.61069    -7.55449  0.00504483
         241    -7.61257    -7.55474  0.00502965
         242    -7.61418    -7.55498  0.00501486
         243     -7.6155    -7.55523  0.00500041
         244    -7.61651    -7.55548  0.00498622
         245    -7.61754    -7.55573   0.0049723
         246    -7.61923    -7.55599  0.00495878
         247    -7.61801    -7.55624  0.00494506
         248    -7.61779    -7.55649  0.00493134
         249    -7.61726    -7.55674  0.00491757
         250    -7.61613    -7.55697  0.00490363
         251    -7.61666    -7.55721  0.00488986
         252    -7.61532    -7.55744  0.00487589
         253    -7.61376    -7.55766   0.0048617
         254    -7.61132    -7.55788  0.00484714
         255    -7.60935    -7.55808  0.00483234
         256    -7.60787    -7.55827  0.00481737
         257    -7.60559    -7.55846  0.00480215
         258    -7.60353    -7.55863  0.00478671
         259    -7.60105    -7.55879  0.00477103
         260    -7.59882    -7.55895  0.00475516
         261    -7.59655    -7.55909  0.00473913
         262    -7.59426    -7.55923  0.00472294
         263    -7.59196    -7.55935  0.00470662
         264    -7.59032    -7.55947  0.00469025
         265    -7.58805    -7.55958  0.00467379
         266     -7.5855    -7.55967  0.00465724
         267    -7.58462    -7.55977  0.00464073
         268    -7.58218    -7.55985  0.00462417
         269    -7.58077    -7.55993  0.00460763
         270    -7.57845       -7.56  0.00459108
         271    -7.57686    -7.56006  0.00457456
         272    -7.57503    -7.56011  0.00455807
         273    -7.57326    -7.56016  0.00454163
         274    -7.57157     -7.5602  0.00452525
         275    -7.56962    -7.56024  0.00450892
         276    -7.56776    -7.56027  0.00449267
         277    -7.56596    -7.56029  0.00447649
         278    -7.56391     -7.5603  0.00446041
         279    -7.56258    -7.56031  0.00444443
         280    -7.56036    -7.56031  0.00442856
         281    -7.55885     -7.5603   0.0044128
         282    -7.55805    -7.56029  0.00439716
         283    -7.55604    -7.56028  0.00438165
         284    -7.55474    -7.56026  0.00436626
         285    -7.55353    -7.56024  0.00435101
         286    -7.55272    -7.56021  0.00433587
         287    -7.55167    -7.56018  0.00432087
         288    -7.55039    -7.56015    0.004306
         289    -7.54986    -7.56011  0.00429124
         290    -7.55039    -7.56008  0.00427658
         291    -7.55071    -7.56005    0.004262
         292    -7.54984    -7.56001  0.00424755
         293    -7.54844    -7.55997  0.00423324
         294    -7.54975    -7.55994  0.00421898
         295    -7.54956     -7.5599  0.00420483
