#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.241597   -0.241597           0
           2   -0.337751   -0.289674   0.0339957
           3   -0.402589   -0.327312   0.0381848
           4   -0.409522   -0.347865    0.033719
           5   -0.324654   -0.343223   0.0272929
           6   -0.392417   -0.351422    0.023944
           7    -0.40302   -0.358793   0.0216283
           8    -0.40586   -0.364676   0.0197087
           9   -0.380979   -0.366488   0.0176019
          10   -0.391752   -0.369014    0.016022
          11   -0.431356   -0.374682   0.0155355
          12   -0.420261    -0.37848   0.0146979
          13   -0.389315   -0.379313   0.0135909
          14   -0.373626   -0.378907   0.0126262
          15   -0.454193   -0.383926    0.012743
          16   -0.420558   -0.386216   0.0121505
          17   -0.410963   -0.387671   0.0115226
          18    -0.41906   -0.389415   0.0110137
          19   -0.469407   -0.393625   0.0112098
          20   -0.464209   -0.397154   0.0111911
          21   -0.486872   -0.401427   0.0114447
          22   -0.409404   -0.401789   0.0109302
          23   -0.402989   -0.401841   0.0104551
          24   -0.452061   -0.403934   0.0102267
          25   -0.361047   -0.402218  0.00996048
          26   -0.354315   -0.400376   0.0097463
          27   -0.485604   -0.403533  0.00988328
          28   -0.512741   -0.407433   0.0102711
          29   -0.499181   -0.410597   0.0103928
          30   -0.475958   -0.412775   0.0102722
          31   -0.434247   -0.413468  0.00996414
          32   -0.503819   -0.416291   0.0100448
          33   -0.538212   -0.419986   0.0103977
          34   -0.493741   -0.422155   0.0103157
          35   -0.507555   -0.424595   0.0103055
          36   -0.463571   -0.425678   0.0100759
          37    -0.41669   -0.425435  0.00980655
          38   -0.459009   -0.426319   0.0095882
          39   -0.455406   -0.427064  0.00937131
          40   -0.522329   -0.429446  0.00943481
          41   -0.491331   -0.430955  0.00932464
          42   -0.375427   -0.429633  0.00919588
          43   -0.400671    -0.42896  0.00900665
          44   -0.382808   -0.427911  0.00886282
          45   -0.379263    -0.42683  0.00873156
          46   -0.347911   -0.425114  0.00870865
          47   -0.380435   -0.424164  0.00857509
          48   -0.408308   -0.423833   0.0084028
          49   -0.398481   -0.423316  0.00824723
          50   -0.456767   -0.423985  0.00810938
          51   -0.385183   -0.423224  0.00798598
          52   -0.418265   -0.423129  0.00783297
          53    -0.43413   -0.423336  0.00768793
          54    -0.43698   -0.423589  0.00754971
          55   -0.465679   -0.424354  0.00745113
          56   -0.424788   -0.424362  0.00731808
          57   -0.449037   -0.424795  0.00720248
          58   -0.448382   -0.425201  0.00708977
          59    -0.50421   -0.426541  0.00709495
          60   -0.457341   -0.427054  0.00699525
          61   -0.396064   -0.426546  0.00689899
          62   -0.454228   -0.426992  0.00680215
          63   -0.441789   -0.427227  0.00669823
          64   -0.418144   -0.427085  0.00659508
          65   -0.409398   -0.426813  0.00649923
          66   -0.461023   -0.427332  0.00642139
          67   -0.406976   -0.427028  0.00633273
          68   -0.368436   -0.426166  0.00629795
          69   -0.330662   -0.424782  0.00635695
          70   -0.344781   -0.423639  0.00636804
          71   -0.388292   -0.423141  0.00629778
          72   -0.431763   -0.423261  0.00621145
          73   -0.445093    -0.42356  0.00613356
          74   -0.497265   -0.424556  0.00613101
          75   -0.485711   -0.425371  0.00610324
          76   -0.432525   -0.425466  0.00602366
          77   -0.467515   -0.426012  0.00597014
          78   -0.424416   -0.425991  0.00589363
          79   -0.378684   -0.425392  0.00584937
          80    -0.40917    -0.42519  0.00577977
          81   -0.464633   -0.425677  0.00572889
          82   -0.430588   -0.425736  0.00565934
          83   -0.388153   -0.425284  0.00560924
          84   -0.402831   -0.425016  0.00554883
          85   -0.484427   -0.425715  0.00552739
          86   -0.411273   -0.425547  0.00546567
          87   -0.471095   -0.426071  0.00542786
          88   -0.436363   -0.426188  0.00536744
          89   -0.376958   -0.425635  0.00533556
          90   -0.435874   -0.425748  0.00527749
          91   -0.423043   -0.425719  0.00521958
          92   -0.405629     -0.4255  0.00516741
          93   -0.469159    -0.42597  0.00513313
          94   -0.408838   -0.425788  0.00508175
          95   -0.462568   -0.426175  0.00504299
          96   -0.402541   -0.425929  0.00499646
          97   -0.429717   -0.425968   0.0049451
          98   -0.432199   -0.426031  0.00489505
          99   -0.448361   -0.426257   0.0048508
         100   -0.478931   -0.426783  0.00483081
         101   -0.464713   -0.427159  0.00479755
         102   -0.395705   -0.426851  0.00476042
         103    -0.39733   -0.426564  0.00472282
         104   -0.425174   -0.426551  0.00467743
         105   -0.401602   -0.426313  0.00463891
         106   -0.473946   -0.426762  0.00461686
         107   -0.535171   -0.427776  0.00468356
         108   -0.480474   -0.428264  0.00466555
         109   -0.519978   -0.429105    0.004698
         110   -0.449435    -0.42929  0.00465893
         111   -0.506451   -0.429985  0.00466853
         112   -0.496615    -0.43058   0.0046646
         113   -0.412787   -0.430422  0.00462597
         114    -0.37527   -0.429939  0.00461062
         115   -0.386837   -0.429564  0.00458574
         116   -0.339773    -0.42879  0.00461107
         117   -0.355324   -0.428162  0.00461422
         118   -0.342543   -0.427436  0.00463181
         119   -0.362152   -0.426888  0.00462527
         120   -0.433092   -0.426939  0.00458701
         121   -0.425934   -0.426931  0.00454911
         122   -0.430976   -0.426964  0.00451194
         123    -0.33978   -0.426255  0.00453059
         124   -0.364326   -0.425756   0.0045215
         125   -0.393733     -0.4255  0.00449258
         126   -0.366386   -0.425031  0.00448135
         127   -0.440904   -0.425156  0.00444781
         128   -0.392643   -0.424902  0.00442031
         129   -0.447076   -0.425073  0.00438938
         130   -0.411799   -0.424971  0.00435681
         131   -0.427511   -0.424991  0.00432359
         132   -0.415719   -0.424921  0.00429141
         133   -0.387896   -0.424642  0.00426816
         134   -0.411212   -0.424542  0.00423749
         135   -0.373168   -0.424161  0.00422315
         136   -0.398764   -0.423975  0.00419623
         137   -0.365847    -0.42355  0.00418699
         138   -0.391038   -0.423315  0.00416327
         139   -0.369621   -0.422928   0.0041512
         140   -0.406893   -0.422814  0.00412313
         141   -0.424525   -0.422826  0.00409391
         142   -0.410789   -0.422741  0.00406596
         143    -0.41864   -0.422713  0.00403762
         144   -0.475348   -0.423078   0.0040261
         145   -0.416968   -0.423036  0.00399855
         146   -0.393026    -0.42283  0.00397644
         147    -0.33683   -0.422245   0.0039922
         148   -0.380371   -0.421962  0.00397524
         149   -0.392054   -0.421762  0.00395362
         150   -0.347027   -0.421263  0.00395853
         151   -0.380797   -0.420995  0.00394138
         152   -0.274425   -0.420031  0.00403168
         153   -0.415543   -0.420002  0.00400544
         154   -0.481702   -0.420403  0.00399941
         155   -0.437079    -0.42051  0.00397506
         156   -0.405544   -0.420414  0.00395074
         157   -0.473967   -0.420755  0.00394027
         158   -0.417823   -0.420737  0.00391537
         159   -0.441266   -0.420866  0.00389288
         160   -0.401487   -0.420745  0.00387043
         161    -0.44521   -0.420897  0.00384937
         162   -0.419247   -0.420886  0.00382562
         163   -0.346795   -0.420432  0.00382906
         164   -0.401731   -0.420318  0.00380741
         165   -0.420603    -0.42032  0.00378434
         166   -0.431907   -0.420389  0.00376218
         167   -0.416043   -0.420363  0.00373975
         168   -0.417569   -0.420347  0.00371752
         169   -0.438108   -0.420452  0.00369701
         170    -0.44227    -0.42058  0.00367749
         171   -0.439565   -0.420691  0.00365766
         172    -0.49143   -0.421103  0.00365944
         173   -0.487794   -0.421488  0.00365854
         174   -0.403994   -0.421387  0.00363889
         175   -0.382917   -0.421168  0.00362473
         176   -0.407802   -0.421092  0.00360494
         177    -0.41533   -0.421059  0.00358472
         178   -0.443035   -0.421183   0.0035667
         179   -0.370341   -0.420899  0.00355807
         180   -0.387468   -0.420713  0.00354314
         181   -0.422521   -0.420723  0.00352358
         182   -0.443711   -0.420849  0.00350649
         183   -0.383305   -0.420644  0.00349332
         184   -0.447663   -0.420791  0.00347742
         185   -0.444979   -0.420922  0.00346108
         186   -0.480357   -0.421241  0.00345719
         187   -0.432383   -0.421301  0.00343922
         188   -0.436563   -0.421382  0.00342188
         189   -0.435427   -0.421456  0.00340458
         190   -0.430428   -0.421503  0.00338699
         191   -0.450138   -0.421653  0.00337258
         192   -0.439989   -0.421749  0.00335636
         193   -0.440871   -0.421848  0.00334043
         194   -0.417162   -0.421824   0.0033233
         195   -0.529676   -0.422377  0.00335197
         196   -0.487627    -0.42271  0.00335136
         197   -0.451349   -0.422855   0.0033375
         198    -0.41904   -0.422836   0.0033207
         199   -0.410794   -0.422775  0.00330456
         200   -0.343568   -0.422379  0.00331169
         201   -0.335094   -0.421945  0.00332356
         202   -0.320767   -0.421444  0.00334464
         203   -0.366525   -0.421174  0.00333908
         204    -0.38393   -0.420991   0.0033277
         205   -0.387969    -0.42083  0.00331537
         206   -0.379999   -0.420632  0.00330519
         207   -0.384161   -0.420456  0.00329392
         208    -0.39909   -0.420353  0.00327968
         209   -0.384665   -0.420182  0.00326843
         210   -0.412283   -0.420145  0.00325309
         211   -0.453781   -0.420304  0.00324157
         212   -0.380014   -0.420114  0.00323185
         213   -0.458204   -0.420293  0.00322162
         214   -0.395316   -0.420176  0.00320868
         215   -0.401558   -0.420089  0.00319492
         216   -0.385471   -0.419929  0.00318415
         217   -0.334619   -0.419536  0.00319365
         218   -0.361035   -0.419268  0.00319026
         219   -0.349428   -0.418949  0.00319159
         220   -0.392231   -0.418827  0.00317939
         221   -0.395871   -0.418723   0.0031667
         222   -0.417183   -0.418716  0.00315244
         223   -0.484354   -0.419011  0.00315202
         224   -0.577723   -0.419719   0.0032166
         225   -0.456059   -0.419881  0.00320635
         226   -0.457896   -0.420049  0.00319657
         227    -0.52743   -0.420522   0.0032173
         228   -0.453207   -0.420665  0.00320638
         229   -0.452051   -0.420803  0.00319531
         230   -0.410788   -0.420759  0.00318171
         231   -0.443337   -0.420857  0.00316944
         232   -0.441939   -0.420948  0.00315708
         233   -0.404804   -0.420878  0.00314429
         234   -0.406207   -0.420816  0.00313148
         235   -0.411625   -0.420777   0.0031184
         236   -0.420885   -0.420777  0.00310519
         237   -0.432294   -0.420826  0.00309246
         238   -0.435121   -0.420886  0.00308005
         239   -0.437314   -0.420954  0.00306793
         240    -0.37808   -0.420776  0.00306035
         241   -0.437928   -0.420847  0.00304848
         242   -0.364299   -0.420613  0.00304482
         243   -0.347807   -0.420314    0.003047
         244   -0.346586   -0.420011  0.00304945
         245   -0.348155   -0.419718  0.00305108
         246   -0.375341   -0.419538    0.003044
         247   -0.342826   -0.419227  0.00304748
         248   -0.329168   -0.418864  0.00305675
         249   -0.319019   -0.418463  0.00307067
         250   -0.298928   -0.417985  0.00309539
         251   -0.319131   -0.417591  0.00310801
         252   -0.314338   -0.417181  0.00312257
         253   -0.411426   -0.417159  0.00311031
         254   -0.441385   -0.417254  0.00309952
         255    -0.41686   -0.417252  0.00308737
         256   -0.391778   -0.417153  0.00307691
         257   -0.362431    -0.41694   0.0030723
         258   -0.331575   -0.416609  0.00307815
         259   -0.320289   -0.416237  0.00308865
         260   -0.333493   -0.415919  0.00309313
