#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.51148    -8.51148           0
           2    -8.33753     -8.4245      0.0615
           3    -8.23842    -8.36248   0.0651598
           4    -8.08982    -8.29431   0.0766353
           5    -8.05506    -8.24646   0.0747693
           6    -7.98583    -8.20302   0.0738556
           7    -7.92326    -8.16306   0.0733256
           8    -7.90134    -8.13034   0.0710842
           9    -7.85724        -8.1    0.069361
          10    -7.85919    -8.07592   0.0664738
          11    -7.77392    -8.04846   0.0658568
          12    -7.74282    -8.02299   0.0651078
          13    -7.77971    -8.00428   0.0627315
          14     -7.7067    -7.98302   0.0617468
          15    -7.64837    -7.96071   0.0615289
          16     -7.6011    -7.93824   0.0616519
          17    -7.66997    -7.92246    0.060011
          18    -7.61014     -7.9051   0.0591323
          19    -7.48111    -7.88279   0.0600834
          20     -7.4536    -7.86133   0.0607908
          21    -7.49357    -7.84382   0.0603658
          22    -7.46077    -7.82641   0.0600804
          23    -7.47187    -7.81099   0.0594128
          24    -7.58269    -7.80148   0.0576938
          25    -7.64743    -7.79532   0.0557141
          26    -7.60101    -7.78784   0.0540702
          27    -7.51698    -7.77781   0.0529901
          28    -7.57577     -7.7706   0.0515865
          29    -7.55392    -7.76312   0.0503459
          30    -7.52511    -7.75519   0.0492888
          31    -7.47886    -7.74628   0.0484982
          32    -7.50294    -7.73867    0.047575
          33    -7.55848    -7.73321   0.0464456
          34    -7.58729    -7.72892   0.0452775
          35    -7.61932    -7.72579    0.044092
          36    -7.62684    -7.72304   0.0429528
          37    -7.70282    -7.72249   0.0417954
          38    -7.58853    -7.71897   0.0408439
          39    -7.47679    -7.71276   0.0402659
          40     -7.4907    -7.70721   0.0396401
          41    -7.42398     -7.7003   0.0392705
          42     -7.3592    -7.69218   0.0391663
          43    -7.28545    -7.68272   0.0393811
          44    -7.34368    -7.67501   0.0392327
          45    -7.37677    -7.66839   0.0389166
          46    -7.41361    -7.66285   0.0384627
          47    -7.42947    -7.65788   0.0379635
          48    -7.53289    -7.65528   0.0372618
          49    -7.54769    -7.65308    0.036566
          50    -7.57474    -7.65152   0.0358682
          51    -7.59853    -7.65048     0.03518
          52    -7.60177    -7.64954   0.0345159
          53    -7.55234    -7.64771   0.0339133
          54    -7.57558    -7.64637   0.0333116
          55     -7.6208    -7.64591   0.0327092
          56    -7.62517    -7.64553   0.0321272
          57    -7.56911    -7.64419   0.0315915
          58     -7.5301    -7.64223    0.031108
          59    -7.59407    -7.64141   0.0305915
