#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.5         1.5           0
           2         1.5         1.5 2.09148e-07
           3         1.5         1.5 2.15252e-07
           4         1.5         1.5 1.85518e-07
           5         1.5         1.5 1.49012e-07
           6         1.5         1.5 1.46254e-07
           7         1.5         1.5 2.07702e-07
           8         1.5         1.5 3.14429e-07
           9         1.5         1.5 4.46151e-07
          10         1.5         1.5 5.95562e-07
          11     1.50001         1.5 7.59866e-07
          12     1.50001         1.5  9.3755e-07
          13     1.50001         1.5 1.12729e-06
          14     1.50001         1.5 1.32829e-06
          15     1.50002         1.5  1.5399e-06
          16     1.50002     1.50001  1.7613e-06
          17     1.50002     1.50001 1.99203e-06
          18     1.50003     1.50001  2.2319e-06
          19     1.50003     1.50001 2.48065e-06
          20     1.50004     1.50001 2.73784e-06
          21     1.50004     1.50001 3.00306e-06
          22     1.50005     1.50001 3.27599e-06
          23     1.50005     1.50002 3.55636e-06
          24     1.50006     1.50002 3.84399e-06
          25     1.50006     1.50002 4.13876e-06
          26     1.50007     1.50002 4.44049e-06
          27     1.50008     1.50002 4.74898e-06
          28     1.50008     1.50003 5.06407e-06
          29     1.50009     1.50003 5.38562e-06
          30      1.5001     1.50003 5.71358e-06
          31     1.50011     1.50003 6.04798e-06
          32     1.50012     1.50004 6.38878e-06
          33     1.50012     1.50004 6.73586e-06
          34     1.50013     1.50004 7.08912e-06
          35     1.50014     1.50004 7.44852e-06
          36     1.50015     1.50005 7.81397e-06
          37     1.50016     1.50005 8.18535e-06
          38     1.50017     1.50005 8.56254e-06
          39     1.50018     1.50006 8.94544e-06
          40     1.50019     1.50006 9.33397e-06
          41      1.5002     1.50006 9.72807e-06
          42     1.50021     1.50007 1.01277e-05
          43     1.50022     1.50007 1.05328e-05
          44     1.50024     1.50007 1.09434e-05
          45     1.50025     1.50008 1.13596e-05
          46     1.50026     1.50008 1.17814e-05
          47     1.50027     1.50009 1.22087e-05
          48     1.50028     1.50009 1.26414e-05
          49      1.5003     1.50009 1.30796e-05
          50     1.50031      1.5001 1.35231e-05
          51     1.50033      1.5001 1.39719e-05
          52     1.50034     1.50011  1.4426e-05
          53     1.50035     1.50011 1.48855e-05
          54     1.50037     1.50012 1.53503e-05
          55     1.50038     1.50012 1.58203e-05
          56      1.5004     1.50013 1.62956e-05
          57     1.50041     1.50013  1.6776e-05
          58     1.50043     1.50014 1.72617e-05
          59     1.50045     1.50014 1.77525e-05
          60     1.50046     1.50015 1.82484e-05
          61     1.50048     1.50015 1.87493e-05
          62      1.5005     1.50016 1.92553e-05
          63     1.50052     1.50016 1.97664e-05
          64     1.50053     1.50017 2.02824e-05
          65     1.50055     1.50018 2.08035e-05
          66     1.50057     1.50018 2.13295e-05
          67     1.50059     1.50019 2.18605e-05
          68     1.50061     1.50019 2.23964e-05
          69     1.50063      1.5002 2.29372e-05
          70     1.50065     1.50021 2.34829e-05
          71     1.50067     1.50021 2.40334e-05
          72     1.50069     1.50022 2.45888e-05
          73     1.50071     1.50023  2.5149e-05
          74     1.50073     1.50023 2.57141e-05
          75     1.50075     1.50024 2.62839e-05
          76     1.50077     1.50025 2.68586e-05
          77      1.5008     1.50025 2.74381e-05
          78     1.50082     1.50026 2.80223e-05
          79     1.50084     1.50027 2.86113e-05
          80     1.50086     1.50028 2.92052e-05
          81     1.50089     1.50028 2.98038e-05
          82     1.50091     1.50029 3.04073e-05
          83     1.50094      1.5003 3.10156e-05
          84     1.50096     1.50031 3.16287e-05
          85     1.50099     1.50032 3.22466e-05
          86     1.50101     1.50032 3.28692e-05
          87     1.50104     1.50033 3.34966e-05
          88     1.50106     1.50034 3.41288e-05
          89     1.50109     1.50035 3.47658e-05
          90     1.50111     1.50036 3.54076e-05
          91     1.50114     1.50037 3.60542e-05
          92     1.50117     1.50037 3.67056e-05
          93      1.5012     1.50038 3.73618e-05
          94     1.50122     1.50039 3.80229e-05
          95     1.50125      1.5004 3.86887e-05
          96     1.50128     1.50041 3.93594e-05
          97     1.50131     1.50042  4.0035e-05
          98     1.50134     1.50043 4.07153e-05
          99     1.50137     1.50044 4.14006e-05
         100      1.5014     1.50045 4.20906e-05
         101     1.50143     1.50046 4.27856e-05
         102     1.50146     1.50047 4.34854e-05
         103     1.50149     1.50048 4.41902e-05
         104     1.50153     1.50049 4.48998e-05
         105     1.50156      1.5005 4.56144e-05
         106     1.50159     1.50051  4.6334e-05
         107     1.50162     1.50052 4.70586e-05
         108     1.50166     1.50053 4.77882e-05
         109     1.50169     1.50054 4.85228e-05
         110     1.50172     1.50055 4.92624e-05
         111     1.50176     1.50056 5.00071e-05
         112     1.50179     1.50057 5.07569e-05
         113     1.50183     1.50058 5.15117e-05
         114     1.50186     1.50059 5.22718e-05
         115      1.5019     1.50061  5.3037e-05
         116     1.50194     1.50062 5.38073e-05
         117     1.50197     1.50063 5.45829e-05
         118     1.50201     1.50064 5.53637e-05
         119     1.50205     1.50065 5.61497e-05
         120     1.50209     1.50066  5.6941e-05
         121     1.50213     1.50068 5.77375e-05
         122     1.50217     1.50069 5.85394e-05
         123      1.5022      1.5007 5.93466e-05
         124     1.50224     1.50071 6.01591e-05
         125     1.50228     1.50073 6.09771e-05
         126     1.50233     1.50074 6.18004e-05
         127     1.50237     1.50075 6.26293e-05
         128     1.50241     1.50076 6.34636e-05
         129     1.50245     1.50078 6.43034e-05
         130     1.50249     1.50079 6.51487e-05
         131     1.50254      1.5008 6.59997e-05
         132     1.50258     1.50082 6.68563e-05
         133     1.50262     1.50083 6.77186e-05
         134     1.50267     1.50084 6.85866e-05
         135     1.50271     1.50086 6.94603e-05
         136     1.50276     1.50087 7.03399e-05
         137      1.5028     1.50089 7.12253e-05
         138     1.50285      1.5009 7.21166e-05
         139      1.5029     1.50092 7.30138e-05
         140     1.50294     1.50093 7.39171e-05
         141     1.50299     1.50094 7.48263e-05
         142     1.50304     1.50096 7.57417e-05
         143     1.50309     1.50097 7.66631e-05
         144     1.50314     1.50099 7.75907e-05
         145     1.50319       1.501 7.85245e-05
         146     1.50324     1.50102 7.94646e-05
         147     1.50329     1.50104  8.0411e-05
         148     1.50334     1.50105 8.13636e-05
         149     1.50339     1.50107 8.23227e-05
         150     1.50345     1.50108 8.32883e-05
         151      1.5035      1.5011 8.42603e-05
         152     1.50355     1.50111 8.52389e-05
         153     1.50361     1.50113 8.62242e-05
         154     1.50366     1.50115 8.72161e-05
         155     1.50372     1.50116 8.82147e-05
         156     1.50377     1.50118 8.92201e-05
         157     1.50383      1.5012 9.02324e-05
         158     1.50389     1.50121 9.12516e-05
         159     1.50394     1.50123 9.22778e-05
         160       1.504     1.50125 9.33111e-05
         161     1.50406     1.50127 9.43515e-05
         162     1.50412     1.50128 9.53992e-05
         163     1.50418      1.5013 9.64541e-05
         164     1.50424     1.50132 9.75163e-05
         165      1.5043     1.50134 9.85859e-05
         166     1.50436     1.50136 9.96631e-05
