#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0441617  -0.0441617           0
           2  -0.0441614  -0.0441616 1.08198e-07
           3   -0.044159  -0.0441607 6.96566e-07
           4  -0.0441593  -0.0441604 6.07667e-07
           5  -0.0441575  -0.0441598 7.11107e-07
           6  -0.0441583  -0.0441595  6.3425e-07
           7  -0.0441594  -0.0441595  5.4387e-07
           8  -0.0441608  -0.0441597 4.99527e-07
           9  -0.0441673  -0.0441605  9.0796e-07
          10  -0.0441669  -0.0441612 1.01396e-06
          11  -0.0441644  -0.0441615 9.63349e-07
          12   -0.044167  -0.0441619 9.86028e-07
          13  -0.0441746  -0.0441629 1.30439e-06
          14  -0.0441801  -0.0441641  1.6932e-06
          15  -0.0441835  -0.0441654 2.01453e-06
          16  -0.0441872  -0.0441668 2.30493e-06
          17  -0.0441889  -0.0441681  2.5101e-06
          18  -0.0441956  -0.0441696 2.79752e-06
          19  -0.0442026  -0.0441713 3.14236e-06
          20  -0.0442075  -0.0441731 3.46544e-06
          21   -0.044215  -0.0441751   3.831e-06
          22  -0.0442205  -0.0441772 4.17433e-06
          23  -0.0442238  -0.0441792 4.45844e-06
          24  -0.0442323  -0.0441814 4.78914e-06
          25  -0.0442386  -0.0441837 5.11433e-06
          26  -0.0442452  -0.0441861 5.43708e-06
          27  -0.0442521  -0.0441885 5.75959e-06
          28  -0.0442593  -0.0441911 6.08343e-06
          29  -0.0442644  -0.0441936 6.37815e-06
          30  -0.0442746  -0.0441963 6.71285e-06
          31  -0.0442851  -0.0441992 7.08068e-06
          32  -0.0442911   -0.044202 7.41909e-06
          33  -0.0442974  -0.0442049 7.73636e-06
          34  -0.0443063  -0.0442079 8.06339e-06
          35  -0.0443156   -0.044211  8.3997e-06
          36  -0.0443252  -0.0442141 8.74477e-06
          37   -0.044335  -0.0442174 9.09813e-06
          38  -0.0443428  -0.0442207   9.438e-06
          39  -0.0443532  -0.0442241 9.78853e-06
          40  -0.0443663  -0.0442277 1.01691e-05
          41  -0.0443774  -0.0442313 1.05562e-05
          42  -0.0443911  -0.0442351 1.09687e-05
          43  -0.0444051  -0.0442391 1.14036e-05
          44  -0.0444194  -0.0442432 1.18581e-05
          45  -0.0444269  -0.0442473 1.22777e-05
          46  -0.0444348  -0.0442513 1.26694e-05
          47  -0.0444477  -0.0442555 1.30703e-05
          48  -0.0444585  -0.0442597 1.34645e-05
          49  -0.0444743  -0.0442641 1.38835e-05
          50  -0.0444834  -0.0442685 1.42816e-05
          51  -0.0444927  -0.0442729 1.46627e-05
          52  -0.0445095  -0.0442775 1.50704e-05
          53  -0.0445266  -0.0442822 1.55022e-05
          54  -0.0445464   -0.044287  1.5969e-05
          55  -0.0445642  -0.0442921 1.64543e-05
          56  -0.0445846  -0.0442973 1.69693e-05
          57   -0.044603  -0.0443027 1.74983e-05
          58  -0.0446193  -0.0443081 1.80279e-05
          59  -0.0446311  -0.0443136  1.8535e-05
